,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455761736,-44,-34,-41,-63,-67,-68,-70,-64,-69,-76,-74,-69,-57,-84,-78,-61,-75,-73,-70,-82,-83,-80,-200,-68,-70,-80,-68,-70,-66,-81,-75,-84,-200,-82,-81,-85,-81,-200,-82,-87,-200,-84,-80,-200,-91,-88,-85,-83,-83,-200,-91,-79,-200,-80,-200,-83,-200,-200,-81,-92,-80,-89,-89,-91,-200,-200,-200,-200,-200
1526455764762,-48,-36,-40,-66,-69,-66,-69,-63,-65,-78,-70,-66,-68,-200,-79,-61,-75,-71,-70,-82,-83,-80,-200,-75,-71,-78,-65,-72,-66,-82,-75,-84,-200,-200,-81,-87,-79,-200,-82,-87,-200,-86,-78,-200,-91,-87,-85,-83,-84,-200,-91,-200,-200,-80,-88,-200,-200,-200,-81,-92,-80,-89,-89,-91,-200,-200,-200,-200,-200
1526455767771,-44,-37,-39,-59,-70,-74,-70,-66,-70,-76,-77,-66,-61,-79,-79,-63,-73,-67,-76,-85,-200,-80,-200,-69,-71,-78,-70,-70,-64,-82,-78,-200,-200,-200,-81,-87,-79,-89,-200,-87,-200,-84,-75,-200,-200,-87,-85,-81,-84,-200,-200,-200,-80,-80,-88,-85,-200,-74,-84,-89,-80,-89,-200,-200,-81,-86,-200,-200,-200
1526455770779,-46,-34,-38,-61,-68,-74,-71,-62,-68,-76,-68,-68,-60,-79,-79,-61,-71,-72,-73,-85,-200,-80,-200,-69,-68,-78,-70,-70,-66,-81,-78,-200,-200,-78,-83,-89,-80,-88,-86,-87,-200,-84,-76,-200,-89,-88,-80,-83,-84,-200,-200,-200,-82,-80,-88,-85,-200,-74,-84,-89,-80,-89,-200,-90,-81,-86,-92,-200,-200
1526455773807,-45,-34,-39,-64,-71,-52,-70,-63,-67,-80,-74,-71,-74,-86,-79,-62,-75,-72,-75,-86,-200,-83,-200,-66,-70,-81,-66,-69,-69,-84,-78,-200,-200,-77,-83,-89,-80,-88,-86,-87,-200,-84,-75,-200,-89,-88,-84,-83,-83,-200,-200,-200,-82,-80,-200,-85,-200,-74,-83,-89,-81,-89,-200,-90,-84,-86,-92,-200,-200
1526455776834,-44,-34,-40,-64,-68,-71,-69,-44,-71,-77,-74,-70,-69,-83,-78,-60,-73,-74,-74,-86,-200,-83,-200,-77,-70,-83,-68,-71,-69,-84,-75,-200,-200,-81,-83,-85,-80,-88,-86,-200,-200,-84,-75,-200,-89,-89,-81,-81,-83,-200,-200,-200,-85,-80,-200,-85,-200,-87,-83,-89,-81,-89,-200,-90,-84,-200,-88,-93,-200
1526455779858,-47,-33,-39,-72,-66,-71,-68,-65,-71,-78,-74,-70,-61,-79,-87,-61,-73,-72,-76,-84,-84,-83,-200,-77,-70,-80,-68,-70,-65,-84,-76,-86,-200,-81,-83,-85,-79,-88,-86,-200,-200,-82,-76,-200,-89,-89,-81,-81,-83,-200,-200,-73,-79,-200,-200,-85,-84,-87,-83,-200,-83,-200,-200,-90,-84,-200,-88,-93,-200
1526455782885,-47,-38,-41,-68,-69,-68,-67,-65,-65,-75,-71,-68,-61,-78,-87,-61,-74,-73,-78,-84,-84,-83,-200,-77,-69,-73,-67,-71,-67,-82,-74,-86,-200,-81,-81,-85,-79,-200,-200,-200,-200,-82,-83,-200,-92,-90,-81,-81,-83,-200,-90,-73,-79,-200,-200,-85,-84,-87,-83,-200,-83,-200,-200,-200,-84,-200,-88,-93,-200
1526455785914,-44,-33,-42,-68,-67,-70,-67,-67,-64,-75,-78,-70,-64,-84,-87,-62,-68,-70,-78,-84,-82,-83,-200,-75,-69,-79,-64,-71,-67,-81,-75,-86,-86,-80,-81,-84,-80,-200,-200,-200,-88,-83,-79,-200,-92,-90,-81,-81,-200,-200,-90,-79,-79,-81,-88,-87,-85,-87,-200,-200,-80,-90,-200,-200,-200,-200,-88,-93,-200
1526455788942,-47,-38,-42,-66,-69,-69,-66,-64,-61,-77,-78,-73,-68,-76,-78,-57,-75,-77,-79,-84,-82,-83,-200,-66,-77,-79,-69,-76,-70,-81,-67,-86,-86,-80,-90,-84,-81,-200,-200,-200,-88,-83,-74,-200,-92,-90,-84,-80,-82,-88,-90,-73,-79,-81,-88,-87,-85,-77,-83,-200,-80,-90,-200,-200,-200,-200,-200,-200,-99
1526455791956,-45,-35,-42,-68,-70,-71,-67,-65,-66,-77,-78,-68,-63,-76,-78,-61,-75,-77,-79,-200,-83,-83,-200,-70,-72,-80,-66,-70,-70,-89,-72,-86,-86,-80,-87,-84,-79,-200,-200,-200,-88,-82,-80,-200,-92,-90,-84,-80,-82,-88,-90,-77,-200,-83,-88,-87,-85,-77,-83,-200,-80,-90,-200,-200,-200,-200,-200,-200,-99
1526455794971,-45,-34,-41,-72,-70,-70,-67,-66,-68,-78,-71,-49,-60,-76,-82,-61,-76,-77,-79,-200,-83,-84,-200,-77,-73,-76,-69,-69,-67,-89,-74,-86,-86,-81,-87,-86,-79,-86,-200,-88,-88,-82,-79,-200,-200,-200,-80,-79,-84,-88,-200,-75,-71,-83,-88,-87,-85,-77,-83,-200,-83,-90,-200,-200,-200,-200,-200,-200,-99
