,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526465947216,-36,-51,-55,-55,-41,-69,-57,-70,-200,-73,-64,-63,-57,-61,-85,-67,-72,-63,-64,-69,-73,-75,-70,-78,-82,-200,-200,-68,-73,-73,-83,-200,-79,-200,-200,-80,-78,-81,-200,-82,-200,-81,-77,-88,-200,-78,-83,-81,-83,-83,-200,-200,-200,-84,-200,-76,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200
1526465950268,-36,-51,-55,-55,-41,-69,-57,-70,-200,-73,-64,-63,-57,-61,-85,-67,-72,-63,-64,-69,-73,-75,-70,-78,-82,-200,-200,-68,-73,-73,-83,-200,-79,-200,-200,-80,-78,-81,-200,-82,-200,-81,-77,-88,-200,-78,-83,-81,-83,-83,-200,-200,-200,-84,-200,-76,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200
1526465953302,-40,-51,-56,-54,-41,-69,-63,-70,-75,-73,-64,-65,-59,-70,-83,-76,-72,-66,-68,-69,-76,-75,-70,-78,-82,-200,-200,-68,-73,-73,-83,-200,-83,-200,-86,-87,-80,-81,-200,-81,-200,-81,-77,-88,-200,-78,-83,-81,-83,-86,-200,-200,-200,-84,-200,-84,-82,-200,-83,-84,-87,-200,-200,-200,-200,-200
1526465956342,-41,-52,-61,-53,-41,-74,-64,-69,-77,-71,-64,-63,-59,-68,-84,-79,-75,-69,-68,-70,-72,-74,-75,-78,-78,-200,-86,-66,-81,-75,-90,-83,-80,-200,-85,-85,-79,-83,-200,-81,-200,-81,-78,-88,-200,-82,-83,-200,-83,-86,-200,-200,-200,-84,-200,-75,-82,-200,-83,-84,-87,-200,-200,-200,-200,-200
1526465959392,-41,-52,-57,-57,-42,-76,-64,-69,-72,-71,-64,-67,-55,-69,-84,-75,-72,-69,-69,-71,-72,-74,-71,-76,-79,-200,-86,-66,-81,-75,-90,-83,-85,-200,-85,-85,-79,-83,-200,-81,-200,-81,-78,-88,-200,-82,-83,-200,-88,-86,-200,-200,-200,-84,-200,-75,-82,-85,-83,-84,-87,-200,-200,-200,-200,-200
1526465962446,-41,-52,-57,-57,-42,-76,-64,-69,-72,-71,-64,-67,-55,-69,-84,-75,-72,-69,-69,-71,-72,-74,-71,-76,-79,-200,-86,-66,-81,-75,-90,-83,-85,-200,-85,-85,-79,-83,-200,-81,-200,-81,-78,-88,-200,-82,-83,-200,-88,-86,-200,-200,-200,-84,-200,-75,-82,-85,-83,-84,-87,-200,-200,-200,-200,-200
1526465965492,-41,-52,-57,-57,-42,-76,-64,-69,-72,-71,-64,-67,-55,-69,-84,-75,-72,-69,-69,-71,-72,-74,-71,-76,-79,-200,-86,-66,-81,-75,-90,-83,-85,-200,-85,-85,-79,-83,-200,-81,-200,-81,-78,-88,-200,-82,-83,-200,-88,-86,-200,-200,-200,-84,-200,-75,-82,-85,-83,-84,-87,-200,-200,-200,-200,-200
1526465968534,-40,-49,-58,-53,-40,-73,-61,-66,-72,-200,-62,-66,-56,-68,-200,-75,-71,-70,-66,-71,-75,-200,-71,-80,-79,-200,-200,-67,-75,-74,-200,-200,-81,-84,-200,-86,-82,-83,-200,-200,-200,-81,-80,-90,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-77,-200,-85,-200,-82,-200,-87,-200,-200,-200,-200
1526465971580,-40,-51,-62,-58,-41,-73,-64,-66,-72,-200,-62,-62,-62,-68,-200,-75,-71,-68,-66,-72,-72,-200,-71,-80,-79,-200,-200,-77,-75,-73,-200,-200,-84,-84,-89,-86,-78,-86,-200,-200,-200,-80,-80,-90,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-73,-200,-85,-200,-82,-200,-87,-200,-200,-200,-200
1526465974632,-40,-51,-62,-58,-41,-73,-64,-66,-72,-200,-62,-62,-62,-68,-200,-75,-71,-68,-66,-72,-72,-200,-71,-80,-79,-200,-200,-77,-75,-73,-200,-200,-84,-84,-89,-86,-78,-86,-200,-200,-200,-80,-80,-90,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-73,-200,-85,-200,-82,-200,-87,-200,-200,-200,-200
1526465977677,-40,-51,-62,-58,-41,-73,-64,-66,-72,-200,-62,-62,-62,-68,-200,-75,-71,-68,-66,-72,-72,-200,-71,-80,-79,-200,-200,-77,-75,-73,-200,-200,-84,-84,-89,-86,-78,-86,-200,-200,-200,-80,-80,-90,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-73,-200,-85,-200,-82,-200,-87,-200,-200,-200,-200
1526465980726,-43,-55,-58,-54,-44,-79,-62,-66,-74,-70,-67,-61,-55,-72,-82,-79,-71,-68,-74,-71,-73,-200,-77,-77,-78,-200,-200,-67,-72,-73,-200,-200,-79,-200,-89,-89,-77,-80,-200,-200,-200,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-91,-87,-89,-200,-74,-81,-81,-90,-200,-200,-200,-83,-90,-90,-93
