,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465576632,-30,-45,-57,-58,-49,-52,-58,-55,-63,-71,-57,-56,-56,-53,-200,-61,-75,-69,-70,-64,-68,-200,-66,-71,-75,-77,-66,-67,-83,-78,-68,-75,-71,-79,-80,-84,-76,-83,-87,-83,-200,-80,-86,-88,-69,-71,-79,-84,-58,-200,-81,-94,-86,-88,-200,-200,-200,-200,-200,-200
1526465579674,-30,-45,-57,-58,-49,-52,-58,-55,-63,-71,-57,-56,-56,-53,-200,-61,-75,-69,-70,-64,-68,-200,-66,-71,-75,-77,-66,-67,-83,-78,-68,-75,-71,-79,-80,-84,-76,-83,-87,-83,-200,-80,-86,-88,-69,-71,-79,-84,-58,-200,-81,-94,-86,-88,-200,-200,-200,-200,-200,-200
1526465582713,-30,-45,-57,-58,-49,-52,-58,-55,-63,-71,-57,-56,-56,-53,-200,-61,-75,-69,-70,-64,-68,-200,-66,-71,-75,-77,-66,-67,-83,-78,-68,-75,-71,-79,-80,-84,-76,-83,-87,-83,-200,-80,-86,-88,-69,-71,-79,-84,-58,-200,-81,-94,-86,-88,-200,-200,-200,-200,-200,-200
1526465585767,-24,-47,-58,-54,-49,-54,-64,-62,-64,-69,-60,-58,-54,-57,-68,-62,-73,-67,-66,-75,-67,-84,-200,-70,-200,-76,-66,-67,-200,-200,-71,-74,-79,-73,-82,-81,-78,-78,-82,-83,-84,-200,-86,-200,-69,-73,-200,-83,-61,-200,-79,-200,-200,-88,-79,-84,-85,-88,-200,-200
1526465588783,-24,-47,-58,-54,-49,-53,-60,-60,-64,-65,-58,-54,-55,-53,-68,-61,-73,-67,-66,-65,-63,-84,-200,-70,-200,-75,-68,-67,-200,-200,-71,-75,-82,-73,-82,-81,-76,-78,-82,-83,-84,-200,-86,-200,-69,-73,-200,-84,-61,-200,-81,-200,-200,-88,-79,-84,-85,-88,-78,-200
1526465591832,-24,-45,-61,-56,-51,-53,-62,-56,-64,-69,-58,-54,-60,-53,-65,-62,-80,-76,-66,-65,-63,-84,-200,-70,-200,-75,-66,-66,-200,-200,-68,-71,-84,-72,-82,-81,-76,-78,-82,-83,-84,-82,-86,-200,-69,-73,-200,-84,-61,-200,-81,-200,-200,-88,-79,-84,-85,-88,-78,-200
1526465594877,-24,-45,-61,-56,-51,-53,-62,-56,-64,-69,-58,-54,-60,-53,-65,-62,-80,-76,-66,-65,-63,-84,-200,-70,-200,-75,-66,-66,-200,-200,-68,-71,-84,-72,-82,-81,-76,-78,-82,-83,-84,-82,-86,-200,-69,-73,-200,-84,-61,-200,-81,-200,-200,-88,-79,-84,-85,-88,-78,-200
1526465597921,-24,-41,-55,-60,-50,-51,-60,-63,-64,-69,-61,-54,-59,-60,-64,-61,-80,-72,-200,-72,-63,-200,-200,-70,-71,-75,-68,-66,-200,-200,-68,-73,-84,-72,-84,-81,-76,-80,-200,-200,-200,-82,-200,-200,-71,-200,-200,-84,-59,-200,-81,-200,-200,-200,-200,-200,-200,-200,-78,-200
1526465600973,-28,-42,-61,-59,-58,-54,-61,-63,-62,-67,-61,-62,-51,-60,-64,-58,-73,-72,-200,-66,-73,-70,-200,-70,-71,-75,-72,-78,-200,-200,-68,-78,-80,-72,-84,-79,-76,-80,-83,-200,-200,-86,-200,-200,-71,-79,-80,-84,-58,-200,-85,-200,-200,-200,-200,-200,-200,-200,-78,-200
1526465604018,-28,-42,-61,-59,-58,-54,-61,-63,-62,-67,-61,-62,-51,-60,-64,-58,-73,-72,-200,-66,-73,-70,-200,-70,-71,-75,-72,-78,-200,-200,-68,-78,-80,-72,-84,-79,-76,-80,-83,-200,-200,-86,-200,-200,-71,-79,-80,-84,-58,-200,-85,-200,-200,-200,-200,-200,-200,-200,-78,-200
1526465607064,-28,-42,-61,-59,-58,-54,-61,-63,-62,-67,-61,-62,-51,-60,-64,-58,-73,-72,-200,-66,-73,-70,-200,-70,-71,-75,-72,-78,-200,-200,-68,-78,-80,-72,-84,-79,-76,-80,-83,-200,-200,-86,-200,-200,-71,-79,-80,-84,-58,-200,-85,-200,-200,-200,-200,-200,-200,-200,-78,-200
1526465610110,-30,-44,-55,-56,-47,-54,-60,-63,-61,-70,-62,-58,-60,-52,-65,-63,-68,-70,-200,-69,-71,-72,-73,-67,-75,-72,-67,-73,-200,-200,-200,-80,-88,-83,-77,-83,-200,-76,-87,-200,-86,-86,-200,-90,-200,-76,-76,-200,-61,-200,-77,-200,-200,-200,-200,-200,-200,-200,-79,-83
