,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro
1526446881123,-33,-50,-47,-46,-53,-53,-59,-58,-63,-57,-64,-64,-65,-61,-69,-74,-68,-80,-73,-75,-86,-69,-200,-81,-86,-85,-85,-82,-79,-87,-90,-91,-200,-84,-93,-90,-90,-88,-90,-200,-93,-93,-89,-93,-94,-91,-94,-89,-92,-200,-96,-96,-200,-200,-200,-93,-200,-97,-200,-100,-90,-94,-200,-98,-95,-200,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446884167,-33,-50,-45,-46,-52,-53,-59,-59,-67,-58,-63,-67,-65,-60,-67,-71,-74,-78,-73,-77,-85,-68,-200,-77,-85,-87,-84,-82,-78,-88,-200,-71,-200,-84,-91,-93,-200,-88,-91,-200,-92,-93,-89,-93,-93,-91,-92,-93,-92,-93,-96,-200,-200,-200,-94,-93,-95,-200,-200,-100,-92,-89,-200,-98,-95,-200,-97,-200,-91,-200,-86,-95,-95,-200,-200,-200,-200,-200,-200
1526446887213,-34,-49,-47,-43,-49,-53,-58,-59,-60,-58,-58,-63,-63,-61,-67,-70,-72,-80,-74,-76,-79,-72,-81,-77,-83,-87,-84,-82,-84,-88,-94,-86,-200,-83,-91,-89,-90,-88,-91,-200,-92,-93,-89,-89,-92,-93,-92,-94,-93,-93,-200,-95,-200,-200,-94,-93,-95,-200,-200,-200,-89,-89,-94,-200,-96,-200,-97,-200,-93,-200,-86,-95,-95,-200,-200,-200,-200,-200,-200
1526446890259,-35,-48,-43,-49,-57,-51,-64,-56,-59,-56,-63,-65,-63,-67,-65,-74,-71,-79,-71,-84,-76,-71,-84,-84,-86,-87,-68,-78,-77,-88,-94,-90,-200,-90,-91,-89,-90,-86,-91,-200,-95,-92,-200,-92,-94,-93,-91,-92,-95,-93,-200,-95,-200,-200,-93,-200,-95,-200,-200,-200,-93,-89,-94,-200,-94,-200,-97,-200,-93,-97,-86,-95,-95,-200,-200,-200,-200,-200,-200
1526446893305,-34,-49,-47,-41,-51,-50,-60,-60,-57,-52,-59,-64,-62,-66,-63,-73,-70,-77,-70,-82,-73,-62,-84,-85,-86,-87,-78,-83,-80,-88,-94,-82,-200,-90,-89,-89,-91,-86,-94,-200,-95,-92,-200,-88,-94,-93,-91,-91,-95,-90,-200,-95,-200,-200,-95,-91,-200,-200,-200,-200,-86,-200,-94,-200,-94,-200,-200,-200,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446896347,-35,-49,-48,-42,-48,-53,-57,-56,-58,-59,-56,-66,-62,-62,-69,-68,-68,-77,-70,-74,-76,-74,-82,-83,-86,-87,-84,-77,-84,-200,-88,-83,-200,-87,-89,-200,-91,-87,-89,-200,-95,-95,-200,-88,-89,-93,-93,-93,-91,-92,-200,-96,-200,-200,-95,-93,-95,-200,-200,-200,-86,-200,-200,-200,-94,-200,-93,-92,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446899392,-34,-46,-48,-43,-48,-51,-60,-58,-57,-58,-57,-63,-62,-63,-67,-70,-71,-79,-73,-75,-77,-73,-80,-83,-82,-200,-84,-77,-79,-200,-87,-85,-200,-89,-89,-91,-91,-87,-90,-200,-95,-92,-200,-88,-90,-93,-93,-92,-92,-92,-200,-96,-200,-95,-94,-94,-95,-97,-200,-96,-88,-200,-200,-200,-200,-200,-93,-92,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446902440,-34,-46,-46,-46,-50,-53,-60,-59,-60,-56,-58,-63,-62,-63,-66,-70,-70,-81,-72,-75,-77,-73,-91,-83,-80,-90,-84,-80,-78,-85,-87,-85,-200,-88,-89,-91,-200,-89,-90,-200,-93,-93,-200,-90,-90,-93,-91,-92,-92,-92,-200,-96,-200,-95,-95,-94,-95,-94,-200,-96,-89,-200,-200,-96,-92,-200,-93,-92,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526446905487,-33,-48,-46,-46,-54,-52,-59,-57,-58,-56,-60,-65,-62,-65,-58,-72,-70,-80,-71,-81,-78,-73,-91,-77,-81,-90,-79,-83,-76,-91,-87,-88,-200,-89,-89,-91,-92,-86,-92,-200,-94,-93,-96,-91,-89,-93,-91,-91,-92,-200,-200,-94,-200,-95,-95,-97,-96,-94,-200,-79,-88,-200,-200,-91,-92,-200,-200,-200,-93,-200,-200,-200,-95,-83,-94,-200,-200,-200,-200
1526446908533,-33,-45,-46,-47,-54,-51,-59,-56,-58,-52,-60,-64,-62,-63,-65,-71,-70,-81,-72,-78,-78,-200,-91,-83,-83,-90,-83,-83,-76,-88,-88,-74,-200,-89,-89,-90,-92,-87,-92,-200,-94,-93,-92,-91,-91,-93,-93,-88,-92,-95,-200,-94,-200,-94,-93,-97,-96,-94,-200,-79,-88,-89,-200,-91,-93,-200,-200,-200,-93,-200,-200,-96,-96,-83,-94,-96,-200,-200,-200
1526446911581,-35,-46,-46,-46,-52,-50,-58,-58,-60,-60,-58,-64,-61,-65,-66,-70,-67,-79,-76,-76,-79,-70,-200,-83,-80,-200,-80,-84,-78,-85,-89,-74,-200,-88,-93,-91,-92,-87,-88,-95,-92,-93,-92,-93,-90,-93,-93,-88,-200,-91,-95,-96,-200,-95,-93,-97,-96,-200,-200,-79,-88,-89,-200,-96,-94,-200,-200,-200,-93,-200,-200,-96,-96,-200,-94,-96,-96,-98,-200
1526446914624,-34,-47,-45,-53,-56,-52,-61,-56,-58,-58,-67,-69,-62,-66,-63,-71,-68,-88,-70,-79,-79,-66,-200,-78,-82,-86,-80,-86,-78,-85,-89,-89,-200,-88,-93,-91,-94,-87,-88,-95,-95,-94,-93,-93,-90,-93,-92,-87,-95,-91,-97,-96,-200,-95,-95,-94,-200,-200,-200,-200,-88,-89,-200,-96,-94,-200,-200,-200,-200,-200,-88,-96,-96,-200,-200,-96,-96,-98,-91
