,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526446798093,-40,-41,-49,-50,-48,-49,-54,-50,-63,-56,-58,-68,-73,-58,-62,-63,-59,-73,-200,-66,-76,-72,-79,-91,-83,-83,-84,-93,-81,-80,-86,-200,-84,-90,-90,-89,-92,-200,-200,-89,-95,-91,-92,-200,-200,-92,-88,-85,-200,-93,-200,-200,-200,-96,-93,-200,-200,-90,-90,-200,-200,-93,-84,-200,-87,-93,-94,-94,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526446801144,-38,-41,-39,-45,-48,-49,-58,-51,-63,-55,-58,-60,-69,-61,-67,-72,-59,-68,-79,-71,-75,-78,-77,-88,-83,-200,-89,-90,-81,-81,-91,-200,-86,-92,-90,-200,-91,-91,-200,-89,-95,-91,-92,-97,-97,-94,-85,-85,-200,-91,-200,-94,-200,-200,-200,-200,-200,-83,-200,-87,-93,-200,-88,-88,-92,-93,-96,-96,-93,-95,-93,-95,-200,-200,-200,-200,-200,-200
1526446804188,-35,-41,-39,-43,-51,-48,-47,-57,-63,-58,-49,-59,-71,-61,-68,-72,-61,-65,-76,-69,-80,-77,-78,-87,-77,-200,-81,-90,-85,-75,-86,-200,-91,-92,-90,-200,-88,-89,-200,-89,-93,-89,-92,-97,-97,-96,-85,-85,-97,-91,-200,-94,-200,-200,-94,-200,-200,-83,-200,-87,-93,-200,-88,-89,-93,-93,-96,-96,-93,-95,-93,-95,-95,-200,-200,-200,-200,-200
1526446807234,-36,-43,-39,-47,-51,-49,-52,-58,-65,-51,-49,-63,-63,-67,-66,-65,-59,-70,-75,-68,-79,-75,-78,-85,-76,-86,-88,-90,-88,-77,-92,-80,-89,-95,-91,-200,-90,-91,-200,-200,-93,-87,-94,-97,-97,-93,-87,-200,-97,-91,-200,-94,-97,-200,-94,-200,-200,-83,-200,-87,-91,-200,-88,-90,-93,-95,-96,-96,-93,-200,-93,-95,-95,-97,-200,-200,-200,-200
1526446810279,-39,-43,-39,-49,-50,-47,-50,-60,-65,-53,-58,-63,-60,-61,-63,-72,-62,-72,-76,-67,-78,-65,-77,-85,-79,-88,-83,-89,-87,-80,-92,-86,-85,-95,-86,-93,-89,-91,-200,-200,-93,-87,-94,-93,-97,-94,-90,-200,-97,-90,-97,-200,-97,-200,-94,-95,-200,-200,-200,-200,-91,-95,-200,-88,-87,-95,-200,-200,-200,-200,-94,-200,-95,-97,-200,-200,-200,-200
1526446813327,-35,-42,-39,-39,-49,-48,-50,-53,-64,-58,-56,-59,-69,-61,-72,-65,-61,-69,-75,-74,-77,-77,-80,-92,-76,-88,-90,-92,-86,-78,-87,-86,-93,-95,-90,-87,-89,-91,-200,-200,-90,-87,-91,-91,-200,-94,-84,-200,-93,-90,-97,-200,-97,-200,-94,-95,-98,-84,-200,-200,-91,-95,-88,-88,-87,-95,-200,-95,-200,-200,-95,-200,-200,-97,-200,-200,-200,-200
1526446816375,-35,-42,-38,-42,-49,-48,-52,-50,-65,-59,-58,-55,-75,-61,-74,-63,-63,-68,-74,-74,-74,-77,-79,-92,-77,-88,-81,-92,-86,-79,-87,-86,-92,-200,-90,-87,-89,-92,-200,-200,-90,-92,-92,-91,-200,-94,-84,-200,-93,-90,-97,-200,-200,-200,-94,-95,-98,-84,-200,-200,-200,-95,-88,-90,-87,-200,-98,-95,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526446819417,-36,-42,-40,-39,-49,-47,-51,-50,-64,-57,-58,-54,-68,-61,-75,-62,-65,-74,-75,-74,-76,-80,-79,-89,-77,-200,-80,-92,-91,-77,-90,-200,-90,-200,-88,-88,-90,-92,-200,-200,-92,-92,-95,-91,-200,-97,-85,-200,-93,-200,-200,-200,-200,-200,-96,-200,-98,-84,-200,-200,-200,-200,-88,-90,-200,-200,-94,-95,-200,-200,-95,-200,-200,-200,-96,-200,-200,-200
1526446822462,-38,-42,-46,-41,-48,-48,-53,-49,-62,-57,-53,-54,-69,-59,-81,-66,-63,-70,-75,-74,-77,-78,-82,-89,-76,-200,-80,-95,-83,-77,-89,-200,-93,-200,-86,-88,-90,-92,-200,-200,-92,-91,-95,-91,-200,-93,-86,-200,-93,-89,-200,-94,-200,-200,-96,-200,-200,-200,-200,-90,-200,-96,-89,-90,-93,-200,-94,-97,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200
1526446825509,-37,-41,-39,-42,-48,-48,-46,-51,-65,-59,-55,-58,-71,-58,-55,-54,-62,-70,-75,-70,-74,-77,-78,-91,-76,-86,-81,-96,-83,-80,-86,-200,-93,-200,-87,-89,-90,-93,-200,-200,-90,-91,-95,-91,-200,-93,-87,-83,-200,-89,-200,-94,-200,-97,-96,-200,-200,-84,-200,-90,-200,-96,-89,-90,-91,-200,-94,-92,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200
1526446828556,-46,-41,-46,-40,-49,-49,-45,-53,-64,-63,-56,-57,-69,-60,-72,-68,-62,-69,-75,-70,-77,-77,-81,-87,-77,-86,-83,-96,-81,-79,-89,-200,-89,-200,-87,-88,-90,-91,-200,-200,-91,-92,-200,-91,-200,-93,-87,-83,-200,-94,-97,-94,-200,-97,-93,-200,-200,-84,-200,-90,-93,-96,-89,-200,-92,-97,-95,-97,-200,-200,-200,-200,-200,-200,-200,-97,-95,-200
1526446831604,-39,-42,-41,-41,-49,-48,-44,-50,-73,-61,-52,-59,-66,-61,-70,-68,-66,-77,-79,-70,-84,-75,-77,-90,-81,-84,-92,-86,-81,-81,-88,-200,-92,-94,-91,-85,-94,-89,-200,-200,-91,-90,-200,-92,-95,-95,-87,-83,-200,-90,-97,-200,-200,-97,-92,-200,-200,-84,-200,-200,-93,-200,-200,-91,-92,-94,-95,-94,-95,-200,-200,-200,-200,-200,-200,-200,-95,-96
