,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447165051,-38,-41,-51,-52,-55,-49,-63,-64,-63,-61,-66,-61,-61,-65,-74,-63,-68,-75,-73,-73,-94,-75,-83,-74,-86,-200,-87,-77,-83,-82,-88,-83,-200,-94,-95,-87,-89,-75,-94,-95,-85,-92,-94,-93,-98,-200,-97,-87,-90,-200,-95,-93,-94,-200,-200,-98,-95,-200,-200,-200,-200,-94,-97,-90,-200,-200,-200,-93,-200,-200,-200
1526447168086,-40,-39,-50,-51,-55,-54,-63,-58,-62,-62,-61,-70,-66,-73,-72,-67,-69,-74,-75,-73,-94,-84,-83,-72,-86,-94,-89,-72,-77,-79,-88,-83,-200,-90,-89,-87,-88,-73,-94,-200,-87,-92,-200,-93,-98,-200,-97,-81,-92,-200,-95,-91,-94,-200,-200,-200,-200,-200,-200,-200,-96,-94,-96,-90,-200,-200,-200,-93,-200,-200,-200
1526447171126,-38,-42,-47,-53,-47,-53,-62,-69,-62,-57,-63,-68,-60,-70,-68,-63,-65,-65,-69,-78,-94,-74,-70,-75,-88,-94,-90,-67,-79,-79,-86,-86,-94,-92,-96,-85,-88,-75,-91,-200,-87,-94,-200,-93,-200,-99,-200,-84,-86,-200,-96,-91,-94,-200,-200,-200,-200,-200,-200,-200,-96,-94,-96,-90,-85,-200,-200,-200,-89,-200,-200
1526447174163,-40,-42,-49,-53,-55,-53,-60,-68,-64,-59,-64,-62,-63,-73,-67,-67,-62,-71,-73,-77,-90,-76,-65,-74,-88,-93,-85,-68,-77,-82,-86,-86,-62,-92,-96,-90,-94,-75,-91,-95,-87,-94,-75,-200,-200,-99,-200,-83,-91,-95,-96,-93,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-96,-200,-85,-200,-200,-200,-89,-200,-200
1526447177204,-39,-46,-50,-51,-54,-53,-61,-55,-57,-58,-72,-73,-58,-66,-69,-67,-68,-72,-73,-75,-85,-86,-72,-79,-88,-87,-87,-72,-84,-81,-88,-86,-85,-93,-96,-91,-91,-77,-91,-92,-87,-89,-75,-200,-200,-99,-200,-78,-89,-95,-93,-90,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-85,-85,-200,-89,-200,-89,-200,-200
1526447180253,-37,-44,-50,-49,-49,-54,-59,-64,-59,-57,-67,-75,-60,-73,-77,-73,-65,-69,-74,-81,-85,-79,-70,-72,-200,-87,-87,-69,-77,-80,-89,-83,-88,-91,-90,-91,-88,-78,-91,-92,-88,-93,-75,-200,-200,-200,-200,-83,-89,-95,-93,-90,-200,-97,-200,-200,-200,-200,-200,-200,-97,-200,-200,-85,-200,-200,-92,-200,-200,-96,-97
1526447183294,-39,-46,-49,-52,-51,-51,-59,-62,-61,-58,-66,-69,-63,-72,-74,-77,-64,-69,-73,-71,-89,-80,-66,-73,-200,-87,-89,-71,-76,-79,-89,-91,-82,-91,-90,-91,-92,-76,-97,-92,-89,-93,-200,-200,-200,-200,-200,-85,-96,-200,-92,-90,-200,-97,-200,-200,-200,-200,-200,-200,-97,-93,-94,-81,-200,-200,-92,-200,-200,-96,-94
1526447186337,-38,-46,-52,-53,-52,-53,-60,-63,-60,-58,-66,-72,-67,-78,-77,-71,-68,-67,-71,-69,-88,-85,-72,-78,-200,-200,-89,-70,-78,-77,-93,-87,-85,-91,-90,-92,-92,-83,-97,-93,-89,-93,-200,-200,-200,-200,-95,-81,-91,-200,-92,-200,-200,-97,-97,-200,-200,-200,-200,-200,-98,-94,-94,-67,-200,-200,-90,-200,-200,-96,-98
1526447189382,-37,-43,-49,-50,-51,-54,-60,-63,-62,-57,-64,-70,-62,-75,-73,-74,-68,-73,-78,-76,-85,-82,-72,-78,-200,-92,-89,-71,-77,-81,-90,-81,-87,-94,-200,-92,-91,-78,-94,-93,-86,-91,-200,-200,-200,-200,-97,-84,-91,-200,-92,-200,-95,-200,-97,-200,-200,-200,-200,-200,-98,-94,-94,-74,-200,-200,-86,-200,-200,-200,-76
1526447192427,-38,-44,-54,-53,-53,-55,-57,-62,-61,-56,-64,-72,-59,-72,-73,-74,-67,-73,-72,-83,-90,-82,-72,-81,-200,-92,-90,-69,-79,-81,-91,-84,-87,-94,-87,-92,-87,-77,-95,-93,-87,-93,-200,-200,-200,-200,-97,-84,-91,-200,-68,-200,-95,-200,-97,-200,-200,-200,-200,-200,-98,-94,-200,-74,-200,-200,-90,-200,-200,-94,-76
1526447195473,-37,-45,-48,-50,-53,-55,-58,-63,-61,-55,-62,-73,-58,-68,-73,-72,-66,-78,-75,-78,-88,-81,-73,-74,-200,-92,-90,-70,-77,-85,-91,-91,-87,-91,-87,-90,-89,-79,-95,-93,-86,-90,-93,-200,-200,-200,-97,-83,-95,-200,-68,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-90,-94,-74,-200,-200,-90,-200,-200,-94,-95
1526447198518,-38,-46,-52,-52,-49,-52,-59,-62,-59,-57,-63,-68,-63,-67,-74,-69,-65,-66,-73,-75,-89,-79,-73,-73,-89,-90,-90,-74,-77,-79,-90,-91,-86,-91,-87,-90,-88,-76,-95,-92,-86,-90,-93,-93,-200,-95,-94,-84,-95,-200,-91,-95,-96,-200,-200,-200,-97,-200,-200,-200,-95,-90,-94,-200,-200,-200,-90,-200,-200,-94,-95
