,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018
1526446952972,-26,-53,-47,-58,-55,-74,-60,-61,-63,-61,-64,-61,-63,-70,-69,-61,-72,-65,-61,-67,-70,-84,-84,-68,-89,-81,-81,-88,-85,-87,-200,-79,-72,-200,-91,-92,-200,-86,-90,-200,-200,-93,-95,-200,-85,-94,-200,-96,-200,-93,-97,-86,-92,-93,-95,-200,-200,-200,-200,-93,-200,-88,-200,-97,-200,-200,-200,-200,-200,-96,-94,-200,-89,-94,-95,-97,-97,-96,-200,-200,-200,-200,-200,-200
1526446956019,-42,-47,-61,-58,-61,-69,-60,-52,-63,-56,-62,-64,-61,-69,-64,-66,-72,-68,-62,-67,-64,-81,-86,-78,-86,-81,-81,-86,-85,-90,-89,-80,-70,-95,-80,-86,-200,-86,-200,-200,-200,-93,-95,-200,-90,-92,-200,-200,-200,-200,-95,-200,-90,-93,-94,-200,-96,-88,-200,-93,-200,-88,-200,-200,-87,-200,-200,-200,-200,-93,-94,-200,-89,-200,-92,-97,-200,-96,-200,-200,-200,-200,-200,-200
1526446959060,-34,-48,-55,-47,-53,-67,-52,-50,-53,-64,-66,-68,-59,-73,-63,-60,-78,-65,-60,-70,-71,-82,-87,-86,-86,-81,-84,-86,-79,-88,-88,-86,-76,-95,-64,-95,-85,-200,-94,-200,-200,-93,-92,-200,-90,-92,-200,-98,-94,-200,-93,-200,-94,-200,-93,-200,-96,-81,-200,-200,-200,-92,-200,-200,-87,-95,-200,-200,-200,-93,-94,-200,-89,-200,-92,-97,-200,-96,-91,-200,-200,-200,-200,-200
1526446962105,-26,-55,-50,-54,-59,-67,-59,-48,-56,-69,-63,-69,-61,-71,-64,-62,-81,-64,-60,-73,-67,-84,-83,-85,-86,-81,-83,-89,-82,-90,-88,-86,-59,-89,-84,-95,-85,-200,-94,-200,-200,-93,-92,-200,-90,-92,-95,-98,-94,-200,-93,-89,-94,-200,-93,-200,-96,-81,-200,-200,-200,-91,-200,-200,-87,-95,-200,-200,-200,-93,-94,-200,-89,-200,-92,-200,-200,-200,-91,-94,-96,-200,-200,-200
1526446965148,-26,-57,-48,-45,-58,-70,-55,-50,-54,-63,-61,-71,-59,-72,-63,-63,-81,-65,-61,-67,-69,-81,-80,-85,-86,-83,-84,-89,-82,-92,-88,-86,-75,-90,-84,-95,-85,-200,-94,-200,-200,-93,-92,-94,-95,-200,-96,-98,-94,-89,-97,-89,-90,-200,-93,-200,-200,-84,-200,-200,-200,-90,-200,-200,-200,-95,-200,-200,-200,-97,-94,-200,-200,-200,-200,-200,-200,-200,-91,-94,-96,-200,-200,-200
1526446968191,-27,-53,-50,-47,-56,-70,-58,-49,-55,-64,-63,-70,-59,-68,-69,-63,-76,-69,-61,-66,-70,-81,-80,-85,-90,-81,-84,-87,-81,-92,-200,-91,-77,-90,-78,-200,-200,-200,-200,-200,-200,-200,-92,-94,-93,-200,-96,-96,-200,-90,-97,-89,-90,-91,-93,-200,-200,-84,-200,-94,-200,-90,-200,-200,-200,-200,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-96,-96,-200,-200
1526446971236,-27,-56,-51,-56,-55,-63,-60,-50,-57,-71,-61,-62,-64,-75,-65,-64,-76,-66,-66,-76,-65,-83,-80,-86,-95,-80,-86,-85,-81,-92,-200,-85,-76,-90,-82,-200,-88,-200,-200,-92,-200,-200,-98,-94,-94,-200,-96,-96,-200,-91,-97,-90,-90,-91,-93,-200,-200,-84,-200,-94,-200,-90,-200,-200,-200,-200,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-98,-97,-200
1526446974277,-25,-56,-52,-52,-61,-70,-57,-50,-58,-67,-62,-68,-59,-70,-64,-62,-73,-64,-62,-75,-70,-82,-84,-86,-85,-80,-81,-87,-85,-92,-200,-82,-76,-91,-79,-200,-86,-86,-95,-92,-200,-200,-93,-200,-91,-200,-96,-94,-200,-91,-200,-88,-200,-91,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-98,-97,-200
1526446977323,-35,-49,-51,-48,-54,-67,-63,-57,-62,-67,-63,-67,-65,-75,-69,-61,-73,-64,-63,-69,-71,-77,-84,-77,-92,-80,-81,-88,-85,-88,-200,-83,-74,-91,-86,-94,-86,-86,-95,-91,-200,-200,-92,-93,-89,-200,-200,-94,-200,-91,-96,-88,-88,-96,-200,-95,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94,-200,-98,-97,-200
1526446980365,-33,-55,-49,-50,-62,-68,-57,-54,-60,-67,-60,-64,-61,-70,-72,-62,-74,-63,-61,-72,-67,-77,-81,-87,-83,-80,-84,-85,-83,-88,-200,-81,-73,-91,-85,-96,-86,-83,-93,-91,-200,-93,-93,-93,-89,-200,-200,-94,-200,-92,-96,-88,-94,-93,-94,-95,-200,-84,-200,-93,-200,-95,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526446983407,-32,-55,-50,-52,-60,-71,-57,-57,-65,-70,-60,-66,-61,-73,-67,-61,-75,-60,-68,-66,-65,-87,-82,-79,-83,-80,-83,-86,-83,-89,-90,-81,-73,-91,-86,-96,-86,-85,-95,-94,-200,-93,-90,-93,-89,-200,-200,-93,-200,-92,-96,-89,-89,-93,-94,-95,-200,-84,-200,-91,-200,-98,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-93,-200,-200,-200,-200,-200,-200,-93,-200,-200,-97,-98
1526446986451,-25,-56,-51,-55,-59,-72,-57,-51,-60,-66,-60,-65,-59,-73,-63,-64,-75,-63,-67,-74,-59,-88,-83,-79,-84,-80,-82,-88,-83,-89,-90,-82,-76,-92,-79,-96,-86,-85,-95,-94,-200,-90,-90,-93,-88,-200,-200,-93,-93,-92,-92,-89,-88,-93,-91,-95,-200,-88,-200,-91,-200,-98,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-88,-200,-97,-200,-200,-200,-200,-94,-200,-200,-200,-98
