,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447358985,-35,-46,-54,-66,-57,-50,-56,-47,-63,-64,-62,-63,-59,-63,-68,-75,-51,-74,-70,-81,-74,-76,-200,-76,-82,-69,-78,-77,-200,-92,-95,-90,-88,-63,-94,-86,-80,-91,-200,-89,-85,-200,-94,-89,-90,-95,-84,-91,-87,-85,-85,-89,-90,-200,-94,-92,-200,-200,-200,-94,-91,-97,-200,-93,-95,-90,-96,-95,-200,-200,-200,-92,-92,-200,-93,-95,-92,-93,-200,-98,-96,-97,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447362038,-35,-47,-56,-58,-57,-52,-56,-52,-67,-58,-63,-63,-56,-65,-72,-71,-51,-76,-68,-79,-75,-74,-200,-75,-84,-76,-74,-78,-200,-94,-95,-90,-88,-81,-200,-87,-82,-92,-200,-89,-85,-200,-91,-89,-96,-95,-85,-90,-87,-85,-89,-89,-90,-95,-93,-95,-200,-200,-200,-95,-95,-200,-200,-93,-95,-93,-93,-200,-200,-200,-200,-88,-92,-200,-91,-95,-92,-97,-200,-98,-200,-200,-90,-90,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447365086,-36,-59,-56,-65,-55,-48,-54,-50,-56,-62,-65,-63,-55,-62,-61,-73,-49,-79,-69,-76,-75,-84,-200,-76,-86,-73,-79,-78,-200,-92,-95,-90,-88,-81,-90,-93,-82,-92,-200,-89,-83,-200,-87,-91,-96,-95,-87,-90,-91,-82,-89,-89,-200,-92,-92,-89,-200,-200,-200,-94,-95,-200,-200,-200,-200,-89,-93,-94,-200,-97,-200,-88,-93,-200,-91,-200,-92,-97,-200,-98,-200,-100,-200,-90,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447368131,-36,-46,-56,-63,-62,-50,-54,-56,-55,-64,-57,-60,-50,-66,-62,-71,-44,-76,-70,-74,-75,-79,-200,-75,-86,-74,-77,-76,-200,-92,-200,-200,-200,-81,-90,-88,-79,-89,-200,-200,-83,-200,-85,-94,-96,-95,-90,-90,-89,-81,-91,-200,-93,-92,-90,-92,-200,-200,-96,-93,-92,-200,-200,-200,-200,-89,-93,-93,-200,-97,-200,-88,-93,-200,-94,-200,-200,-92,-200,-200,-200,-100,-200,-90,-95,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447371178,-36,-48,-55,-62,-57,-51,-53,-55,-53,-66,-66,-63,-50,-65,-63,-69,-49,-77,-69,-77,-77,-81,-200,-77,-87,-75,-76,-77,-82,-92,-200,-200,-200,-88,-85,-85,-79,-89,-200,-88,-84,-200,-86,-94,-93,-95,-90,-200,-63,-82,-91,-200,-93,-92,-91,-88,-200,-200,-96,-93,-92,-98,-200,-200,-94,-87,-93,-94,-93,-95,-200,-88,-93,-200,-92,-200,-200,-92,-200,-200,-200,-97,-200,-200,-200,-200,-93,-96,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526447374222,-36,-47,-53,-66,-61,-50,-54,-54,-58,-67,-63,-64,-54,-68,-71,-73,-48,-80,-71,-76,-76,-77,-200,-78,-90,-77,-75,-79,-82,-93,-200,-200,-200,-87,-90,-87,-79,-90,-200,-91,-84,-200,-87,-94,-88,-95,-92,-71,-93,-81,-90,-92,-93,-200,-91,-92,-200,-200,-92,-93,-87,-98,-97,-89,-94,-88,-93,-94,-93,-95,-200,-89,-94,-200,-93,-200,-96,-96,-200,-94,-200,-97,-200,-200,-200,-200,-98,-94,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526447377269,-43,-47,-56,-62,-56,-56,-59,-53,-53,-58,-64,-57,-61,-63,-65,-68,-55,-85,-77,-76,-76,-74,-200,-79,-85,-76,-87,-79,-83,-93,-200,-200,-88,-83,-90,-93,-86,-90,-200,-91,-92,-200,-85,-94,-88,-95,-92,-71,-93,-86,-90,-92,-200,-200,-93,-98,-200,-200,-92,-200,-86,-98,-97,-89,-94,-89,-93,-94,-93,-95,-200,-85,-94,-200,-92,-200,-96,-96,-200,-94,-96,-97,-200,-200,-200,-200,-98,-94,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526447380313,-37,-48,-59,-62,-64,-45,-58,-56,-53,-64,-62,-60,-52,-70,-62,-73,-46,-80,-71,-75,-69,-80,-200,-76,-84,-68,-81,-79,-83,-90,-200,-200,-88,-82,-88,-86,-84,-200,-200,-200,-90,-200,-90,-90,-94,-200,-86,-200,-91,-86,-90,-200,-93,-200,-93,-96,-200,-200,-200,-94,-92,-98,-97,-91,-200,-88,-200,-93,-200,-200,-200,-87,-94,-200,-95,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-96,-200,-200,-200,-200,-200
1526447383361,-36,-46,-60,-64,-59,-50,-55,-58,-57,-58,-66,-58,-55,-68,-63,-67,-48,-85,-77,-75,-70,-82,-200,-76,-84,-75,-78,-79,-83,-90,-200,-200,-88,-76,-88,-86,-84,-91,-200,-200,-87,-200,-91,-90,-94,-200,-86,-93,-86,-87,-90,-200,-93,-200,-93,-96,-200,-200,-200,-96,-92,-98,-97,-91,-200,-88,-91,-94,-92,-200,-200,-86,-94,-200,-95,-200,-200,-200,-200,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-96,-96,-98,-200,-200,-200
1526447386408,-37,-48,-61,-63,-59,-48,-55,-57,-56,-60,-66,-65,-53,-67,-63,-72,-49,-85,-69,-75,-74,-82,-200,-75,-85,-75,-80,-77,-200,-90,-200,-200,-200,-79,-88,-85,-84,-91,-200,-200,-87,-200,-89,-90,-90,-200,-87,-94,-90,-86,-89,-200,-93,-200,-89,-93,-200,-200,-200,-96,-88,-98,-97,-91,-200,-90,-90,-94,-92,-200,-200,-80,-95,-200,-94,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-93,-94,-96,-98,-200,-200,-200
1526447389449,-38,-45,-59,-68,-60,-49,-54,-57,-54,-58,-71,-59,-53,-60,-63,-70,-45,-92,-73,-75,-68,-83,-91,-76,-84,-73,-79,-77,-200,-91,-200,-200,-200,-84,-90,-88,-83,-91,-85,-93,-86,-200,-89,-89,-90,-200,-88,-94,-87,-85,-92,-200,-91,-200,-90,-92,-200,-200,-200,-93,-91,-200,-97,-200,-200,-90,-90,-95,-92,-200,-200,-80,-93,-200,-94,-200,-200,-94,-200,-95,-97,-200,-200,-200,-200,-96,-200,-200,-200,-91,-200,-94,-96,-98,-200,-200,-200
1526447392501,-36,-47,-59,-62,-55,-47,-58,-57,-53,-57,-64,-64,-56,-59,-61,-76,-50,-77,-72,-76,-70,-82,-94,-76,-84,-73,-82,-80,-200,-89,-200,-200,-200,-80,-90,-85,-85,-92,-85,-90,-93,-200,-89,-86,-90,-200,-88,-91,-88,-82,-90,-88,-91,-200,-90,-92,-200,-200,-89,-93,-91,-200,-97,-90,-200,-90,-90,-94,-200,-200,-200,-88,-93,-200,-93,-200,-200,-94,-200,-95,-93,-200,-200,-200,-200,-96,-200,-200,-200,-91,-200,-94,-200,-200,-95,-97,-98
