,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8
1526447025066,-39,-47,-53,-53,-45,-59,-52,-54,-62,-53,-62,-68,-62,-75,-64,-68,-62,-68,-78,-73,-58,-77,-71,-80,-79,-82,-84,-85,-84,-200,-84,-200,-200,-93,-88,-84,-90,-77,-93,-80,-87,-84,-87,-200,-200,-90,-94,-92,-200,-96,-96,-93,-200,-200,-200,-93,-200,-200,-200,-91,-93,-95,-200,-200,-200,-200,-93,-200,-200,-94,-95,-93,-200,-200,-200,-200,-200,-200
1526447028112,-39,-47,-53,-52,-43,-59,-50,-53,-57,-55,-62,-61,-57,-67,-69,-66,-61,-67,-80,-73,-61,-77,-70,-76,-77,-75,-84,-85,-84,-200,-85,-200,-91,-93,-88,-84,-90,-86,-200,-87,-87,-84,-87,-96,-200,-90,-94,-91,-200,-93,-96,-93,-94,-200,-200,-93,-200,-200,-200,-91,-89,-95,-200,-94,-200,-200,-93,-94,-200,-94,-95,-93,-200,-200,-200,-200,-200,-200
1526447031157,-41,-47,-54,-50,-45,-58,-53,-52,-59,-55,-62,-61,-57,-74,-65,-68,-60,-68,-80,-73,-59,-200,-67,-78,-74,-74,-81,-88,-84,-200,-82,-200,-91,-91,-87,-84,-88,-88,-96,-87,-86,-200,-200,-96,-200,-93,-94,-92,-200,-99,-96,-93,-94,-200,-200,-96,-200,-200,-200,-91,-90,-95,-94,-94,-200,-200,-93,-94,-200,-200,-95,-93,-200,-200,-200,-200,-200,-200
1526447034203,-44,-43,-55,-50,-48,-58,-52,-53,-66,-61,-66,-66,-56,-73,-66,-67,-60,-67,-79,-77,-59,-200,-74,-81,-75,-78,-89,-88,-86,-200,-81,-200,-88,-91,-87,-85,-88,-84,-96,-86,-87,-200,-86,-96,-200,-93,-94,-92,-97,-99,-96,-96,-92,-200,-200,-91,-200,-200,-200,-200,-90,-94,-94,-94,-200,-200,-93,-94,-200,-92,-200,-93,-200,-200,-200,-200,-200,-200
1526447037249,-50,-48,-50,-47,-53,-59,-56,-51,-56,-51,-65,-64,-62,-73,-68,-63,-63,-67,-93,-76,-66,-77,-70,-73,-79,-77,-80,-87,-82,-83,-87,-200,-88,-91,-87,-79,-84,-84,-91,-86,-86,-87,-83,-92,-94,-93,-94,-89,-97,-99,-200,-96,-89,-200,-200,-86,-200,-200,-200,-200,-90,-89,-94,-200,-200,-200,-200,-200,-97,-91,-200,-200,-89,-92,-200,-200,-200,-200
1526447040295,-44,-47,-50,-44,-47,-54,-64,-53,-57,-59,-65,-61,-63,-63,-66,-63,-63,-72,-80,-74,-61,-74,-75,-73,-79,-77,-84,-84,-88,-87,-87,-200,-89,-200,-200,-80,-83,-85,-91,-90,-85,-87,-86,-92,-94,-93,-200,-90,-97,-93,-92,-96,-96,-94,-200,-86,-200,-200,-97,-200,-92,-93,-91,-93,-200,-200,-95,-200,-97,-94,-93,-200,-89,-92,-200,-200,-200,-200
1526447043343,-42,-42,-55,-46,-43,-54,-58,-53,-62,-56,-59,-62,-60,-67,-62,-65,-63,-70,-80,-74,-64,-74,-66,-78,-79,-75,-88,-84,-88,-87,-87,-200,-89,-92,-200,-82,-80,-88,-95,-87,-92,-87,-86,-92,-94,-93,-94,-90,-200,-94,-92,-95,-92,-94,-200,-88,-200,-200,-97,-200,-90,-95,-91,-93,-200,-200,-92,-93,-97,-94,-95,-92,-89,-92,-200,-200,-200,-200
1526447046393,-42,-46,-58,-44,-40,-55,-57,-53,-60,-57,-61,-59,-58,-68,-62,-63,-58,-72,-77,-75,-66,-74,-69,-76,-78,-75,-87,-83,-84,-87,-87,-200,-93,-92,-200,-84,-80,-88,-93,-83,-90,-200,-87,-200,-92,-93,-94,-90,-200,-93,-92,-95,-89,-94,-200,-91,-200,-200,-97,-200,-89,-95,-91,-93,-200,-200,-92,-93,-200,-94,-95,-92,-200,-200,-97,-200,-200,-200
1526447049436,-39,-48,-53,-42,-47,-56,-55,-51,-59,-60,-57,-59,-73,-64,-68,-60,-64,-71,-77,-73,-67,-73,-70,-75,-80,-75,-87,-83,-85,-200,-87,-200,-91,-92,-200,-84,-86,-89,-93,-85,-90,-200,-86,-200,-92,-93,-94,-91,-95,-93,-200,-97,-89,-200,-200,-86,-200,-200,-95,-200,-89,-95,-200,-200,-200,-200,-93,-93,-200,-200,-90,-92,-200,-200,-97,-95,-200,-200
1526447052494,-48,-57,-72,-50,-47,-57,-51,-49,-64,-59,-60,-61,-57,-67,-65,-62,-69,-71,-80,-75,-61,-75,-72,-78,-77,-80,-86,-80,-85,-200,-84,-200,-91,-200,-200,-80,-87,-82,-93,-84,-90,-200,-88,-89,-92,-93,-91,-90,-95,-91,-200,-97,-92,-92,-200,-86,-200,-200,-95,-200,-90,-92,-200,-200,-200,-200,-94,-200,-200,-92,-90,-200,-86,-200,-97,-95,-97,-200
1526447055537,-39,-54,-52,-47,-46,-59,-52,-52,-58,-55,-58,-69,-61,-77,-65,-78,-65,-65,-80,-74,-63,-67,-73,-78,-85,-80,-83,-90,-84,-200,-82,-200,-91,-200,-92,-78,-87,-88,-95,-82,-88,-200,-82,-89,-200,-91,-93,-90,-95,-91,-93,-95,-92,-92,-200,-86,-200,-200,-95,-200,-90,-92,-200,-200,-200,-200,-94,-200,-200,-93,-97,-200,-83,-200,-200,-96,-97,-96
1526447058579,-46,-57,-52,-49,-46,-61,-50,-52,-64,-56,-63,-64,-63,-69,-55,-69,-63,-67,-85,-68,-64,-76,-63,-74,-76,-80,-92,-85,-91,-200,-85,-200,-200,-200,-92,-79,-87,-88,-95,-86,-87,-200,-82,-89,-88,-91,-93,-90,-94,-96,-97,-95,-92,-93,-200,-95,-200,-200,-95,-200,-90,-95,-94,-200,-200,-200,-97,-200,-200,-93,-97,-200,-82,-200,-200,-96,-97,-96
