,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459381780,-22,-37,-41,-44,-44,-55,-65,-65,-56,-72,-57,-58,-67,-59,-59,-61,-66,-61,-74,-62,-85,-80,-77,-77,-75,-67,-200,-200,-85,-76,-83,-84,-75,-81,-77,-82,-79,-83,-87,-200,-86,-90,-73,-89,-200,-200,-91,-88,-81,-86,-89,-200,-200,-83,-85,-90,-91,-91,-200,-90,-200,-89,-200,-87,-200,-88,-90,-200,-200,-200,-93,-89,-89,-200,-200,-200
1526459384818,-14,-39,-45,-43,-44,-55,-72,-63,-52,-50,-58,-69,-68,-57,-63,-60,-63,-59,-74,-73,-85,-80,-77,-79,-75,-78,-200,-200,-85,-76,-82,-84,-75,-81,-77,-82,-79,-83,-87,-200,-86,-89,-73,-89,-200,-86,-91,-88,-81,-86,-77,-200,-200,-83,-85,-88,-91,-91,-90,-90,-200,-200,-200,-88,-200,-88,-90,-200,-200,-200,-93,-89,-89,-91,-200,-200
1526459387859,-22,-39,-43,-44,-44,-55,-64,-63,-53,-53,-57,-61,-67,-58,-69,-61,-66,-59,-75,-63,-85,-80,-77,-77,-75,-69,-77,-200,-85,-78,-82,-84,-75,-81,-77,-84,-78,-80,-88,-200,-85,-89,-76,-89,-200,-88,-200,-89,-81,-84,-77,-200,-200,-83,-85,-88,-86,-91,-87,-200,-90,-200,-200,-88,-200,-88,-90,-200,-200,-200,-91,-89,-200,-91,-200,-200
1526459390891,-29,-38,-43,-42,-44,-55,-64,-64,-51,-51,-59,-52,-65,-58,-62,-60,-65,-66,-74,-65,-84,-81,-77,-78,-75,-71,-78,-200,-200,-84,-83,-82,-75,-77,-77,-79,-80,-80,-89,-200,-85,-89,-74,-85,-200,-90,-200,-89,-81,-85,-77,-200,-200,-83,-200,-91,-90,-91,-86,-200,-90,-200,-200,-87,-91,-200,-90,-200,-84,-200,-91,-89,-200,-91,-200,-200
1526459393927,-28,-38,-43,-42,-44,-55,-65,-65,-55,-51,-57,-60,-67,-56,-64,-60,-67,-60,-74,-63,-84,-82,-78,-77,-200,-71,-80,-200,-200,-78,-83,-84,-73,-77,-77,-81,-80,-81,-89,-200,-78,-88,-72,-85,-200,-90,-200,-89,-79,-84,-77,-200,-200,-200,-200,-91,-86,-91,-86,-200,-90,-200,-200,-87,-91,-200,-90,-200,-84,-200,-91,-200,-200,-91,-200,-200
1526459396964,-24,-38,-43,-43,-44,-55,-63,-64,-53,-52,-58,-50,-67,-59,-63,-62,-67,-59,-74,-43,-85,-82,-77,-77,-74,-71,-80,-200,-200,-80,-83,-84,-75,-82,-71,-81,-80,-81,-88,-200,-81,-88,-71,-85,-200,-88,-200,-88,-82,-86,-200,-200,-200,-200,-200,-91,-86,-92,-86,-90,-88,-200,-200,-87,-91,-200,-89,-200,-84,-200,-91,-200,-200,-200,-200,-200
1526459400000,-14,-45,-44,-43,-44,-55,-72,-64,-51,-51,-59,-70,-66,-56,-68,-64,-66,-60,-74,-64,-85,-81,-79,-83,-75,-77,-80,-200,-200,-80,-82,-84,-77,-84,-71,-81,-90,-81,-88,-200,-81,-88,-77,-85,-200,-88,-200,-88,-81,-86,-200,-200,-200,-200,-200,-88,-88,-92,-86,-90,-88,-200,-200,-90,-91,-200,-91,-200,-88,-200,-200,-200,-91,-200,-200,-200
1526459403032,-24,-38,-43,-42,-44,-55,-66,-65,-54,-53,-56,-59,-67,-57,-64,-60,-67,-60,-74,-64,-85,-80,-77,-77,-75,-67,-76,-200,-200,-80,-83,-83,-77,-82,-71,-81,-90,-82,-88,-200,-81,-88,-79,-200,-200,-88,-91,-88,-77,-85,-90,-200,-200,-200,-200,-90,-88,-92,-88,-90,-88,-87,-200,-86,-91,-200,-91,-200,-88,-200,-200,-200,-91,-200,-200,-200
1526459406072,-28,-38,-32,-42,-44,-55,-65,-65,-56,-53,-56,-48,-67,-57,-69,-60,-65,-60,-74,-64,-85,-80,-77,-77,-75,-70,-73,-200,-200,-76,-83,-83,-75,-80,-77,-81,-80,-82,-88,-200,-81,-89,-74,-89,-200,-88,-91,-88,-79,-84,-90,-83,-200,-200,-200,-90,-86,-92,-88,-91,-88,-87,-200,-86,-91,-89,-91,-200,-88,-200,-92,-200,-91,-200,-86,-200
1526459409108,-23,-38,-34,-44,-44,-55,-64,-64,-54,-53,-58,-60,-67,-61,-69,-59,-68,-59,-74,-62,-86,-81,-77,-77,-74,-68,-83,-89,-86,-82,-83,-72,-72,-82,-77,-81,-78,-82,-200,-200,-200,-89,-73,-88,-200,-90,-91,-87,-79,-84,-90,-85,-200,-200,-200,-89,-91,-200,-88,-91,-88,-84,-200,-86,-200,-89,-92,-200,-86,-200,-92,-200,-91,-200,-86,-88
1526459412145,-29,-39,-44,-43,-44,-55,-63,-65,-53,-44,-57,-59,-68,-62,-62,-61,-67,-60,-74,-64,-85,-82,-78,-78,-73,-67,-83,-89,-86,-83,-83,-82,-76,-81,-79,-84,-78,-82,-200,-200,-82,-89,-75,-91,-200,-88,-91,-87,-81,-85,-90,-85,-200,-85,-200,-89,-88,-200,-88,-91,-88,-86,-200,-86,-88,-89,-92,-200,-86,-200,-92,-92,-200,-200,-86,-88
1526459415184,-23,-39,-43,-45,-44,-55,-60,-65,-55,-52,-57,-61,-66,-57,-69,-62,-63,-60,-73,-62,-84,-81,-78,-77,-73,-67,-83,-89,-86,-83,-83,-86,-75,-76,-79,-84,-78,-82,-200,-200,-82,-89,-75,-91,-200,-89,-92,-92,-81,-84,-91,-85,-200,-85,-200,-90,-92,-200,-83,-91,-88,-86,-200,-87,-88,-89,-91,-200,-86,-86,-92,-92,-200,-200,-86,-88
