,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458315713,-39,-46,-25,-34,-49,-55,-42,-41,-57,-59,-62,-61,-67,-64,-59,-67,-60,-69,-65,-77,-66,-82,-73,-69,-85,-71,-85,-74,-79,-77,-200,-83,-200,-85,-87,-90,-200,-82,-83,-86,-79,-76,-82,-88,-91,-90,-87,-91,-85,-86,-84,-84,-89,-90,-87,-91,-75,-200,-87,-73,-94,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200,-89,-91,-88,-90,-91,-93,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458318755,-41,-44,-25,-34,-48,-56,-42,-43,-57,-59,-61,-47,-71,-62,-60,-66,-63,-68,-65,-77,-66,-82,-72,-69,-85,-75,-87,-72,-79,-71,-200,-83,-88,-83,-87,-91,-200,-83,-82,-86,-88,-76,-82,-83,-91,-90,-87,-91,-85,-86,-84,-84,-89,-90,-87,-91,-78,-200,-87,-76,-94,-85,-74,-86,-200,-200,-90,-200,-200,-200,-200,-200,-91,-89,-90,-90,-93,-89,-92,-85,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526458321798,-40,-43,-25,-15,-52,-57,-42,-46,-58,-60,-62,-63,-68,-62,-60,-67,-62,-69,-67,-76,-68,-82,-72,-69,-86,-89,-87,-59,-79,-70,-200,-83,-88,-86,-87,-86,-200,-83,-82,-200,-88,-76,-82,-83,-91,-90,-87,-89,-200,-86,-76,-84,-89,-91,-88,-91,-78,-200,-91,-76,-94,-85,-75,-86,-200,-80,-90,-200,-200,-200,-200,-200,-91,-89,-90,-90,-93,-89,-92,-85,-89,-90,-87,-88,-89,-200,-200,-200,-200
1526458324841,-39,-46,-25,-35,-52,-58,-42,-45,-58,-62,-67,-63,-71,-64,-48,-71,-60,-66,-67,-77,-68,-82,-72,-67,-86,-89,-76,-59,-79,-70,-200,-83,-88,-84,-87,-80,-200,-83,-82,-200,-82,-76,-84,-87,-91,-90,-200,-89,-87,-86,-76,-87,-89,-91,-88,-200,-78,-200,-88,-76,-94,-76,-75,-87,-200,-80,-90,-200,-200,-200,-200,-200,-91,-90,-200,-87,-200,-89,-92,-85,-89,-90,-87,-88,-88,-200,-200,-200,-200
1526458327882,-39,-44,-25,-34,-49,-57,-42,-44,-57,-57,-65,-61,-69,-66,-61,-65,-60,-63,-66,-78,-63,-87,-74,-69,-86,-89,-75,-73,-79,-75,-200,-87,-88,-86,-87,-80,-200,-83,-83,-84,-77,-73,-84,-81,-88,-89,-200,-89,-87,-87,-76,-87,-89,-91,-88,-200,-76,-200,-89,-76,-89,-86,-75,-87,-200,-80,-200,-200,-200,-200,-200,-200,-88,-90,-200,-87,-200,-92,-200,-85,-91,-88,-87,-88,-88,-200,-200,-200,-200
1526458330912,-40,-45,-25,-34,-52,-56,-42,-46,-57,-58,-65,-59,-74,-64,-61,-63,-62,-70,-67,-76,-65,-87,-74,-68,-84,-200,-75,-72,-80,-72,-200,-83,-84,-84,-87,-84,-200,-82,-82,-84,-87,-73,-83,-83,-88,-90,-86,-88,-87,-82,-200,-87,-200,-92,-88,-92,-77,-84,-89,-77,-89,-89,-74,-88,-200,-85,-200,-200,-200,-200,-200,-200,-88,-90,-91,-87,-200,-92,-200,-86,-91,-88,-200,-200,-90,-86,-89,-92,-200
1526458333953,-41,-44,-25,-34,-47,-57,-42,-46,-57,-59,-62,-64,-70,-65,-61,-66,-61,-68,-65,-78,-65,-100,-73,-69,-84,-78,-75,-72,-80,-76,-200,-83,-84,-85,-87,-92,-200,-81,-72,-84,-82,-73,-83,-74,-88,-90,-86,-87,-87,-81,-200,-84,-89,-92,-88,-92,-78,-88,-86,-77,-89,-89,-74,-88,-200,-85,-200,-200,-200,-200,-92,-200,-88,-200,-91,-200,-200,-92,-200,-86,-91,-88,-200,-200,-90,-86,-89,-92,-90
1526458336987,-41,-44,-25,-34,-53,-55,-42,-45,-56,-62,-60,-62,-70,-62,-60,-68,-62,-69,-66,-76,-65,-83,-74,-68,-85,-78,-75,-72,-80,-73,-200,-82,-84,-85,-200,-92,-200,-82,-84,-84,-77,-72,-83,-74,-90,-90,-87,-90,-87,-85,-200,-84,-89,-92,-88,-92,-78,-88,-87,-77,-86,-89,-74,-88,-200,-85,-200,-90,-200,-200,-91,-200,-90,-200,-91,-200,-200,-200,-200,-86,-200,-200,-200,-200,-90,-86,-89,-92,-90
1526458340029,-40,-40,-7,-35,-57,-56,-41,-47,-56,-60,-61,-62,-68,-62,-63,-69,-71,-70,-69,-77,-65,-81,-66,-67,-85,-76,-75,-73,-80,-76,-200,-84,-93,-77,-200,-92,-200,-83,-82,-200,-81,-72,-200,-81,-90,-90,-87,-90,-87,-82,-200,-88,-89,-200,-88,-92,-80,-93,-87,-77,-92,-89,-74,-85,-88,-200,-200,-90,-200,-200,-91,-200,-89,-200,-91,-90,-200,-200,-200,-86,-200,-200,-200,-200,-88,-86,-200,-200,-90
1526458343072,-41,-41,-26,-35,-49,-57,-44,-47,-57,-60,-65,-63,-72,-63,-61,-68,-63,-69,-65,-78,-67,-81,-75,-70,-85,-76,-81,-71,-82,-73,-200,-84,-92,-77,-200,-90,-86,-83,-82,-200,-85,-71,-200,-81,-88,-90,-88,-90,-200,-82,-200,-88,-89,-200,-200,-200,-84,-93,-87,-200,-90,-91,-200,-85,-88,-200,-200,-90,-200,-200,-92,-200,-89,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-90
1526458346111,-45,-43,-27,-35,-49,-54,-44,-47,-57,-58,-65,-65,-69,-63,-60,-67,-63,-69,-65,-78,-65,-82,-74,-70,-86,-76,-74,-72,-82,-69,-200,-83,-85,-76,-86,-84,-87,-63,-82,-200,-78,-71,-88,-81,-92,-89,-88,-90,-88,-86,-200,-88,-89,-200,-88,-200,-84,-86,-89,-200,-90,-91,-200,-84,-88,-200,-200,-90,-200,-200,-92,-200,-89,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200
1526458349148,-42,-44,-25,-35,-52,-53,-44,-46,-56,-57,-63,-65,-73,-65,-57,-62,-67,-73,-65,-77,-68,-82,-66,-70,-80,-77,-74,-73,-76,-74,-200,-85,-85,-71,-86,-89,-87,-63,-82,-200,-78,-71,-88,-84,-92,-89,-88,-200,-90,-82,-200,-88,-89,-200,-88,-200,-82,-86,-89,-200,-90,-91,-200,-84,-88,-200,-200,-200,-200,-200,-92,-200,-89,-91,-200,-92,-200,-200,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200
