,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,DLINK_D00ED0,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,whu2011309,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro
1526451199985,-34,-37,-38,-49,-47,-44,-57,-57,-55,-61,-63,-65,-65,-69,-65,-69,-70,-69,-61,-58,-66,-200,-69,-70,-70,-200,-75,-70,-71,-72,-76,-77,-71,-82,-85,-76,-77,-76,-88,-78,-90,-80,-81,-76,-83,-200,-83,-87,-87,-82,-83,-81,-85,-78,-200,-84,-80,-87,-85,-82,-86,-200,-91,-88,-89,-82,-87,-87,-89,-200,-200,-90,-84,-85,-82,-89,-200,-88,-91,-200,-86,-200,-87,-200,-200,-200,-89,-91,-200,-200,-90,-200,-200,-200,-200,-90,-200,-200,-200,-87,-200,-89,-87,-200,-90,-200,-200,-89,-78,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526451203000,-35,-42,-38,-47,-48,-45,-56,-56,-55,-60,-61,-62,-65,-62,-65,-68,-70,-69,-61,-68,-76,-200,-70,-70,-69,-200,-73,-71,-74,-72,-76,-74,-76,-200,-76,-75,-74,-76,-88,-87,-90,-80,-81,-76,-83,-200,-85,-86,-87,-84,-81,-83,-87,-79,-200,-87,-80,-90,-81,-82,-89,-200,-91,-89,-89,-82,-84,-86,-88,-200,-200,-90,-79,-86,-82,-89,-200,-88,-90,-90,-86,-90,-87,-200,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-89,-86,-200,-89,-200,-200,-90,-200,-88,-89,-78,-73,-81,-200,-200,-200,-200,-200,-200,-200
1526451206047,-36,-43,-38,-56,-48,-45,-54,-57,-64,-66,-61,-62,-65,-67,-68,-73,-67,-51,-67,-75,-76,-82,-70,-72,-68,-200,-73,-77,-68,-72,-82,-74,-77,-85,-76,-77,-77,-76,-88,-87,-200,-80,-81,-77,-84,-200,-85,-86,-200,-78,-81,-81,-87,-79,-200,-87,-80,-90,-81,-82,-89,-200,-84,-89,-89,-82,-84,-88,-88,-92,-200,-90,-79,-86,-82,-89,-200,-88,-89,-90,-86,-90,-87,-200,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-88,-90,-89,-200,-200,-90,-200,-88,-89,-200,-73,-81,-89,-91,-200,-200,-200,-200,-200
1526451209095,-31,-33,-38,-47,-50,-47,-50,-53,-53,-56,-61,-54,-65,-65,-63,-65,-67,-69,-64,-54,-70,-82,-68,-69,-67,-200,-71,-77,-65,-73,-79,-77,-77,-85,-76,-73,-77,-82,-88,-77,-87,-77,-76,-76,-84,-200,-85,-86,-200,-88,-82,-78,-83,-78,-200,-84,-78,-90,-82,-200,-85,-200,-84,-89,-89,-85,-86,-80,-87,-92,-200,-89,-81,-78,-82,-200,-200,-200,-89,-90,-81,-91,-87,-200,-89,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-88,-90,-87,-200,-200,-90,-200,-88,-89,-200,-73,-81,-89,-91,-200,-200,-200,-200,-200
1526451212145,-14,-40,-35,-46,-47,-48,-53,-55,-50,-56,-60,-61,-65,-61,-63,-66,-67,-65,-69,-63,-70,-74,-68,-66,-64,-200,-86,-71,-78,-77,-73,-76,-71,-82,-76,-74,-77,-82,-91,-93,-87,-78,-82,-77,-86,-200,-85,-92,-200,-76,-82,-80,-83,-79,-86,-87,-75,-88,-79,-81,-85,-200,-88,-89,-89,-82,-82,-80,-87,-90,-200,-89,-81,-81,-81,-200,-200,-200,-89,-90,-80,-91,-87,-200,-89,-200,-90,-91,-200,-200,-200,-90,-200,-200,-200,-100,-200,-200,-89,-90,-87,-88,-200,-200,-90,-200,-88,-200,-200,-200,-81,-89,-84,-200,-200,-200,-200,-200
1526451215183,-7,-45,-33,-45,-44,-47,-55,-37,-54,-59,-57,-63,-65,-64,-68,-66,-67,-73,-69,-55,-66,-74,-69,-63,-66,-200,-86,-73,-64,-77,-72,-76,-73,-82,-200,-76,-76,-82,-83,-85,-85,-77,-76,-73,-80,-200,-85,-92,-200,-82,-81,-78,-83,-78,-93,-85,-75,-90,-78,-81,-85,-88,-81,-85,-89,-86,-84,-84,-86,-90,-200,-89,-78,-81,-81,-200,-93,-200,-87,-200,-81,-89,-88,-200,-200,-200,-90,-91,-200,-200,-92,-90,-200,-200,-200,-88,-200,-200,-200,-87,-87,-87,-200,-200,-89,-200,-87,-200,-200,-200,-200,-200,-84,-85,-90,-90,-200,-200
1526451218224,-28,-33,-34,-44,-46,-46,-51,-53,-54,-59,-59,-64,-65,-64,-68,-64,-67,-65,-66,-54,-65,-72,-66,-59,-66,-70,-78,-74,-65,-77,-72,-76,-74,-79,-200,-66,-75,-74,-83,-76,-85,-77,-75,-73,-80,-200,-84,-92,-200,-76,-81,-76,-200,-78,-88,-85,-75,-90,-79,-81,-85,-88,-80,-85,-88,-83,-82,-82,-86,-90,-200,-89,-80,-81,-79,-88,-93,-200,-87,-200,-81,-89,-90,-200,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-88,-200,-200,-200,-87,-87,-87,-200,-200,-87,-200,-87,-90,-77,-200,-200,-200,-84,-85,-91,-90,-90,-200
1526451221268,-27,-30,-34,-45,-46,-49,-52,-55,-52,-59,-55,-55,-65,-65,-62,-67,-68,-61,-65,-63,-64,-72,-66,-66,-62,-72,-71,-69,-65,-200,-76,-77,-74,-79,-200,-66,-77,-75,-84,-85,-83,-77,-77,-75,-79,-200,-81,-200,-200,-74,-81,-78,-200,-79,-88,-85,-77,-90,-75,-200,-85,-88,-80,-85,-88,-83,-82,-83,-86,-90,-200,-88,-73,-80,-79,-88,-93,-200,-87,-200,-81,-89,-90,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-91,-85,-200,-85,-200,-200,-90,-200,-87,-90,-77,-200,-200,-200,-200,-85,-90,-90,-90,-200
1526451224305,-30,-31,-33,-41,-43,-47,-50,-54,-52,-57,-59,-63,-66,-65,-64,-65,-74,-65,-68,-64,-65,-79,-68,-68,-63,-72,-70,-71,-67,-70,-77,-78,-76,-79,-72,-75,-78,-76,-85,-85,-83,-78,-75,-72,-79,-200,-81,-200,-200,-74,-82,-80,-200,-79,-87,-83,-79,-200,-80,-80,-85,-200,-82,-86,-89,-84,-85,-84,-85,-90,-200,-88,-73,-80,-79,-88,-93,-200,-200,-200,-200,-89,-90,-200,-90,-200,-200,-89,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-91,-89,-86,-85,-89,-200,-88,-200,-200,-90,-77,-200,-200,-200,-84,-85,-90,-90,-89,-200
1526451227340,-30,-38,-34,-44,-46,-47,-49,-50,-51,-58,-60,-64,-65,-65,-65,-66,-66,-64,-65,-55,-65,-72,-66,-62,-68,-72,-70,-71,-63,-70,-77,-77,-73,-81,-74,-74,-75,-71,-85,-85,-83,-77,-81,-80,-79,-200,-86,-200,-200,-74,-82,-77,-83,-78,-85,-83,-79,-200,-79,-80,-88,-200,-83,-86,-86,-84,-84,-78,-85,-200,-200,-88,-80,-80,-79,-88,-200,-200,-200,-200,-200,-200,-87,-200,-90,-200,-200,-89,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-91,-89,-86,-82,-89,-200,-88,-200,-200,-90,-77,-200,-200,-200,-84,-200,-90,-91,-89,-200
1526451230375,-15,-37,-34,-44,-46,-48,-50,-55,-61,-58,-60,-59,-64,-64,-65,-65,-66,-64,-64,-55,-63,-72,-66,-62,-66,-72,-85,-71,-91,-70,-73,-75,-72,-81,-74,-74,-73,-82,-91,-88,-85,-77,-82,-73,-79,-200,-88,-200,-200,-81,-82,-77,-83,-78,-88,-83,-80,-200,-79,-85,-86,-86,-82,-82,-89,-81,-82,-85,-85,-200,-200,-88,-88,-80,-200,-200,-200,-200,-93,-200,-200,-200,-88,-200,-90,-200,-200,-89,-200,-200,-89,-200,-200,-200,-200,-93,-200,-200,-91,-87,-87,-82,-89,-200,-92,-200,-200,-200,-200,-200,-200,-200,-84,-200,-90,-91,-90,-81
1526451233411,-30,-32,-33,-45,-46,-47,-49,-53,-52,-58,-58,-64,-67,-64,-64,-67,-65,-64,-68,-67,-63,-75,-68,-67,-65,-71,-72,-68,-62,-70,-78,-77,-73,-81,-73,-73,-76,-82,-79,-77,-85,-77,-74,-73,-76,-200,-88,-200,-200,-78,-81,-80,-83,-79,-88,-83,-81,-200,-78,-85,-86,-86,-82,-86,-81,-83,-83,-83,-85,-200,-200,-85,-75,-80,-200,-200,-200,-200,-93,-89,-200,-200,-88,-200,-92,-200,-200,-89,-200,-200,-90,-92,-200,-200,-200,-93,-200,-83,-90,-89,-89,-83,-89,-88,-92,-200,-200,-200,-200,-200,-200,-200,-84,-200,-90,-91,-90,-86
