,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10
1526458192601,-28,-57,-42,-67,-73,-55,-49,-59,-67,-71,-67,-74,-57,-62,-72,-82,-73,-74,-67,-69,-81,-77,-59,-200,-200,-67,-67,-200,-72,-79,-69,-77,-88,-88,-80,-81,-83,-72,-78,-83,-71,-92,-200,-92,-77,-87,-88,-200,-200,-200
1526458195647,-28,-57,-42,-67,-73,-55,-49,-59,-67,-71,-67,-74,-57,-62,-72,-82,-73,-74,-67,-69,-81,-77,-59,-200,-200,-67,-67,-200,-72,-79,-69,-77,-88,-88,-80,-81,-83,-72,-78,-83,-71,-92,-200,-92,-77,-87,-88,-200,-200,-200
1526458198689,-28,-57,-42,-67,-73,-55,-49,-59,-67,-71,-67,-74,-57,-62,-72,-82,-73,-74,-67,-69,-81,-77,-59,-200,-200,-67,-67,-200,-72,-79,-69,-77,-88,-88,-80,-81,-83,-72,-78,-83,-71,-92,-200,-92,-77,-87,-88,-200,-200,-200
1526458201724,-28,-62,-40,-62,-77,-54,-48,-59,-67,-76,-68,-79,-57,-65,-67,-78,-73,-79,-66,-71,-81,-76,-56,-90,-200,-69,-66,-87,-70,-74,-79,-77,-200,-88,-82,-81,-83,-70,-78,-200,-77,-200,-200,-200,-77,-200,-88,-200,-200,-200
1526458204764,-27,-58,-40,-62,-77,-57,-49,-59,-68,-75,-68,-79,-57,-65,-71,-78,-73,-74,-66,-72,-81,-76,-58,-90,-200,-69,-66,-87,-66,-74,-79,-77,-200,-88,-79,-81,-83,-71,-83,-200,-77,-200,-200,-200,-77,-200,-88,-200,-200,-200
1526458207805,-27,-58,-40,-62,-77,-57,-49,-59,-68,-75,-68,-79,-57,-65,-71,-78,-73,-74,-66,-72,-81,-76,-58,-90,-200,-69,-66,-87,-66,-74,-79,-77,-200,-88,-79,-81,-83,-71,-83,-200,-77,-200,-200,-200,-77,-200,-88,-200,-200,-200
1526458210845,-27,-58,-40,-62,-77,-57,-49,-59,-68,-75,-68,-79,-57,-65,-71,-78,-73,-74,-66,-72,-81,-76,-58,-90,-200,-69,-66,-87,-66,-74,-79,-77,-200,-88,-79,-81,-83,-71,-83,-200,-77,-200,-200,-200,-77,-200,-88,-200,-200,-200
1526458213898,-30,-58,-38,-65,-77,-61,-48,-59,-67,-79,-68,-79,-57,-200,-64,-81,-79,-74,-66,-71,-200,-200,-59,-200,-200,-67,-68,-200,-72,-200,-71,-79,-90,-200,-79,-82,-200,-71,-81,-82,-200,-200,-89,-200,-76,-200,-91,-87,-89,-90
1526458216914,-30,-50,-39,-67,-73,-57,-46,-59,-66,-74,-68,-74,-58,-65,-65,-81,-79,-74,-65,-71,-200,-200,-59,-200,-85,-70,-67,-200,-73,-74,-71,-79,-90,-200,-79,-80,-200,-71,-79,-82,-71,-200,-89,-200,-75,-200,-88,-87,-89,-90
1526458219961,-30,-50,-39,-67,-73,-57,-46,-59,-66,-74,-68,-74,-58,-65,-65,-81,-79,-74,-65,-71,-200,-200,-59,-200,-85,-70,-67,-200,-73,-74,-71,-79,-90,-200,-79,-80,-200,-71,-79,-82,-71,-200,-89,-200,-75,-200,-88,-87,-89,-90
1526458222993,-30,-50,-39,-67,-73,-57,-46,-59,-66,-74,-68,-74,-58,-65,-65,-81,-79,-74,-65,-71,-200,-200,-59,-200,-85,-70,-67,-200,-73,-74,-71,-79,-90,-200,-79,-80,-200,-71,-79,-82,-71,-200,-89,-200,-75,-200,-88,-87,-89,-90
1526458226038,-26,-60,-38,-67,-75,-57,-46,-58,-66,-71,-68,-72,-58,-64,-69,-80,-76,-200,-66,-71,-83,-73,-51,-200,-85,-68,-68,-80,-70,-74,-77,-77,-200,-92,-78,-80,-200,-72,-79,-200,-82,-200,-89,-200,-75,-200,-88,-200,-200,-200
