,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526458423984,-40,-43,-52,-72,-62,-52,-67,-58,-63,-63,-64,-67,-73,-70,-71,-76,-68,-75,-68,-70,-77,-84,-80,-73,-80,-70,-75,-63,-78,-200,-200,-200,-72,-77,-200,-200,-84,-85,-88,-67,-83,-200,-200,-85,-83,-200,-200,-200,-200
1526458427026,-45,-49,-58,-54,-58,-52,-200,-56,-64,-63,-64,-73,-74,-70,-75,-76,-77,-68,-71,-69,-77,-81,-80,-73,-80,-76,-77,-61,-72,-200,-200,-88,-78,-78,-200,-200,-200,-85,-85,-74,-79,-200,-200,-85,-83,-84,-200,-200,-200
1526458430074,-42,-49,-58,-54,-61,-51,-200,-56,-64,-62,-67,-73,-73,-68,-75,-76,-76,-68,-70,-67,-77,-82,-75,-82,-80,-75,-77,-62,-72,-200,-200,-88,-75,-78,-200,-200,-200,-86,-85,-75,-78,-84,-200,-85,-83,-84,-74,-82,-200
1526458433119,-42,-49,-58,-54,-61,-51,-200,-56,-64,-62,-67,-73,-73,-68,-75,-76,-76,-68,-70,-67,-77,-82,-75,-82,-80,-75,-77,-62,-72,-200,-200,-88,-75,-78,-200,-200,-200,-86,-85,-75,-78,-84,-200,-85,-83,-84,-74,-82,-200
1526458436167,-42,-49,-58,-54,-61,-51,-200,-56,-64,-62,-67,-73,-73,-68,-75,-76,-76,-68,-70,-67,-77,-82,-75,-82,-80,-75,-77,-62,-72,-200,-200,-88,-75,-78,-200,-200,-200,-86,-85,-75,-78,-84,-200,-85,-83,-84,-74,-82,-200
1526458439217,-42,-52,-60,-56,-62,-51,-77,-56,-65,-65,-65,-74,-77,-68,-200,-73,-76,-68,-68,-70,-200,-80,-75,-82,-84,-75,-73,-61,-71,-200,-200,-86,-75,-77,-200,-200,-85,-84,-83,-76,-79,-81,-200,-200,-200,-85,-78,-82,-200
1526458442259,-46,-52,-58,-56,-58,-47,-77,-55,-65,-63,-65,-79,-80,-67,-79,-78,-76,-72,-68,-72,-200,-80,-75,-82,-84,-74,-77,-62,-71,-200,-200,-86,-76,-77,-200,-200,-85,-84,-83,-81,-79,-82,-200,-200,-200,-85,-78,-82,-200
1526458445294,-46,-52,-58,-56,-58,-47,-77,-55,-65,-63,-65,-79,-80,-67,-79,-78,-76,-72,-68,-72,-200,-80,-75,-82,-84,-74,-77,-62,-71,-200,-200,-86,-76,-77,-200,-200,-85,-84,-83,-81,-79,-82,-200,-200,-200,-85,-78,-82,-200
1526458448330,-46,-52,-58,-56,-58,-47,-77,-55,-65,-63,-65,-79,-80,-67,-79,-78,-76,-72,-68,-72,-200,-80,-75,-82,-84,-74,-77,-62,-71,-200,-200,-86,-76,-77,-200,-200,-85,-84,-83,-81,-79,-82,-200,-200,-200,-85,-78,-82,-200
1526458451376,-45,-52,-60,-60,-58,-50,-200,-53,-66,-63,-66,-76,-82,-66,-77,-73,-77,-72,-69,-72,-81,-82,-77,-200,-86,-75,-77,-62,-72,-83,-200,-89,-74,-77,-200,-88,-200,-200,-86,-75,-79,-82,-200,-200,-82,-200,-78,-82,-89
1526458454423,-46,-51,-58,-56,-59,-50,-200,-54,-65,-64,-66,-76,-84,-66,-79,-72,-76,-69,-69,-66,-81,-80,-76,-200,-90,-75,-77,-62,-72,-83,-200,-86,-74,-78,-200,-90,-200,-84,-86,-75,-80,-83,-200,-200,-84,-200,-78,-89,-89
1526458457454,-46,-51,-58,-56,-59,-50,-200,-54,-65,-64,-66,-76,-84,-66,-79,-72,-76,-69,-69,-66,-81,-80,-76,-200,-90,-75,-77,-62,-72,-83,-200,-86,-74,-78,-200,-90,-200,-84,-86,-75,-80,-83,-200,-200,-84,-200,-78,-89,-89
