,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526444235251,-45,-49,-52,-63,-62,-64,-72,-70,-68,-69,-72,-72,-82,-73,-82,-81,-83,-75,-74,-80,-85,-200,-200,-80,-81,-200,-85,-79,-80,-86,-89,-200,-200,-200,-200
1526444238288,-45,-49,-52,-63,-62,-64,-72,-70,-68,-69,-72,-72,-82,-73,-82,-81,-83,-75,-74,-80,-85,-200,-200,-80,-81,-200,-85,-79,-80,-86,-89,-200,-200,-200,-200
1526444241326,-45,-49,-52,-63,-62,-64,-72,-70,-68,-69,-72,-72,-82,-73,-82,-81,-83,-75,-74,-80,-85,-200,-200,-80,-81,-200,-85,-79,-80,-86,-89,-200,-200,-200,-200
1526444244367,-45,-49,-52,-63,-61,-63,-78,-70,-68,-68,-73,-71,-200,-69,-69,-83,-200,-200,-74,-79,-200,-200,-200,-82,-200,-84,-86,-81,-89,-200,-89,-200,-200,-200,-200
1526444247378,-43,-49,-51,-66,-61,-64,-78,-65,-68,-68,-72,-75,-84,-73,-73,-80,-200,-77,-74,-79,-200,-200,-200,-82,-200,-84,-85,-81,-89,-200,-89,-90,-91,-200,-200
1526444250406,-43,-49,-51,-66,-61,-64,-78,-65,-68,-68,-72,-75,-84,-73,-73,-80,-200,-77,-74,-79,-200,-200,-200,-82,-200,-84,-85,-81,-89,-200,-89,-90,-91,-200,-200
1526444253445,-43,-49,-51,-66,-61,-64,-78,-65,-68,-68,-72,-75,-84,-73,-73,-80,-200,-77,-74,-79,-200,-200,-200,-82,-200,-84,-85,-81,-89,-200,-89,-90,-91,-200,-200
1526444256490,-45,-51,-51,-61,-63,-63,-71,-69,-68,-69,-73,-72,-84,-72,-73,-80,-84,-77,-73,-78,-89,-200,-200,-82,-82,-84,-86,-200,-86,-200,-200,-90,-91,-90,-200
1526444259527,-45,-51,-52,-61,-61,-63,-72,-69,-67,-70,-73,-72,-84,-76,-75,-81,-84,-77,-73,-78,-89,-84,-200,-85,-82,-84,-86,-200,-86,-200,-200,-90,-85,-90,-90
1526444262561,-45,-51,-52,-61,-61,-63,-72,-69,-67,-70,-73,-72,-84,-76,-75,-81,-84,-77,-73,-78,-89,-84,-200,-85,-82,-84,-86,-200,-86,-200,-200,-90,-85,-90,-90
1526444265600,-45,-51,-52,-61,-61,-63,-72,-69,-67,-70,-73,-72,-84,-76,-75,-81,-84,-77,-73,-78,-89,-84,-200,-85,-82,-84,-86,-200,-86,-200,-200,-90,-85,-90,-90
1526444268644,-45,-49,-52,-69,-61,-67,-76,-69,-67,-69,-73,-70,-80,-68,-69,-80,-200,-78,-74,-87,-200,-84,-200,-81,-80,-84,-200,-83,-86,-200,-200,-200,-85,-200,-90
