,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526444017051,-31,-46,-56,-69,-52,-62,-67,-74,-82,-71,-80,-70,-200,-69,-79,-88,-74,-81,-64,-77,-81,-86,-89,-90,-200,-74,-200,-88,-200,-79,-200,-200
1526444020092,-31,-47,-55,-67,-50,-64,-66,-74,-79,-71,-78,-71,-200,-67,-79,-200,-76,-83,-60,-77,-200,-200,-200,-200,-200,-73,-200,-88,-200,-81,-88,-94
1526444023119,-31,-47,-55,-69,-50,-62,-66,-74,-79,-71,-76,-69,-200,-67,-79,-200,-76,-83,-58,-75,-200,-200,-200,-200,-200,-73,-200,-88,-200,-81,-88,-94
1526444026145,-31,-47,-55,-69,-50,-62,-66,-74,-79,-71,-76,-69,-200,-67,-79,-200,-76,-83,-58,-75,-200,-200,-200,-200,-200,-73,-200,-88,-200,-81,-88,-94
1526444029178,-31,-47,-55,-69,-50,-62,-66,-74,-79,-71,-76,-69,-200,-67,-79,-200,-76,-83,-58,-75,-200,-200,-200,-200,-200,-73,-200,-88,-200,-81,-88,-94
1526444032211,-31,-47,-56,-67,-50,-61,-68,-76,-79,-71,-82,-77,-200,-71,-79,-82,-76,-82,-64,-72,-82,-82,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
1526444035238,-29,-45,-57,-68,-51,-64,-66,-74,-79,-71,-78,-77,-200,-69,-81,-82,-77,-82,-63,-71,-82,-82,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200
1526444038268,-29,-45,-57,-68,-51,-64,-66,-74,-79,-71,-78,-77,-200,-69,-81,-82,-77,-82,-63,-71,-82,-82,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200
1526444041296,-29,-45,-57,-68,-51,-64,-66,-74,-79,-71,-78,-77,-200,-69,-81,-82,-77,-82,-63,-71,-82,-82,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200
1526444044331,-31,-45,-56,-66,-51,-63,-66,-77,-80,-71,-75,-72,-200,-68,-80,-200,-75,-84,-61,-69,-200,-200,-90,-200,-200,-74,-200,-200,-87,-82,-200,-200
