,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443867901,-36,-45,-45,-59,-71,-59,-67,-58,-76,-75,-70,-72,-79,-69,-64,-74,-86,-79,-78,-86,-68,-200,-200,-200,-90,-86,-87,-200,-200,-200,-200,-200,-200
1526443870925,-40,-43,-48,-55,-71,-58,-65,-63,-76,-76,-70,-70,-80,-69,-64,-71,-86,-77,-76,-77,-67,-88,-200,-200,-87,-83,-85,-200,-200,-200,-200,-200,-200
1526443873957,-40,-43,-45,-55,-70,-58,-66,-62,-79,-76,-72,-70,-80,-69,-66,-72,-86,-78,-79,-85,-67,-88,-200,-89,-87,-83,-86,-200,-200,-200,-200,-200,-200
1526443876990,-40,-43,-45,-55,-70,-58,-66,-62,-79,-76,-72,-70,-80,-69,-66,-72,-86,-78,-79,-85,-67,-88,-200,-89,-87,-83,-86,-200,-200,-200,-200,-200,-200
1526443880026,-40,-43,-45,-55,-70,-58,-66,-62,-79,-76,-72,-70,-80,-69,-66,-72,-86,-78,-79,-85,-67,-88,-200,-89,-87,-83,-86,-200,-200,-200,-200,-200,-200
1526443883064,-36,-44,-46,-58,-70,-58,-68,-61,-77,-76,-71,-72,-84,-69,-65,-70,-200,-79,-79,-81,-67,-200,-200,-89,-200,-200,-86,-89,-200,-86,-92,-200,-200
1526443886104,-36,-44,-46,-56,-70,-58,-66,-63,-77,-76,-72,-71,-82,-68,-64,-72,-200,-79,-78,-82,-68,-200,-200,-89,-200,-85,-86,-89,-200,-86,-92,-82,-200
1526443889138,-36,-44,-46,-56,-70,-58,-66,-63,-77,-76,-72,-71,-82,-68,-64,-72,-200,-79,-78,-82,-68,-200,-200,-89,-200,-85,-86,-89,-200,-86,-92,-82,-200
1526443892168,-36,-44,-46,-56,-70,-58,-66,-63,-77,-76,-72,-71,-82,-68,-64,-72,-200,-79,-78,-82,-68,-200,-200,-89,-200,-85,-86,-89,-200,-86,-92,-82,-200
1526443895208,-36,-42,-46,-59,-69,-57,-68,-59,-77,-81,-70,-71,-82,-68,-68,-72,-81,-79,-80,-79,-67,-200,-200,-200,-200,-90,-200,-200,-200,-84,-200,-82,-88
