,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526460569774,-49,-16,-49,-49,-58,-66,-81,-62,-71,-61,-59,-71,-68,-76,-82,-80,-76,-72,-83,-74,-88,-91,-87,-85,-85,-200,-80,-78,-85,-89,-89,-88,-84,-84,-85,-88,-84,-76,-200,-76,-200,-89,-85,-87,-200,-200,-200,-200,-91,-200,-200,-93,-200,-200,-91
1526460572807,-46,-28,-48,-50,-59,-67,-79,-61,-64,-64,-65,-71,-70,-71,-70,-74,-77,-68,-83,-75,-83,-91,-89,-85,-89,-90,-200,-78,-82,-79,-89,-84,-85,-82,-85,-87,-84,-73,-200,-79,-200,-92,-85,-91,-200,-200,-91,-200,-91,-200,-200,-93,-90,-200,-91
1526460575838,-45,-29,-54,-49,-61,-65,-79,-70,-71,-62,-73,-70,-71,-67,-70,-79,-82,-69,-83,-75,-77,-91,-89,-85,-90,-85,-82,-78,-81,-79,-90,-84,-83,-81,-85,-87,-84,-74,-200,-82,-200,-91,-89,-87,-200,-200,-91,-200,-90,-200,-200,-93,-90,-200,-91
1526460578859,-46,-30,-47,-49,-62,-66,-79,-56,-69,-62,-61,-73,-70,-70,-70,-81,-74,-69,-83,-75,-79,-91,-89,-84,-89,-85,-80,-78,-80,-78,-90,-84,-83,-83,-85,-87,-84,-72,-200,-81,-200,-91,-88,-86,-200,-200,-91,-200,-90,-200,-200,-93,-90,-200,-200
1526460581887,-46,-30,-48,-50,-56,-68,-86,-69,-67,-70,-62,-74,-69,-68,-75,-86,-73,-69,-84,-73,-76,-200,-89,-85,-89,-85,-82,-78,-79,-73,-90,-84,-83,-88,-86,-87,-84,-75,-90,-81,-200,-92,-88,-86,-200,-200,-91,-200,-89,-200,-200,-200,-90,-200,-200
1526460584916,-46,-29,-48,-49,-58,-63,-82,-60,-67,-63,-60,-82,-70,-67,-70,-86,-75,-68,-83,-73,-84,-200,-89,-86,-87,-85,-82,-77,-73,-73,-90,-200,-84,-81,-86,-89,-200,-75,-90,-76,-200,-92,-88,-86,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526460587948,-46,-30,-47,-50,-58,-67,-82,-61,-68,-61,-63,-77,-70,-70,-72,-79,-75,-67,-83,-75,-87,-90,-89,-84,-93,-88,-81,-77,-76,-79,-87,-92,-85,-82,-84,-88,-83,-75,-90,-80,-200,-90,-89,-87,-200,-200,-200,-200,-90,-200,-200,-200,-84,-200,-200
1526460590978,-44,-32,-47,-34,-58,-63,-82,-62,-70,-62,-62,-73,-71,-71,-71,-77,-82,-69,-83,-75,-85,-90,-90,-84,-93,-88,-79,-77,-74,-81,-87,-92,-84,-80,-86,-88,-84,-75,-200,-80,-200,-90,-89,-87,-200,-200,-91,-200,-90,-200,-200,-200,-84,-200,-200
1526460594000,-46,-30,-46,-49,-60,-69,-74,-60,-69,-64,-74,-72,-71,-68,-67,-78,-75,-69,-82,-74,-81,-90,-90,-84,-90,-87,-79,-77,-75,-82,-87,-89,-84,-82,-85,-88,-84,-75,-200,-79,-200,-90,-87,-89,-200,-200,-91,-200,-90,-200,-200,-200,-90,-200,-200
1526460597030,-44,-29,-46,-49,-60,-66,-76,-60,-62,-62,-62,-66,-70,-71,-70,-77,-73,-69,-83,-74,-82,-90,-90,-84,-90,-86,-79,-79,-78,-82,-90,-89,-84,-82,-84,-89,-83,-76,-200,-80,-200,-90,-87,-87,-200,-200,-91,-200,-90,-200,-200,-200,-90,-200,-200
1526460600060,-51,-15,-44,-49,-59,-64,-76,-60,-69,-63,-84,-79,-72,-73,-70,-78,-91,-72,-82,-74,-82,-90,-95,-84,-89,-86,-79,-79,-87,-88,-88,-89,-86,-82,-87,-88,-84,-78,-200,-80,-200,-90,-87,-85,-200,-200,-91,-200,-90,-200,-200,-200,-90,-200,-200
1526460603091,-45,-30,-46,-50,-58,-64,-77,-60,-68,-60,-60,-83,-70,-66,-71,-79,-71,-69,-82,-76,-82,-90,-92,-200,-89,-88,-84,-78,-79,-77,-89,-89,-85,-82,-85,-88,-84,-74,-200,-81,-200,-90,-87,-86,-200,-200,-90,-200,-90,-200,-200,-89,-90,-200,-200
