,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460411753,-45,-34,-48,-67,-50,-51,-56,-62,-52,-59,-50,-62,-60,-71,-70,-73,-75,-65,-54,-73,-74,-67,-81,-81,-81,-83,-80,-71,-80,-74,-200,-72,-200,-77,-200,-81,-78,-79,-91,-76,-83,-85,-200,-89,-87,-200,-83,-200,-85,-90,-200,-94,-200,-200,-90,-200,-80,-200,-85,-90,-200,-94,-90,-200,-200
1526460414788,-46,-22,-48,-64,-50,-50,-59,-60,-50,-67,-52,-61,-60,-73,-84,-76,-72,-75,-54,-75,-74,-69,-83,-76,-86,-76,-75,-78,-80,-82,-200,-74,-75,-76,-84,-86,-74,-75,-91,-76,-83,-87,-200,-86,-88,-200,-83,-200,-85,-91,-200,-200,-200,-200,-90,-200,-73,-200,-88,-90,-200,-94,-90,-200,-200
1526460417824,-44,-36,-49,-70,-48,-67,-54,-62,-51,-55,-48,-63,-65,-65,-75,-72,-76,-67,-59,-63,-73,-66,-79,-80,-81,-77,-78,-69,-80,-81,-200,-75,-76,-77,-84,-86,-77,-80,-200,-76,-83,-85,-200,-86,-88,-200,-81,-200,-200,-91,-200,-200,-200,-200,-90,-200,-73,-200,-88,-90,-81,-89,-90,-200,-200
1526460420860,-49,-35,-48,-65,-47,-67,-55,-57,-51,-56,-49,-63,-63,-65,-75,-73,-75,-66,-57,-73,-74,-67,-78,-78,-85,-77,-77,-70,-78,-80,-85,-74,-80,-77,-84,-85,-76,-82,-200,-78,-87,-85,-200,-86,-86,-200,-81,-200,-200,-91,-91,-200,-200,-200,-200,-200,-73,-200,-88,-90,-68,-89,-200,-84,-84
1526460423895,-46,-35,-42,-66,-50,-56,-53,-58,-52,-52,-52,-63,-63,-68,-69,-74,-73,-68,-53,-76,-73,-63,-78,-76,-84,-77,-80,-63,-82,-77,-85,-77,-80,-76,-84,-83,-76,-78,-200,-76,-88,-81,-200,-86,-86,-200,-82,-200,-87,-93,-92,-200,-200,-200,-200,-200,-64,-200,-88,-200,-82,-88,-200,-84,-84
1526460426929,-44,-35,-52,-65,-49,-49,-53,-62,-53,-57,-50,-61,-60,-67,-74,-72,-78,-66,-57,-72,-74,-69,-80,-78,-84,-77,-82,-72,-79,-74,-85,-74,-71,-79,-84,-79,-77,-75,-200,-80,-88,-81,-200,-200,-85,-200,-78,-200,-87,-91,-92,-200,-200,-200,-200,-200,-64,-200,-88,-92,-82,-92,-200,-84,-84
1526460429967,-46,-15,-44,-75,-51,-52,-57,-54,-53,-65,-54,-61,-63,-78,-80,-78,-71,-66,-53,-71,-75,-63,-83,-80,-83,-77,-80,-78,-79,-76,-86,-74,-84,-78,-84,-85,-79,-76,-200,-80,-89,-84,-200,-200,-85,-87,-84,-200,-84,-91,-92,-200,-200,-200,-200,-200,-83,-80,-200,-90,-82,-92,-200,-84,-84
1526460432999,-46,-35,-51,-65,-49,-51,-56,-62,-53,-56,-51,-61,-63,-71,-66,-71,-74,-67,-53,-75,-74,-68,-83,-76,-83,-77,-81,-70,-79,-74,-86,-71,-84,-79,-84,-80,-78,-78,-200,-80,-85,-85,-200,-200,-87,-87,-81,-200,-84,-91,-92,-200,-200,-90,-200,-200,-68,-81,-200,-90,-82,-92,-200,-200,-200
1526460436032,-44,-36,-51,-67,-53,-52,-58,-54,-53,-56,-52,-62,-62,-71,-76,-70,-73,-69,-56,-73,-74,-70,-83,-76,-84,-77,-81,-71,-77,-74,-86,-75,-76,-79,-200,-84,-76,-78,-200,-78,-84,-84,-200,-200,-87,-87,-81,-200,-84,-91,-200,-200,-200,-90,-200,-200,-68,-81,-200,-90,-200,-92,-200,-200,-200
1526460439068,-46,-35,-50,-69,-53,-52,-54,-58,-52,-55,-50,-63,-65,-71,-76,-71,-74,-76,-55,-74,-73,-68,-83,-80,-84,-77,-81,-70,-82,-74,-85,-73,-72,-79,-200,-83,-76,-78,-200,-88,-83,-84,-200,-88,-87,-87,-80,-200,-84,-200,-89,-200,-200,-90,-200,-200,-74,-80,-90,-90,-83,-200,-200,-200,-200
1526460442106,-45,-32,-51,-66,-50,-50,-53,-49,-52,-55,-52,-62,-61,-73,-77,-72,-71,-67,-55,-74,-74,-68,-80,-75,-84,-77,-77,-72,-82,-74,-85,-75,-72,-78,-85,-78,-76,-76,-200,-81,-85,-83,-84,-88,-87,-200,-79,-200,-84,-200,-89,-200,-200,-90,-91,-200,-74,-80,-89,-200,-83,-200,-200,-200,-200
1526460445135,-42,-46,-50,-68,-54,-51,-61,-73,-50,-67,-53,-59,-67,-81,-73,-84,-74,-71,-72,-74,-83,-69,-87,-79,-84,-77,-80,-76,-82,-74,-83,-75,-72,-78,-85,-84,-77,-76,-200,-81,-85,-83,-84,-88,-200,-200,-79,-200,-84,-200,-89,-200,-200,-200,-91,-200,-69,-80,-89,-200,-83,-200,-91,-200,-200
