,null,null,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
1526442441040,-70,-70,-75,-66,-200,-200,-200,-89,-200,-83,-200,-200,-200,-200
1526442441130,-200,-76,-76,-67,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200
1526442441237,-200,-69,-75,-67,-200,-200,-65,-90,-91,-83,-200,-200,-200,-200
1526442441342,-200,-75,-75,-67,-86,-200,-200,-200,-89,-200,-200,-200,-92,-200
1526442445997,-77,-77,-75,-200,-90,-200,-200,-89,-200,-80,-91,-200,-200,-200
1526442446146,-200,-200,-200,-72,-200,-200,-81,-90,-200,-80,-200,-200,-200,-200
1526442446262,-79,-200,-72,-72,-91,-200,-81,-200,-200,-82,-200,-200,-200,-200
1526442446407,-78,-200,-73,-69,-200,-200,-76,-200,-200,-81,-200,-200,-200,-200
1526442451007,-200,-200,-76,-200,-200,-200,-200,-84,-92,-200,-200,-200,-200,-200
1526442451118,-76,-75,-76,-69,-92,-200,-200,-85,-91,-82,-200,-200,-200,-90
1526442451211,-75,-76,-76,-200,-200,-200,-200,-200,-200,-81,-200,-92,-200,-200
1526442451319,-76,-81,-76,-200,-200,-200,-200,-84,-200,-81,-86,-200,-200,-200
1526442455999,-71,-82,-77,-200,-200,-66,-69,-87,-200,-83,-87,-200,-200,-200
1526442456106,-71,-82,-200,-66,-200,-66,-69,-88,-91,-200,-200,-200,-200,-200
1526442456204,-70,-82,-200,-200,-200,-200,-68,-87,-90,-82,-200,-200,-200,-200
1526442456349,-200,-83,-76,-66,-200,-200,-68,-200,-90,-200,-200,-200,-200,-200
1526442461014,-200,-76,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442461102,-200,-76,-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442461215,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442461319,-77,-200,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442461418,-76,-76,-72,-68,-200,-200,-78,-200,-200,-81,-200,-200,-200,-200
1526442461512,-77,-75,-74,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
