,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526441971227,-68,-200,-86,-88,-200,-67,-64,-200,-200,-90,-84,-200,-200,-200,-200,-200
1526441971391,-68,-200,-200,-79,-85,-67,-200,-200,-88,-82,-200,-200,-90,-200,-200,-200
1526441976107,-68,-200,-200,-79,-85,-200,-200,-200,-88,-200,-85,-74,-90,-200,-200,-200
1526441976192,-200,-200,-200,-200,-86,-200,-68,-200,-88,-200,-84,-74,-89,-200,-200,-200
1526441976291,-200,-200,-200,-79,-86,-200,-67,-200,-88,-82,-200,-76,-200,-200,-200,-200
1526441980974,-81,-200,-91,-68,-200,-200,-69,-200,-85,-85,-200,-77,-84,-91,-200,-200
1526441981084,-200,-200,-92,-73,-200,-68,-64,-200,-200,-200,-200,-77,-84,-200,-200,-200
1526441981212,-82,-200,-200,-73,-200,-68,-64,-200,-86,-84,-200,-76,-84,-200,-200,-200
1526441981318,-80,-200,-200,-73,-85,-200,-63,-200,-86,-200,-200,-200,-84,-200,-200,-200
1526441985988,-67,-200,-86,-80,-200,-66,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526441986087,-62,-200,-200,-200,-78,-200,-200,-200,-200,-200,-81,-86,-200,-200,-200,-200
1526441986202,-63,-200,-86,-200,-78,-200,-200,-200,-200,-200,-81,-82,-84,-200,-200,-200
1526441986307,-62,-200,-86,-81,-200,-67,-68,-200,-200,-200,-200,-85,-84,-200,-200,-200
1526441991093,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526441991248,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200
1526441991351,-72,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441995985,-78,-200,-200,-200,-200,-69,-68,-200,-86,-200,-200,-200,-88,-200,-200,-200
1526441996142,-78,-200,-200,-74,-200,-69,-69,-200,-200,-200,-200,-76,-200,-200,-200,-200
1526441996184,-200,-200,-200,-74,-200,-69,-69,-200,-86,-200,-200,-76,-88,-200,-200,-200
1526441996300,-78,-200,-200,-69,-87,-69,-69,-200,-86,-88,-200,-76,-87,-200,-200,-200
1526441996439,-200,-200,-200,-72,-86,-68,-70,-200,-200,-87,-85,-77,-200,-200,-200,-88
1526442001043,-200,-200,-200,-75,-78,-74,-200,-200,-89,-200,-85,-200,-200,-200,-200,-200
1526442001215,-72,-200,-200,-75,-78,-69,-70,-200,-200,-83,-85,-200,-200,-200,-200,-200
1526442001338,-71,-200,-200,-74,-200,-200,-200,-200,-200,-80,-86,-82,-200,-200,-200,-200
1526442001444,-70,-200,-200,-84,-85,-73,-200,-200,-200,-200,-87,-200,-91,-200,-200,-200
1526442006066,-74,-200,-200,-82,-84,-74,-63,-200,-200,-81,-200,-74,-200,-200,-200,-200
1526442006179,-74,-200,-200,-81,-200,-72,-63,-200,-89,-80,-86,-200,-92,-200,-200,-200
1526442006332,-72,-200,-200,-80,-84,-72,-62,-200,-200,-81,-86,-74,-89,-200,-200,-90
1526442006440,-200,-200,-200,-82,-200,-200,-63,-200,-200,-200,-200,-200,-90,-200,-200,-200
