,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455950607,-36,-28,-48,-50,-67,-57,-50,-66,-64,-60,-62,-74,-67,-80,-74,-67,-79,-76,-73,-80,-58,-200,-77,-200,-88,-87,-200,-78,-200,-78,-71,-200,-200,-200,-86,-59,-87,-89,-200,-200,-200
1526455953644,-36,-28,-48,-50,-67,-57,-50,-66,-64,-60,-62,-74,-67,-80,-74,-67,-79,-76,-73,-80,-58,-200,-77,-200,-88,-87,-200,-78,-200,-78,-71,-200,-200,-200,-86,-59,-87,-89,-200,-200,-200
1526455956684,-36,-28,-48,-50,-67,-57,-50,-66,-64,-60,-62,-74,-67,-80,-74,-67,-79,-76,-73,-80,-58,-200,-77,-200,-88,-87,-200,-78,-200,-78,-71,-200,-200,-200,-86,-59,-87,-89,-200,-200,-200
1526455959725,-36,-29,-47,-57,-63,-58,-50,-60,-64,-64,-61,-70,-66,-76,-72,-65,-200,-72,-75,-81,-62,-81,-77,-79,-89,-200,-200,-78,-91,-79,-71,-200,-200,-200,-200,-56,-89,-200,-88,-89,-200
1526455962769,-36,-25,-48,-57,-61,-60,-51,-60,-62,-60,-59,-77,-70,-76,-71,-67,-200,-71,-73,-79,-59,-84,-77,-79,-89,-200,-200,-78,-91,-78,-71,-200,-200,-200,-89,-56,-89,-200,-88,-89,-89
1526455965813,-36,-25,-48,-57,-61,-60,-51,-60,-62,-60,-59,-77,-70,-76,-71,-67,-200,-71,-73,-79,-59,-84,-77,-79,-89,-200,-200,-78,-91,-78,-71,-200,-200,-200,-89,-56,-89,-200,-88,-89,-89
1526455968848,-36,-25,-48,-57,-61,-60,-51,-60,-62,-60,-59,-77,-70,-76,-71,-67,-200,-71,-73,-79,-59,-84,-77,-79,-89,-200,-200,-78,-91,-78,-71,-200,-200,-200,-89,-56,-89,-200,-88,-89,-89
1526455971886,-36,-24,-46,-63,-60,-58,-51,-60,-65,-58,-59,-75,-69,-76,-75,-68,-80,-72,-73,-80,-62,-84,-84,-85,-200,-200,-200,-200,-200,-76,-71,-200,-200,-200,-90,-200,-200,-200,-200,-200,-89
1526455974924,-52,-29,-56,-63,-68,-61,-53,-79,-74,-58,-59,-75,-71,-76,-75,-79,-80,-73,-84,-80,-73,-84,-84,-85,-200,-200,-200,-200,-200,-76,-71,-200,-200,-200,-90,-72,-200,-200,-200,-200,-89
1526455977968,-52,-29,-56,-63,-68,-61,-53,-79,-74,-58,-59,-75,-71,-76,-75,-79,-80,-73,-84,-80,-73,-84,-84,-85,-200,-200,-200,-200,-200,-76,-71,-200,-200,-200,-90,-72,-200,-200,-200,-200,-89
1526455981004,-52,-29,-56,-63,-68,-61,-53,-79,-74,-58,-59,-75,-71,-76,-75,-79,-80,-73,-84,-80,-73,-84,-84,-85,-200,-200,-200,-200,-200,-76,-71,-200,-200,-200,-90,-72,-200,-200,-200,-200,-89
1526455984033,-35,-30,-48,-56,-62,-60,-49,-62,-72,-59,-61,-73,-71,-200,-73,-70,-77,-75,-84,-79,-69,-200,-81,-200,-90,-87,-200,-73,-200,-74,-70,-200,-200,-200,-200,-60,-200,-200,-200,-200,-200
