,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455864845,-36,-42,-58,-53,-59,-63,-61,-57,-57,-59,-71,-70,-69,-200,-69,-67,-200,-65,-59,-78,-74,-73,-72,-74,-65,-78,-200,-78,-81,-200,-80,-82,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526455867894,-35,-40,-58,-52,-59,-62,-61,-57,-59,-59,-73,-74,-69,-77,-69,-68,-90,-67,-59,-78,-74,-73,-73,-71,-65,-89,-200,-81,-81,-200,-80,-83,-200,-200,-200,-200,-200,-200,-86,-84,-200,-200,-200
1526455870926,-35,-40,-58,-52,-59,-62,-61,-57,-59,-59,-73,-74,-69,-77,-69,-68,-90,-67,-59,-78,-74,-73,-73,-71,-65,-89,-200,-81,-81,-200,-80,-83,-200,-200,-200,-200,-200,-200,-86,-84,-200,-200,-200
1526455873965,-35,-40,-58,-52,-59,-62,-61,-57,-59,-59,-73,-74,-69,-77,-69,-68,-90,-67,-59,-78,-74,-73,-73,-71,-65,-89,-200,-81,-81,-200,-80,-83,-200,-200,-200,-200,-200,-200,-86,-84,-200,-200,-200
1526455877014,-38,-39,-59,-52,-60,-61,-60,-56,-54,-59,-76,-76,-200,-80,-67,-66,-90,-68,-59,-76,-75,-74,-73,-71,-64,-89,-200,-78,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-84,-91,-93,-200
1526455880047,-41,-39,-59,-52,-60,-61,-60,-58,-54,-53,-76,-68,-68,-80,-67,-68,-90,-66,-59,-73,-75,-74,-72,-71,-68,-89,-200,-80,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-84,-91,-93,-200
1526455883083,-41,-39,-59,-52,-60,-61,-60,-58,-54,-53,-76,-68,-68,-80,-67,-68,-90,-66,-59,-73,-75,-74,-72,-71,-68,-89,-200,-80,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-84,-91,-93,-200
1526455886111,-41,-39,-59,-52,-60,-61,-60,-58,-54,-53,-76,-68,-68,-80,-67,-68,-90,-66,-59,-73,-75,-74,-72,-71,-68,-89,-200,-80,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-84,-91,-93,-200
1526455889149,-37,-39,-59,-52,-200,-63,-60,-60,-54,-58,-78,-68,-68,-80,-69,-68,-200,-68,-58,-77,-74,-71,-72,-69,-67,-200,-200,-79,-200,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-85,-91,-200,-90
1526455892185,-41,-39,-59,-60,-59,-61,-59,-58,-58,-59,-77,-74,-68,-80,-72,-68,-200,-67,-58,-77,-74,-71,-72,-71,-64,-200,-200,-80,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-85,-91,-200,-90
1526455895217,-41,-39,-59,-60,-59,-61,-59,-58,-58,-59,-77,-74,-68,-80,-72,-68,-200,-67,-58,-77,-74,-71,-72,-71,-64,-200,-200,-80,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-85,-91,-200,-90
1526455898253,-41,-39,-59,-60,-59,-61,-59,-58,-58,-59,-77,-74,-68,-80,-72,-68,-200,-67,-58,-77,-74,-71,-72,-71,-64,-200,-200,-80,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-85,-91,-200,-90
