,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10
1526451718367,-52,-30,-42,-41,-200,-200,-200,-58,-68,-200,-51,-54,-200,-61,-200,-200,-74,-74,-68,-59,-62,-200,-62,-68,-74,-200,-74,-200,-68,-200,-200,-67,-87,-200,-71,-90,-85,-75,-200,-84,-200,-80,-76,-200,-90,-82,-200,-200,-200,-82,-86,-89,-88,-83,-200,-200,-200,-200,-200,-200
1526451721399,-45,-30,-40,-44,-35,-200,-62,-52,-68,-58,-59,-54,-73,-61,-59,-68,-74,-74,-68,-62,-61,-200,-64,-66,-78,-200,-74,-200,-67,-200,-200,-67,-87,-78,-68,-90,-85,-75,-200,-84,-200,-80,-78,-200,-90,-82,-200,-200,-200,-84,-85,-89,-89,-83,-55,-87,-200,-200,-200,-200
1526451724424,-45,-30,-40,-44,-35,-200,-62,-52,-200,-58,-59,-54,-73,-200,-59,-68,-200,-200,-200,-62,-61,-200,-64,-66,-78,-200,-74,-200,-67,-200,-200,-200,-200,-78,-68,-200,-200,-200,-200,-84,-200,-200,-78,-200,-200,-200,-200,-200,-200,-84,-85,-200,-89,-200,-55,-87,-200,-200,-200,-200
1526451727448,-45,-30,-40,-44,-35,-200,-62,-52,-200,-58,-51,-54,-73,-200,-59,-68,-67,-76,-68,-73,-61,-200,-60,-69,-78,-200,-72,-200,-67,-200,-200,-200,-200,-78,-69,-200,-87,-200,-200,-89,-200,-200,-78,-83,-93,-200,-200,-200,-200,-83,-85,-200,-90,-200,-55,-87,-92,-200,-200,-200
1526451730456,-45,-30,-40,-44,-35,-200,-62,-52,-200,-58,-51,-54,-73,-200,-59,-68,-67,-76,-68,-73,-61,-200,-60,-69,-78,-200,-72,-200,-67,-200,-200,-200,-200,-78,-69,-200,-87,-200,-200,-89,-200,-200,-78,-83,-93,-200,-200,-200,-200,-83,-85,-200,-90,-200,-55,-87,-92,-200,-200,-200
1526451733482,-37,-26,-40,-44,-36,-200,-64,-56,-200,-58,-57,-54,-67,-65,-59,-68,-67,-76,-68,-62,-56,-200,-57,-69,-78,-200,-75,-200,-67,-200,-200,-200,-200,-78,-69,-89,-86,-200,-200,-83,-200,-200,-74,-83,-90,-200,-200,-200,-200,-87,-87,-200,-90,-200,-55,-87,-92,-200,-200,-200
1526451736496,-37,-26,-40,-44,-36,-200,-64,-56,-200,-58,-57,-54,-67,-65,-59,-68,-67,-76,-68,-62,-56,-200,-57,-69,-78,-200,-75,-200,-67,-200,-200,-200,-200,-78,-69,-89,-86,-200,-200,-83,-200,-200,-74,-83,-90,-200,-200,-200,-200,-87,-87,-200,-90,-200,-55,-87,-92,-200,-200,-200
1526451739512,-48,-27,-41,-44,-37,-200,-64,-63,-65,-58,-57,-51,-67,-68,-61,-68,-67,-76,-66,-60,-53,-200,-58,-61,-78,-200,-75,-200,-67,-200,-200,-200,-90,-78,-69,-89,-83,-200,-200,-84,-200,-200,-75,-83,-90,-200,-200,-200,-200,-84,-87,-200,-90,-200,-55,-87,-92,-75,-200,-200
1526451742531,-48,-27,-41,-44,-37,-200,-64,-63,-65,-58,-57,-51,-67,-68,-61,-68,-67,-76,-66,-60,-53,-200,-58,-61,-78,-200,-75,-200,-67,-200,-200,-200,-90,-78,-69,-89,-83,-200,-200,-84,-200,-200,-75,-83,-90,-200,-200,-200,-200,-84,-87,-200,-90,-200,-55,-87,-92,-75,-200,-200
1526451745551,-43,-26,-43,-45,-41,-200,-67,-60,-65,-58,-53,-55,-67,-60,-67,-68,-67,-76,-66,-62,-54,-200,-62,-69,-78,-200,-73,-74,-67,-200,-200,-200,-90,-78,-69,-89,-83,-200,-200,-85,-200,-200,-75,-83,-90,-200,-200,-200,-200,-84,-87,-200,-90,-200,-55,-87,-92,-75,-200,-200
1526451748577,-43,-26,-43,-45,-41,-200,-67,-60,-65,-58,-53,-55,-67,-60,-67,-68,-67,-76,-66,-62,-54,-200,-62,-69,-78,-200,-73,-74,-67,-200,-200,-200,-90,-78,-69,-89,-83,-200,-200,-85,-200,-200,-75,-83,-90,-200,-200,-200,-200,-84,-87,-200,-90,-200,-55,-87,-92,-75,-200,-200
1526451751591,-41,-27,-44,-45,-41,-200,-65,-56,-65,-58,-53,-61,-69,-56,-63,-67,-67,-78,-66,-60,-54,-200,-63,-69,-78,-200,-78,-74,-67,-200,-200,-200,-90,-76,-69,-88,-83,-200,-200,-85,-200,-200,-74,-83,-90,-200,-200,-200,-200,-82,-87,-200,-90,-200,-55,-87,-92,-75,-73,-76
