,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398
1526462898086,-48,-53,-51,-43,-66,-55,-49,-53,-63,-65,-73,-55,-85,-81,-69,-83,-74,-80,-200,-80,-80,-78,-81,-85,-83,-200,-200,-200,-200,-78,-200,-84,-82,-78,-200,-200,-81,-200,-85,-83,-82,-81,-87,-86,-200
1526462901128,-48,-53,-51,-43,-66,-55,-49,-53,-63,-65,-73,-55,-85,-81,-69,-83,-74,-80,-200,-80,-80,-78,-81,-85,-83,-200,-200,-200,-200,-78,-200,-84,-82,-78,-200,-200,-81,-200,-85,-83,-82,-81,-87,-86,-200
1526462904162,-48,-53,-51,-43,-66,-55,-49,-53,-63,-65,-73,-55,-85,-81,-69,-83,-74,-80,-200,-80,-80,-78,-81,-85,-83,-200,-200,-200,-200,-78,-200,-84,-82,-78,-200,-200,-81,-200,-85,-83,-82,-81,-87,-86,-200
1526462907200,-45,-53,-49,-43,-56,-55,-53,-53,-63,-67,-73,-55,-200,-84,-71,-200,-74,-200,-84,-80,-200,-80,-200,-81,-85,-200,-200,-200,-200,-79,-200,-78,-83,-79,-200,-200,-84,-73,-85,-83,-200,-200,-87,-86,-200
1526462910239,-41,-50,-48,-43,-53,-53,-54,-53,-67,-66,-73,-55,-200,-84,-71,-84,-71,-200,-84,-81,-200,-80,-200,-82,-85,-200,-200,-83,-200,-79,-200,-78,-83,-80,-200,-200,-84,-73,-85,-83,-80,-79,-87,-86,-200
1526462913283,-41,-50,-48,-43,-53,-53,-54,-53,-67,-66,-73,-55,-200,-84,-71,-84,-71,-200,-84,-81,-200,-80,-200,-82,-85,-200,-200,-83,-200,-79,-200,-78,-83,-80,-200,-200,-84,-73,-85,-83,-80,-79,-87,-86,-200
1526462916327,-41,-50,-48,-43,-53,-53,-54,-53,-67,-66,-73,-55,-200,-84,-71,-84,-71,-200,-84,-81,-200,-80,-200,-82,-85,-200,-200,-83,-200,-79,-200,-78,-83,-80,-200,-200,-84,-73,-85,-83,-80,-79,-87,-86,-200
1526462919366,-45,-50,-48,-44,-56,-58,-54,-56,-66,-66,-75,-55,-200,-200,-71,-84,-72,-83,-200,-81,-200,-80,-200,-82,-83,-200,-200,-83,-200,-78,-200,-200,-200,-81,-200,-200,-200,-73,-83,-200,-80,-79,-200,-86,-200
1526462922398,-41,-50,-49,-42,-54,-55,-54,-55,-65,-65,-75,-56,-200,-200,-71,-84,-72,-83,-200,-81,-200,-80,-200,-80,-83,-200,-200,-83,-200,-78,-200,-200,-200,-81,-200,-200,-200,-73,-83,-200,-80,-79,-200,-86,-200
1526462925433,-41,-50,-49,-42,-54,-55,-54,-55,-65,-65,-75,-56,-200,-200,-71,-84,-72,-83,-200,-81,-200,-80,-200,-80,-83,-200,-200,-83,-200,-78,-200,-200,-200,-81,-200,-200,-200,-73,-83,-200,-80,-79,-200,-86,-200
1526462928469,-41,-50,-49,-42,-54,-55,-54,-55,-65,-65,-75,-56,-200,-200,-71,-84,-72,-83,-200,-81,-200,-80,-200,-80,-83,-200,-200,-83,-200,-78,-200,-200,-200,-81,-200,-200,-200,-73,-83,-200,-80,-79,-200,-86,-200
1526462931515,-45,-51,-48,-42,-54,-53,-53,-55,-66,-67,-76,-54,-200,-200,-68,-200,-72,-200,-200,-78,-200,-200,-200,-80,-200,-200,-200,-200,-90,-80,-200,-200,-81,-80,-200,-200,-85,-75,-83,-200,-200,-200,-200,-200,-92
