,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166
1526462670304,-33,-46,-44,-55,-58,-55,-50,-61,-59,-63,-64,-69,-62,-71,-72,-77,-88,-78,-77,-76,-200,-82,-82,-85,-76,-81,-89,-90,-86,-87,-89,-200,-200,-200,-200,-91,-200,-200,-200,-81,-89,-91,-200,-200
1526462673351,-33,-46,-44,-55,-58,-55,-50,-61,-59,-63,-64,-69,-62,-71,-72,-77,-88,-78,-77,-76,-200,-82,-82,-85,-76,-81,-89,-90,-86,-87,-89,-200,-200,-200,-200,-91,-200,-200,-200,-81,-89,-91,-200,-200
1526462676384,-33,-46,-44,-55,-58,-55,-50,-61,-59,-63,-64,-69,-62,-71,-72,-77,-88,-78,-77,-76,-200,-82,-82,-85,-76,-81,-89,-90,-86,-87,-89,-200,-200,-200,-200,-91,-200,-200,-200,-81,-89,-91,-200,-200
1526462679428,-33,-46,-46,-54,-64,-56,-51,-61,-61,-63,-65,-75,-60,-71,-72,-72,-88,-78,-77,-76,-86,-200,-78,-83,-76,-86,-200,-90,-87,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-87,-90
1526462682471,-33,-47,-46,-54,-67,-57,-51,-58,-64,-61,-64,-75,-60,-71,-72,-72,-88,-78,-81,-76,-86,-81,-78,-83,-76,-86,-200,-90,-85,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200,-81,-200,-200,-87,-90
1526462685510,-33,-47,-46,-54,-67,-57,-51,-58,-64,-61,-64,-75,-60,-71,-72,-72,-88,-78,-81,-76,-86,-81,-78,-83,-76,-86,-200,-90,-85,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200,-81,-200,-200,-87,-90
1526462688540,-33,-47,-46,-54,-67,-57,-51,-58,-64,-61,-64,-75,-60,-71,-72,-72,-88,-78,-81,-76,-86,-81,-78,-83,-76,-86,-200,-90,-85,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200,-81,-200,-200,-87,-90
1526462691580,-32,-46,-47,-58,-54,-54,-53,-55,-55,-65,-60,-67,-63,-68,-70,-76,-200,-79,-81,-79,-200,-81,-200,-87,-80,-200,-87,-200,-85,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200
1526462694610,-32,-47,-47,-58,-53,-54,-53,-60,-55,-64,-60,-73,-63,-68,-70,-75,-88,-76,-78,-78,-200,-81,-200,-87,-76,-200,-87,-200,-85,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200
1526462697642,-32,-47,-47,-58,-53,-54,-53,-60,-55,-64,-60,-73,-63,-68,-70,-75,-88,-76,-78,-78,-200,-81,-200,-87,-76,-200,-87,-200,-85,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200
1526462700680,-32,-47,-47,-58,-53,-54,-53,-60,-55,-64,-60,-73,-63,-68,-70,-75,-88,-76,-78,-78,-200,-81,-200,-87,-76,-200,-87,-200,-85,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200
1526462703721,-32,-47,-46,-57,-53,-54,-53,-61,-55,-63,-62,-72,-69,-68,-70,-74,-88,-76,-78,-78,-86,-84,-77,-200,-76,-80,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-86,-200,-200,-79,-87,-200,-200,-200
