,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,DLINK_D07F10,WHU-2018,DLINK_D013A8
1526462744405,-34,-46,-50,-51,-61,-47,-59,-57,-62,-68,-75,-66,-69,-65,-77,-200,-89,-80,-75,-80,-200,-200,-200,-82,-79,-200,-200,-89,-200,-200,-73,-200,-200,-78,-79,-89,-200,-200,-200,-200,-200,-200
1526462747436,-34,-46,-50,-51,-61,-47,-59,-57,-62,-68,-75,-66,-69,-65,-77,-200,-89,-80,-75,-80,-200,-200,-200,-82,-79,-200,-200,-89,-200,-200,-73,-200,-200,-78,-79,-89,-200,-200,-200,-200,-200,-200
1526462750472,-34,-46,-50,-51,-61,-47,-59,-57,-62,-68,-75,-66,-69,-65,-77,-200,-89,-80,-75,-80,-200,-200,-200,-82,-79,-200,-200,-89,-200,-200,-73,-200,-200,-78,-79,-89,-200,-200,-200,-200,-200,-200
1526462753486,-200,-200,-50,-200,-200,-200,-200,-200,-65,-200,-200,-200,-64,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462756518,-35,-48,-50,-54,-59,-47,-65,-59,-67,-67,-200,-68,-64,-62,-80,-200,-200,-78,-74,-82,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-75,-200,-200,-82,-89,-200,-200,-88,-87,-200,-200,-200
1526462759532,-35,-48,-50,-54,-59,-47,-65,-59,-67,-67,-200,-68,-64,-62,-80,-200,-200,-78,-74,-82,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-75,-200,-200,-82,-89,-200,-200,-88,-87,-200,-200,-200
1526462762558,-35,-48,-50,-54,-59,-47,-65,-59,-67,-67,-200,-68,-64,-62,-80,-200,-200,-78,-74,-82,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-75,-200,-200,-82,-89,-200,-200,-88,-87,-200,-200,-200
1526462765602,-35,-46,-72,-53,-59,-47,-60,-61,-63,-65,-81,-68,-67,-62,-74,-200,-200,-78,-76,-80,-200,-200,-200,-79,-200,-200,-200,-87,-200,-200,-74,-80,-200,-82,-89,-200,-200,-86,-87,-200,-200,-200
1526462768636,-35,-46,-72,-53,-59,-47,-60,-61,-63,-65,-81,-68,-67,-62,-74,-200,-200,-78,-76,-80,-200,-200,-200,-79,-200,-200,-200,-87,-200,-200,-74,-80,-200,-82,-89,-200,-200,-86,-87,-200,-200,-200
1526462771669,-35,-46,-72,-53,-59,-47,-60,-61,-63,-65,-81,-68,-67,-62,-74,-200,-200,-78,-76,-80,-200,-200,-200,-79,-200,-200,-200,-87,-200,-200,-74,-80,-200,-82,-89,-200,-200,-86,-87,-200,-200,-200
1526462774697,-35,-46,-72,-53,-59,-47,-60,-61,-63,-65,-81,-68,-67,-62,-74,-200,-200,-78,-76,-80,-200,-200,-200,-79,-200,-200,-200,-87,-200,-200,-74,-80,-200,-82,-89,-200,-200,-86,-87,-200,-200,-200
1526462777740,-35,-46,-50,-52,-54,-47,-59,-61,-67,-69,-77,-70,-64,-63,-79,-200,-200,-79,-74,-77,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-77,-200,-200,-81,-88,-200,-200,-200,-200,-77,-84,-88
