,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526454897879,-94,-200,-200,-91,-79,-200,-200,-200,-200,-200,-200,-77,-79,-200,-200,-200,-78,-85,-200,-200,-200,-200,-200,-200
1526454897963,-200,-200,-76,-200,-79,-65,-200,-200,-91,-86,-89,-76,-79,-200,-200,-99,-78,-200,-74,-200,-200,-200,-200,-200
1526454898092,-200,-200,-77,-200,-200,-200,-88,-200,-92,-87,-200,-200,-80,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526454902434,-200,-90,-200,-200,-200,-66,-85,-200,-96,-91,-93,-81,-200,-82,-200,-200,-71,-79,-72,-200,-200,-200,-200,-200
1526454902540,-200,-91,-200,-200,-80,-66,-200,-85,-95,-90,-90,-200,-79,-200,-200,-200,-71,-80,-200,-200,-200,-200,-200,-200
1526454902645,-200,-89,-68,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-84,-200,-200,-73,-80,-200,-90,-200,-200,-200,-200
1526454902752,-200,-91,-69,-200,-79,-66,-200,-87,-98,-87,-90,-72,-200,-82,-200,-200,-71,-81,-73,-91,-200,-200,-200,-200
1526454902849,-200,-91,-69,-200,-79,-66,-200,-87,-97,-200,-90,-200,-200,-83,-200,-200,-71,-80,-73,-90,-200,-200,-200,-200
1526454902952,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-79,-200,-91,-200,-200,-200,-200
1526454903063,-200,-200,-71,-200,-200,-69,-85,-81,-93,-200,-91,-80,-80,-200,-200,-200,-72,-79,-77,-200,-200,-200,-200,-94
1526454907563,-200,-200,-71,-200,-200,-69,-200,-81,-200,-200,-200,-80,-80,-81,-89,-200,-72,-200,-76,-200,-200,-200,-200,-91
1526454907698,-200,-200,-70,-200,-79,-69,-91,-81,-200,-200,-92,-81,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526454907800,-200,-200,-69,-200,-79,-69,-90,-78,-200,-90,-200,-200,-200,-200,-200,-200,-71,-75,-74,-200,-200,-200,-200,-200
1526454907903,-200,-200,-200,-92,-80,-69,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-76,-200,-200,-200,-200,-200
1526454908051,-200,-200,-75,-200,-79,-200,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-76,-92,-200,-200,-94,-200
1526454912489,-94,-200,-75,-200,-79,-66,-89,-95,-200,-200,-88,-76,-80,-84,-91,-200,-78,-200,-74,-95,-200,-200,-95,-200
1526454912615,-200,-92,-74,-200,-78,-65,-88,-200,-200,-87,-89,-200,-200,-83,-89,-200,-200,-200,-73,-93,-94,-200,-95,-200
1526454912742,-92,-93,-75,-200,-78,-200,-88,-93,-200,-89,-200,-76,-79,-200,-90,-200,-200,-85,-73,-94,-200,-200,-94,-200
1526454912850,-92,-96,-74,-200,-78,-65,-88,-93,-92,-200,-92,-200,-80,-200,-91,-200,-200,-86,-73,-200,-200,-200,-95,-200
1526454912945,-91,-200,-75,-200,-78,-200,-88,-200,-200,-86,-200,-200,-79,-200,-92,-200,-77,-85,-72,-93,-95,-200,-94,-98
1526454913048,-200,-94,-200,-200,-78,-67,-89,-200,-200,-200,-200,-200,-79,-200,-90,-200,-72,-80,-200,-200,-200,-200,-94,-200
1526454917459,-200,-91,-69,-200,-82,-67,-200,-86,-200,-200,-90,-82,-80,-83,-200,-200,-71,-79,-74,-200,-200,-200,-200,-200
1526454917554,-200,-200,-69,-200,-83,-67,-200,-87,-200,-200,-90,-83,-81,-200,-200,-200,-71,-79,-73,-90,-200,-200,-200,-200
1526454917653,-200,-200,-69,-200,-81,-66,-200,-85,-200,-200,-200,-80,-80,-82,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526454917755,-200,-200,-70,-200,-81,-66,-86,-200,-200,-200,-90,-82,-80,-83,-200,-200,-72,-78,-200,-200,-200,-200,-200,-200
1526454917877,-200,-200,-200,-200,-82,-66,-86,-86,-200,-200,-92,-82,-80,-82,-200,-200,-71,-200,-73,-200,-200,-200,-200,-200
1526454917996,-200,-91,-200,-200,-200,-67,-200,-85,-200,-200,-200,-82,-80,-200,-200,-200,-71,-81,-73,-89,-200,-200,-200,-200
1526454922415,-200,-200,-71,-92,-200,-69,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
1526454922559,-200,-200,-71,-200,-82,-69,-91,-81,-200,-200,-200,-200,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454922673,-200,-200,-71,-200,-81,-69,-200,-81,-200,-200,-200,-200,-200,-80,-200,-200,-200,-75,-77,-200,-84,-200,-95,-200
1526454922861,-200,-200,-71,-200,-200,-69,-200,-200,-93,-200,-200,-200,-81,-200,-200,-200,-74,-75,-77,-200,-200,-200,-98,-200
1526454922952,-200,-95,-71,-92,-81,-69,-200,-200,-93,-87,-200,-76,-80,-200,-92,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526454927481,-92,-95,-77,-200,-77,-65,-200,-93,-93,-200,-89,-200,-80,-200,-200,-200,-200,-83,-73,-200,-94,-200,-95,-200
1526454927613,-91,-95,-77,-93,-77,-65,-87,-95,-200,-200,-87,-75,-200,-200,-90,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526454927711,-200,-200,-78,-92,-78,-65,-200,-96,-94,-87,-200,-76,-200,-200,-92,-200,-79,-83,-200,-200,-94,-200,-94,-200
1526454927814,-92,-200,-76,-92,-78,-66,-200,-96,-93,-200,-87,-79,-200,-200,-92,-200,-200,-200,-74,-200,-94,-200,-200,-200
1526454927914,-92,-200,-77,-200,-77,-65,-200,-200,-200,-88,-200,-200,-200,-83,-200,-200,-79,-83,-74,-200,-93,-200,-200,-200
1526454928018,-200,-200,-77,-92,-77,-65,-89,-94,-200,-87,-200,-76,-200,-83,-92,-200,-200,-83,-200,-200,-94,-200,-95,-200
1526454928118,-200,-200,-200,-200,-78,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526454932468,-200,-200,-200,-200,-81,-67,-87,-200,-200,-200,-200,-85,-80,-200,-200,-200,-200,-80,-73,-200,-200,-200,-200,-200
1526454932575,-200,-92,-70,-200,-81,-66,-200,-84,-96,-200,-91,-82,-200,-200,-200,-200,-200,-81,-73,-92,-200,-200,-200,-200
1526454932666,-200,-200,-200,-200,-79,-67,-200,-84,-94,-200,-200,-78,-200,-200,-200,-200,-73,-200,-73,-200,-200,-200,-200,-200
1526454932772,-200,-200,-71,-200,-81,-67,-200,-200,-200,-200,-90,-78,-80,-83,-200,-200,-71,-80,-72,-200,-200,-200,-200,-200
1526454932868,-200,-200,-68,-200,-80,-200,-86,-200,-200,-200,-92,-80,-79,-83,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
1526454932980,-200,-200,-68,-200,-83,-67,-86,-81,-200,-200,-200,-81,-80,-82,-200,-200,-72,-80,-200,-200,-200,-200,-200,-200
1526454937453,-200,-200,-200,-200,-80,-68,-200,-200,-200,-200,-200,-87,-200,-80,-200,-200,-75,-78,-200,-200,-200,-96,-94,-200
1526454937599,-200,-200,-70,-200,-80,-68,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-87,-200,-200,-200
1526454937697,-200,-200,-71,-200,-79,-200,-92,-82,-200,-200,-200,-200,-79,-200,-200,-200,-74,-200,-200,-94,-200,-200,-200,-200
1526454937799,-200,-200,-70,-200,-79,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-78,-76,-200,-200,-200,-200,-200
1526454937930,-200,-200,-200,-92,-79,-71,-200,-200,-91,-200,-200,-200,-200,-85,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526454938009,-200,-200,-70,-91,-80,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-95,-200
1526454942452,-200,-92,-73,-89,-200,-200,-89,-94,-94,-88,-87,-76,-79,-84,-88,-99,-200,-84,-74,-200,-200,-200,-95,-200
1526454942552,-200,-92,-73,-200,-200,-65,-200,-200,-200,-87,-200,-76,-200,-84,-89,-200,-200,-85,-74,-200,-200,-200,-200,-200
1526454942702,-200,-92,-72,-200,-77,-65,-200,-200,-200,-200,-87,-200,-79,-83,-200,-200,-77,-83,-74,-200,-200,-200,-200,-200
1526454942816,-93,-200,-72,-90,-77,-65,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-77,-200,-74,-200,-200,-200,-200,-200
1526454942941,-200,-200,-200,-200,-200,-65,-200,-95,-200,-87,-200,-75,-200,-85,-90,-200,-200,-200,-75,-200,-94,-200,-200,-200
1526454943030,-200,-93,-73,-92,-200,-65,-90,-200,-94,-87,-88,-76,-200,-200,-200,-200,-77,-84,-75,-92,-93,-200,-95,-200
1526454947429,-200,-200,-71,-200,-83,-66,-200,-200,-200,-200,-200,-82,-81,-200,-200,-200,-72,-79,-200,-89,-200,-200,-200,-200
1526454947534,-200,-200,-73,-200,-81,-66,-85,-87,-200,-200,-200,-79,-200,-200,-200,-200,-71,-78,-200,-200,-200,-200,-200,-200
1526454947637,-200,-200,-73,-200,-82,-66,-87,-87,-200,-200,-200,-76,-200,-83,-200,-200,-73,-77,-74,-87,-200,-200,-200,-200
1526454947738,-200,-200,-72,-200,-80,-67,-200,-200,-200,-200,-200,-82,-200,-82,-200,-200,-72,-78,-74,-200,-200,-200,-200,-200
1526454947832,-200,-200,-76,-200,-82,-66,-85,-88,-200,-93,-88,-87,-200,-200,-200,-200,-200,-79,-76,-91,-200,-200,-200,-200
1526454947943,-200,-200,-77,-200,-200,-67,-200,-88,-200,-200,-200,-81,-80,-84,-200,-200,-200,-77,-72,-200,-200,-200,-200,-200
1526454948048,-200,-200,-75,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-73,-79,-72,-200,-200,-200,-200,-200
