,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
1526455357944,-200,-200,-200,-77,-76,-64,-200,-200,-84,-61,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
1526455362440,-200,-200,-83,-80,-200,-200,-82,-200,-85,-69,-200,-200,-82,-200,-200,-75,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526455362546,-200,-200,-82,-95,-200,-66,-200,-200,-87,-70,-69,-200,-82,-200,-200,-75,-200,-200,-200,-200,-80,-200,-78,-99,-200,-200
1526455362656,-200,-200,-82,-86,-77,-66,-83,-200,-87,-70,-69,-200,-200,-200,-200,-75,-76,-200,-200,-200,-76,-200,-79,-98,-200,-200
1526455362765,-200,-200,-82,-84,-77,-65,-83,-200,-85,-70,-69,-200,-81,-200,-200,-74,-74,-200,-200,-200,-77,-98,-79,-97,-96,-200
1526455362890,-200,-200,-83,-200,-77,-65,-200,-200,-85,-70,-69,-200,-82,-200,-200,-200,-77,-200,-200,-200,-200,-98,-200,-96,-96,-200
1526455362980,-200,-200,-84,-87,-77,-200,-200,-200,-86,-200,-70,-200,-83,-200,-200,-75,-79,-200,-200,-200,-76,-98,-79,-98,-200,-200
1526455363139,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455367450,-200,-200,-200,-200,-73,-66,-75,-200,-78,-200,-71,-94,-200,-200,-88,-200,-200,-200,-200,-200,-76,-200,-83,-200,-200,-200
1526455367574,-200,-200,-200,-75,-200,-66,-200,-200,-200,-200,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526455367678,-200,-200,-200,-76,-200,-66,-73,-200,-78,-200,-200,-200,-89,-90,-86,-200,-64,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526455367799,-200,-200,-200,-200,-73,-200,-74,-200,-78,-200,-72,-200,-89,-200,-200,-200,-64,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526455367900,-200,-200,-77,-76,-200,-66,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526455368010,-200,-200,-76,-76,-200,-66,-200,-200,-200,-64,-72,-200,-200,-200,-87,-200,-64,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526455372423,-200,-200,-200,-71,-200,-66,-200,-200,-200,-62,-64,-200,-200,-200,-200,-74,-70,-82,-200,-200,-70,-200,-200,-98,-200,-200
1526455372537,-200,-200,-200,-200,-200,-64,-200,-200,-200,-62,-64,-200,-82,-200,-200,-73,-70,-82,-200,-200,-71,-91,-77,-200,-200,-200
1526455372627,-200,-200,-200,-83,-200,-63,-200,-93,-200,-62,-65,-200,-83,-200,-200,-73,-84,-200,-200,-200,-71,-90,-200,-200,-200,-200
1526455372743,-200,-200,-75,-200,-73,-64,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200
1526455372829,-200,-200,-200,-76,-76,-63,-200,-200,-82,-62,-66,-200,-84,-200,-200,-200,-69,-82,-200,-200,-200,-200,-200,-200,-97,-200
1526455372995,-200,-200,-200,-200,-72,-63,-200,-200,-79,-200,-65,-200,-84,-200,-200,-200,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526455377434,-200,-200,-85,-82,-76,-66,-200,-200,-85,-65,-70,-200,-200,-200,-200,-75,-77,-200,-200,-200,-200,-97,-200,-99,-95,-200
1526455377527,-200,-200,-85,-200,-76,-200,-86,-200,-85,-65,-70,-200,-83,-200,-200,-74,-77,-200,-92,-200,-77,-97,-200,-200,-97,-200
1526455377625,-200,-200,-200,-81,-200,-66,-86,-200,-200,-65,-70,-200,-82,-200,-200,-74,-76,-200,-92,-200,-77,-200,-200,-98,-98,-200
1526455377735,-200,-200,-200,-200,-76,-200,-200,-200,-85,-200,-71,-200,-82,-200,-200,-200,-77,-200,-200,-200,-77,-200,-200,-200,-95,-200
1526455377842,-200,-200,-84,-200,-200,-200,-200,-200,-85,-65,-70,-200,-83,-200,-200,-74,-77,-200,-200,-200,-76,-200,-200,-200,-96,-200
1526455377955,-200,-99,-85,-81,-77,-65,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-100,-77,-95,-200,-98,-96,-200
1526455378053,-200,-200,-84,-80,-77,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-78,-200,-93,-200,-76,-200,-200,-200,-200,-200
1526455382441,-200,-200,-78,-75,-200,-200,-75,-200,-200,-59,-200,-200,-88,-200,-88,-76,-63,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526455382576,-200,-200,-78,-74,-200,-66,-74,-200,-80,-59,-200,-200,-91,-200,-88,-200,-64,-200,-200,-200,-72,-200,-83,-200,-200,-200
1526455382630,-200,-200,-78,-200,-200,-200,-200,-200,-80,-200,-200,-200,-90,-200,-88,-75,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455382733,-200,-200,-77,-200,-74,-200,-74,-200,-200,-200,-72,-200,-200,-200,-200,-75,-64,-96,-200,-200,-73,-200,-83,-200,-200,-200
1526455382838,-200,-200,-77,-200,-75,-65,-200,-200,-200,-200,-71,-91,-90,-90,-88,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200
1526455382949,-200,-200,-77,-200,-200,-65,-200,-200,-200,-59,-200,-91,-89,-91,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455383076,-200,-200,-75,-200,-200,-64,-200,-200,-200,-61,-200,-200,-91,-200,-200,-72,-67,-82,-87,-91,-200,-200,-200,-200,-200,-200
1526455387499,-200,-200,-200,-200,-200,-200,-83,-200,-200,-62,-65,-200,-85,-200,-200,-73,-68,-200,-87,-200,-200,-88,-80,-200,-200,-200
1526455387592,-200,-200,-76,-200,-72,-64,-81,-200,-80,-200,-200,-200,-85,-200,-200,-74,-200,-200,-200,-200,-69,-88,-200,-200,-200,-200
1526455387776,-200,-91,-200,-200,-72,-64,-82,-200,-200,-61,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-71,-88,-200,-200,-96,-200
1526455387925,-200,-200,-200,-74,-72,-64,-81,-200,-82,-61,-65,-200,-200,-200,-200,-200,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200
1526455392442,-200,-200,-200,-200,-78,-65,-86,-200,-85,-65,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-96,-80,-200,-200,-200
1526455392545,-200,-200,-200,-200,-78,-200,-200,-200,-200,-65,-71,-200,-83,-200,-200,-74,-200,-200,-200,-200,-80,-200,-79,-200,-200,-200
1526455392638,-200,-200,-200,-200,-77,-65,-86,-200,-200,-66,-71,-200,-200,-200,-200,-74,-78,-200,-200,-200,-80,-200,-80,-96,-95,-200
1526455392783,-200,-200,-200,-200,-77,-65,-86,-200,-200,-65,-71,-200,-82,-200,-200,-74,-79,-200,-200,-98,-80,-200,-79,-98,-95,-200
1526455392899,-200,-200,-200,-200,-77,-200,-85,-200,-85,-65,-71,-200,-82,-200,-200,-200,-78,-200,-200,-200,-80,-96,-79,-98,-200,-200
1526455392983,-200,-200,-84,-200,-200,-65,-86,-200,-85,-65,-70,-200,-82,-200,-200,-200,-200,-200,-95,-200,-79,-200,-79,-95,-96,-200
1526455397443,-200,-95,-200,-74,-74,-66,-200,-200,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526455397576,-200,-200,-200,-74,-74,-66,-74,-200,-200,-60,-200,-200,-90,-200,-200,-76,-64,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526455397693,-200,-200,-200,-73,-74,-200,-74,-200,-200,-59,-72,-200,-91,-200,-200,-200,-63,-200,-200,-200,-75,-200,-82,-200,-200,-200
1526455397802,-200,-200,-78,-73,-73,-200,-74,-200,-200,-200,-72,-200,-200,-90,-200,-76,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200
1526455397922,-200,-200,-78,-200,-200,-200,-74,-200,-200,-59,-72,-200,-200,-92,-200,-200,-63,-200,-200,-200,-74,-200,-82,-200,-200,-200
1526455398045,-200,-200,-77,-200,-200,-62,-83,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526455402473,-200,-200,-75,-73,-200,-64,-82,-200,-200,-61,-65,-200,-200,-200,-200,-71,-67,-200,-200,-200,-72,-200,-200,-200,-96,-200
1526455402562,-200,-200,-76,-200,-200,-200,-200,-96,-200,-200,-64,-200,-85,-91,-200,-72,-66,-200,-200,-92,-72,-87,-200,-200,-200,-200
1526455402669,-200,-200,-75,-74,-73,-200,-200,-200,-82,-61,-200,-200,-200,-91,-200,-200,-67,-200,-200,-91,-72,-200,-200,-200,-200,-200
1526455402774,-200,-200,-76,-74,-73,-64,-200,-200,-81,-61,-65,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526455402886,-200,-200,-200,-74,-72,-64,-200,-200,-82,-61,-65,-200,-85,-92,-96,-200,-200,-82,-200,-200,-200,-89,-80,-200,-96,-200
1526455403025,-200,-200,-200,-74,-72,-64,-200,-200,-84,-61,-65,-200,-85,-200,-200,-73,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526455407469,-200,-200,-200,-86,-76,-66,-84,-200,-200,-200,-200,-200,-82,-200,-200,-200,-83,-200,-200,-96,-74,-98,-200,-98,-200,-200
1526455407552,-200,-200,-86,-83,-76,-66,-87,-200,-200,-65,-70,-200,-82,-200,-200,-73,-77,-200,-200,-200,-75,-97,-79,-97,-98,-200
1526455407674,-200,-200,-86,-80,-76,-200,-87,-200,-85,-200,-200,-200,-82,-200,-200,-73,-78,-200,-95,-200,-76,-200,-80,-200,-96,-200
1526455407783,-200,-200,-85,-82,-200,-200,-85,-200,-85,-65,-200,-200,-82,-200,-200,-73,-200,-200,-200,-200,-73,-96,-79,-97,-97,-200
1526455407902,-200,-200,-84,-81,-77,-200,-83,-200,-85,-64,-70,-200,-82,-200,-200,-73,-80,-200,-200,-200,-79,-200,-200,-200,-95,-200
1526455407997,-200,-200,-82,-81,-200,-200,-200,-200,-85,-200,-68,-200,-83,-200,-200,-73,-200,-200,-200,-96,-79,-97,-200,-200,-95,-200
1526455408125,-200,-200,-200,-200,-200,-200,-88,-200,-200,-60,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-80,-200,-200,-200,-97,-200
1526455412522,-200,-200,-200,-200,-81,-67,-74,-200,-200,-61,-200,-200,-87,-200,-85,-75,-65,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526455412641,-200,-200,-200,-72,-200,-70,-200,-200,-200,-61,-200,-200,-87,-200,-200,-200,-66,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526455412757,-200,-200,-80,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-85,-72,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455412868,-200,-200,-80,-200,-80,-200,-200,-200,-200,-61,-200,-200,-200,-200,-84,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455412971,-200,-200,-200,-200,-79,-71,-74,-92,-200,-61,-86,-200,-85,-200,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526455413067,-95,-200,-200,-200,-76,-200,-90,-200,-200,-59,-200,-200,-200,-200,-84,-200,-200,-200,-200,-93,-69,-200,-76,-200,-200,-93
