,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28
1526465520132,-25,-44,-44,-46,-44,-54,-38,-48,-48,-60,-54,-37,-59,-200,-56,-51,-59,-62,-51,-67,-58,-65,-61,-84,-90,-69,-70,-70,-56,-200,-77,-80,-65,-72,-55,-70,-81,-76,-200,-81,-72,-200,-200,-68,-61,-86,-72,-83,-200,-69,-91,-92,-200,-70,-200,-200,-200,-200,-200,-69,-77,-74,-200,-200,-200,-200,-200,-80,-78,-85,-90,-84,-200,-200,-200,-78,-200,-89,-200,-200,-200,-200,-46,-82,-88,-91,-82,-84,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465523136,-25,-53,-39,-43,-46,-48,-39,-53,-53,-65,-52,-52,-59,-200,-56,-48,-60,-65,-45,-72,-58,-65,-61,-84,-200,-69,-200,-83,-56,-200,-200,-82,-69,-200,-88,-69,-80,-200,-200,-53,-72,-200,-74,-200,-60,-200,-77,-83,-200,-200,-200,-83,-200,-72,-200,-200,-200,-65,-200,-67,-77,-75,-200,-200,-200,-200,-200,-80,-200,-200,-200,-84,-200,-200,-200,-50,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-79,-200,-90,-81,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526465526201,-31,-40,-36,-49,-44,-48,-40,-55,-47,-65,-47,-47,-59,-200,-58,-50,-62,-65,-45,-58,-55,-62,-57,-71,-200,-69,-67,-83,-57,-73,-200,-81,-64,-200,-63,-70,-79,-200,-200,-81,-72,-200,-74,-71,-56,-200,-77,-84,-200,-71,-200,-83,-200,-72,-200,-200,-200,-66,-200,-67,-77,-75,-200,-200,-200,-200,-200,-80,-77,-200,-200,-84,-200,-74,-200,-50,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-80,-200,-90,-81,-84,-87,-83,-200,-200,-200,-200,-200,-200,-200
1526465529248,-30,-40,-40,-49,-53,-48,-50,-49,-49,-72,-56,-36,-73,-63,-58,-56,-62,-58,-56,-70,-60,-62,-61,-71,-90,-69,-67,-200,-82,-73,-69,-79,-65,-200,-63,-68,-77,-200,-200,-81,-75,-200,-85,-71,-64,-89,-200,-85,-200,-75,-200,-200,-200,-200,-200,-200,-200,-58,-200,-66,-77,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-76,-200,-56,-84,-200,-70,-200,-200,-200,-200,-200,-200,-79,-80,-200,-200,-200,-200,-88,-83,-86,-200,-200,-200,-200,-200,-200
1526465532256,-31,-38,-43,-51,-70,-54,-46,-50,-51,-72,-56,-34,-58,-56,-200,-54,-58,-66,-47,-67,-55,-65,-61,-66,-90,-200,-200,-75,-71,-200,-69,-77,-69,-200,-200,-70,-77,-200,-200,-80,-75,-200,-75,-200,-64,-89,-78,-85,-200,-68,-200,-200,-200,-200,-200,-200,-200,-59,-74,-67,-74,-70,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-76,-200,-56,-84,-200,-70,-200,-200,-200,-85,-200,-200,-79,-200,-200,-200,-200,-200,-88,-200,-86,-200,-200,-200,-200,-200,-200
1526465535299,-31,-35,-48,-49,-53,-50,-45,-52,-51,-72,-57,-34,-62,-56,-200,-53,-52,-62,-49,-70,-88,-65,-64,-66,-90,-77,-200,-75,-54,-200,-69,-71,-75,-71,-66,-71,-78,-76,-200,-52,-75,-200,-75,-70,-64,-89,-78,-85,-200,-74,-200,-200,-200,-200,-200,-200,-200,-58,-72,-68,-73,-70,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-76,-200,-56,-84,-200,-70,-200,-200,-200,-85,-200,-88,-81,-200,-200,-200,-70,-200,-88,-200,-86,-89,-90,-200,-200,-200,-200
1526465538365,-25,-41,-52,-48,-46,-49,-41,-54,-54,-200,-56,-36,-59,-200,-62,-52,-61,-62,-48,-60,-60,-200,-58,-200,-200,-68,-200,-90,-54,-200,-76,-80,-76,-71,-80,-68,-81,-76,-76,-79,-71,-200,-200,-73,-65,-200,-200,-200,-89,-67,-88,-85,-200,-200,-200,-200,-200,-59,-72,-68,-74,-200,-200,-200,-200,-200,-200,-80,-200,-88,-200,-200,-200,-200,-200,-57,-200,-200,-200,-87,-200,-200,-200,-200,-88,-81,-59,-200,-200,-70,-200,-200,-200,-200,-89,-90,-77,-200,-200,-200
1526465541428,-24,-33,-45,-47,-50,-47,-40,-50,-49,-200,-53,-42,-59,-62,-58,-54,-58,-56,-46,-60,-64,-72,-58,-200,-200,-68,-200,-90,-55,-200,-76,-81,-76,-68,-80,-72,-80,-76,-76,-50,-71,-200,-200,-73,-67,-200,-74,-89,-89,-67,-88,-85,-200,-200,-200,-200,-200,-59,-71,-68,-68,-200,-200,-85,-200,-200,-200,-80,-200,-88,-200,-200,-200,-200,-200,-57,-200,-200,-200,-87,-200,-89,-87,-200,-88,-84,-59,-200,-200,-70,-200,-200,-200,-200,-89,-90,-77,-81,-200,-200
1526465544440,-26,-46,-39,-52,-63,-53,-39,-50,-52,-57,-53,-35,-59,-62,-59,-61,-60,-71,-46,-64,-64,-72,-60,-200,-200,-200,-200,-64,-55,-200,-200,-78,-200,-68,-58,-73,-79,-200,-200,-50,-200,-200,-200,-200,-67,-200,-74,-90,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-71,-69,-68,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-57,-200,-200,-200,-200,-200,-89,-87,-85,-200,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200
1526465547510,-26,-39,-45,-49,-45,-48,-40,-58,-49,-57,-51,-37,-62,-200,-64,-58,-57,-53,-200,-64,-55,-69,-59,-64,-200,-200,-200,-71,-64,-200,-200,-70,-76,-200,-60,-70,-81,-72,-81,-77,-200,-200,-200,-200,-60,-200,-200,-90,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-68,-66,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-84
1526465550562,-29,-40,-49,-86,-44,-49,-39,-57,-49,-58,-53,-34,-62,-59,-64,-59,-57,-74,-46,-68,-54,-69,-59,-69,-200,-200,-200,-68,-64,-81,-200,-75,-76,-74,-59,-71,-71,-69,-81,-76,-71,-200,-200,-200,-62,-200,-200,-90,-200,-73,-200,-200,-200,-200,-200,-200,-200,-62,-68,-66,-69,-71,-200,-200,-87,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-83,-83,-200,-74,-79,-200,-90,-200,-200,-200,-200,-200,-200,-200,-82,-84,-80,-84
1526465553631,-24,-44,-45,-51,-44,-52,-24,-55,-47,-58,-54,-36,-61,-59,-61,-59,-58,-74,-46,-68,-56,-200,-58,-69,-200,-73,-72,-68,-58,-81,-200,-76,-200,-71,-54,-69,-83,-69,-200,-77,-71,-75,-200,-200,-62,-200,-200,-87,-200,-67,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200,-72,-200,-200,-200,-87,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-57,-81,-200,-200,-200,-200,-200,-85,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-82,-82,-80,-200
