,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,DLINK_D00ED8,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526465447267,-36,-38,-39,-51,-200,-58,-55,-42,-84,-54,-47,-48,-55,-55,-60,-58,-83,-56,-53,-63,-56,-62,-56,-200,-59,-63,-72,-56,-66,-77,-70,-71,-200,-69,-83,-61,-72,-67,-200,-62,-200,-200,-75,-75,-80,-87,-71,-80,-200,-200,-200,-200,-88,-83,-73,-72,-200,-200,-200,-200,-200,-65,-69,-79,-200,-200,-200,-86,-74,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-83,-89,-200,-200,-200,-200,-200,-200,-200
1526465450280,-34,-39,-40,-49,-200,-61,-54,-43,-84,-54,-47,-48,-51,-55,-61,-58,-83,-55,-47,-62,-56,-62,-75,-67,-59,-57,-65,-63,-66,-77,-68,-71,-200,-69,-83,-61,-72,-75,-200,-62,-200,-200,-75,-74,-63,-84,-74,-52,-200,-200,-200,-200,-88,-83,-88,-72,-200,-200,-200,-200,-200,-62,-69,-79,-200,-200,-200,-86,-74,-200,-64,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-83,-89,-81,-200,-200,-200,-200,-200,-200
1526465453328,-29,-42,-36,-54,-200,-59,-50,-41,-84,-200,-45,-49,-64,-54,-63,-89,-200,-55,-52,-62,-62,-67,-72,-67,-53,-63,-65,-65,-68,-200,-71,-73,-200,-71,-81,-63,-200,-72,-200,-64,-200,-200,-75,-64,-77,-84,-74,-75,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-68,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526465456373,-30,-38,-44,-52,-200,-59,-51,-38,-200,-52,-50,-48,-46,-60,-63,-89,-200,-55,-57,-63,-63,-62,-64,-200,-56,-64,-65,-63,-68,-200,-66,-65,-200,-79,-81,-63,-200,-72,-200,-60,-200,-200,-81,-78,-52,-200,-200,-78,-200,-200,-200,-200,-200,-200,-70,-200,-85,-80,-200,-200,-200,-68,-66,-200,-200,-200,-200,-200,-76,-200,-57,-200,-200,-200,-200,-200,-200,-80,-71,-200,-200,-200,-200,-200,-74,-200,-200,-80,-81,-200,-200,-200,-200,-200
1526465459410,-30,-38,-45,-51,-200,-59,-51,-43,-200,-52,-51,-48,-45,-53,-59,-89,-86,-55,-54,-71,-56,-62,-56,-200,-53,-64,-65,-53,-68,-200,-71,-63,-200,-74,-81,-63,-76,-72,-200,-71,-200,-200,-71,-78,-82,-87,-200,-81,-200,-200,-200,-200,-200,-200,-70,-200,-85,-80,-200,-200,-200,-68,-66,-200,-200,-200,-200,-200,-76,-200,-57,-200,-200,-200,-200,-200,-200,-80,-71,-200,-200,-200,-200,-200,-74,-200,-200,-80,-81,-200,-200,-200,-200,-200
1526465462480,-31,-37,-57,-51,-200,-57,-49,-43,-200,-57,-50,-46,-50,-55,-59,-54,-86,-60,-57,-67,-59,-63,-56,-200,-55,-69,-74,-65,-200,-200,-69,-63,-200,-74,-200,-55,-76,-71,-200,-71,-200,-78,-70,-77,-76,-87,-200,-76,-200,-200,-200,-200,-200,-200,-83,-200,-200,-78,-200,-200,-200,-200,-80,-80,-200,-200,-200,-200,-200,-74,-69,-200,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200,-200,-88,-200,-200,-200,-200
1526465465491,-33,-41,-45,-50,-200,-57,-51,-48,-200,-57,-59,-44,-57,-54,-64,-54,-86,-58,-57,-67,-56,-60,-56,-71,-57,-69,-74,-51,-200,-70,-68,-63,-200,-74,-75,-79,-69,-66,-200,-63,-200,-68,-67,-76,-59,-90,-200,-69,-200,-200,-86,-200,-200,-200,-83,-73,-200,-78,-200,-200,-200,-200,-63,-80,-200,-83,-200,-200,-200,-74,-69,-200,-84,-200,-200,-200,-82,-200,-200,-200,-82,-200,-200,-200,-82,-86,-200,-73,-200,-88,-78,-200,-200,-200
1526465468544,-28,-38,-42,-51,-200,-62,-52,-41,-200,-51,-49,-45,-49,-56,-64,-56,-200,-59,-57,-200,-53,-66,-61,-71,-56,-200,-200,-60,-200,-70,-69,-68,-200,-63,-75,-79,-72,-67,-200,-63,-83,-68,-72,-75,-60,-90,-200,-76,-200,-200,-86,-200,-200,-200,-78,-73,-200,-200,-200,-200,-200,-200,-64,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-82,-200,-200,-200,-200,-200,-200,-73,-200,-200,-78,-200,-200,-200
1526465471607,-31,-38,-40,-54,-200,-62,-58,-42,-82,-51,-47,-46,-50,-54,-60,-64,-82,-64,-53,-59,-53,-66,-70,-200,-57,-63,-71,-63,-200,-200,-72,-66,-200,-65,-200,-69,-71,-68,-200,-58,-83,-200,-69,-74,-82,-200,-200,-73,-83,-200,-84,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-85,-200,-200,-200,-200,-66,-79,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-73,-77,-91
1526465474647,-34,-34,-38,-88,-200,-200,-55,-38,-88,-57,-46,-47,-54,-65,-57,-51,-86,-66,-54,-58,-54,-69,-62,-200,-57,-69,-75,-62,-67,-70,-68,-75,-200,-65,-200,-68,-71,-67,-200,-59,-200,-200,-69,-68,-55,-200,-200,-80,-83,-200,-84,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-85,-200,-200,-200,-200,-64,-79,-200,-87,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-84,-200,-72,-200,-200,-79,-73,-77,-91
1526465477661,-31,-38,-44,-52,-62,-56,-55,-40,-88,-54,-44,-46,-53,-54,-61,-48,-86,-74,-57,-58,-53,-69,-73,-200,-58,-69,-69,-55,-67,-70,-69,-74,-200,-200,-200,-68,-75,-73,-200,-58,-200,-200,-74,-77,-78,-87,-200,-81,-200,-200,-200,-200,-200,-83,-68,-200,-200,-200,-200,-200,-200,-62,-65,-200,-200,-200,-200,-200,-84,-200,-64,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-79,-200,-200,-200
1526465480727,-31,-34,-42,-86,-62,-55,-59,-38,-88,-55,-46,-44,-57,-58,-58,-52,-86,-58,-56,-58,-53,-68,-64,-200,-58,-68,-69,-63,-70,-70,-73,-74,-200,-200,-200,-68,-75,-73,-78,-58,-200,-200,-68,-74,-78,-87,-200,-84,-200,-200,-200,-200,-200,-83,-68,-200,-200,-200,-200,-200,-200,-62,-64,-200,-200,-200,-200,-200,-84,-200,-64,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-72,-200,-200,-79,-200,-200,-200
