,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,NETWORK,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443563158,-37,-37,-43,-48,-52,-55,-56,-56,-56,-59,-73,-63,-55,-61,-72,-67,-200,-72,-67,-62,-67,-200,-64,-69,-63,-200,-87,-78,-76,-200,-81,-200,-74,-65,-80,-200,-200,-86,-200,-83,-76,-88,-64,-77,-80,-80,-89,-200,-200,-82,-84,-200,-200,-79,-79,-86,-88,-200,-78,-200,-87,-200,-200,-200,-85,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526443566215,-29,-37,-43,-49,-48,-55,-69,-55,-56,-59,-67,-60,-55,-62,-77,-67,-68,-72,-67,-62,-200,-200,-64,-68,-63,-200,-200,-55,-200,-77,-80,-200,-74,-66,-80,-200,-200,-200,-200,-200,-76,-88,-64,-77,-200,-79,-200,-200,-200,-82,-200,-200,-200,-200,-79,-82,-200,-80,-200,-200,-85,-200,-200,-200,-83,-85,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526443569265,-30,-37,-42,-54,-48,-55,-52,-54,-55,-59,-67,-66,-53,-60,-72,-57,-65,-200,-200,-63,-69,-81,-65,-69,-77,-200,-200,-77,-78,-77,-79,-86,-73,-65,-78,-200,-200,-85,-200,-200,-200,-200,-66,-75,-200,-79,-200,-200,-200,-200,-200,-200,-77,-200,-92,-82,-200,-75,-77,-200,-85,-200,-200,-200,-83,-85,-78,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526443572303,-37,-40,-44,-72,-51,-55,-52,-57,-57,-58,-200,-62,-56,-60,-83,-56,-66,-62,-67,-70,-67,-81,-65,-69,-69,-200,-200,-77,-78,-200,-80,-86,-74,-67,-81,-200,-200,-85,-200,-83,-200,-200,-66,-75,-78,-80,-200,-200,-80,-200,-200,-200,-76,-200,-92,-200,-200,-74,-77,-200,-200,-85,-200,-200,-200,-200,-78,-200,-200,-87,-88,-89,-200,-200,-200,-200,-200
1526443575365,-29,-61,-43,-49,-52,-56,-55,-55,-57,-57,-75,-63,-60,-62,-83,-57,-66,-70,-67,-70,-76,-81,-65,-69,-65,-200,-88,-56,-78,-77,-60,-86,-74,-67,-79,-200,-200,-92,-200,-90,-76,-56,-65,-75,-89,-81,-91,-200,-80,-83,-83,-86,-76,-200,-83,-200,-93,-74,-77,-200,-200,-86,-200,-200,-200,-200,-77,-200,-200,-87,-88,-89,-92,-200,-200,-200,-200
1526443578416,-30,-37,-43,-79,-79,-56,-55,-55,-55,-58,-74,-65,-54,-62,-68,-57,-66,-62,-67,-71,-63,-200,-65,-68,-64,-79,-88,-83,-77,-77,-74,-200,-73,-67,-79,-200,-200,-92,-200,-90,-76,-56,-65,-200,-80,-81,-91,-200,-80,-82,-83,-86,-76,-200,-83,-200,-93,-74,-200,-84,-200,-86,-200,-200,-200,-200,-77,-200,-200,-200,-88,-89,-92,-200,-200,-200,-200
1526443581476,-29,-37,-43,-51,-51,-56,-55,-200,-56,-58,-71,-61,-53,-61,-68,-57,-200,-70,-200,-65,-63,-200,-200,-68,-66,-79,-200,-78,-77,-200,-62,-200,-71,-62,-79,-200,-200,-200,-200,-200,-76,-200,-200,-79,-80,-79,-200,-200,-200,-82,-200,-200,-200,-84,-200,-200,-200,-200,-75,-84,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443584535,-30,-36,-44,-53,-48,-56,-67,-54,-56,-59,-68,-65,-54,-48,-66,-58,-200,-62,-200,-60,-65,-200,-65,-69,-66,-200,-86,-81,-75,-200,-61,-76,-59,-67,-79,-200,-200,-200,-200,-200,-68,-200,-68,-69,-200,-78,-200,-200,-200,-200,-200,-200,-78,-84,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-84,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443587544,-30,-37,-41,-54,-47,-56,-57,-49,-55,-57,-68,-62,-53,-62,-69,-56,-79,-62,-200,-63,-79,-80,-52,-69,-63,-200,-88,-77,-75,-200,-81,-76,-74,-67,-79,-200,-200,-200,-200,-200,-68,-200,-65,-71,-200,-78,-200,-200,-200,-81,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443590577,-29,-36,-43,-53,-51,-50,-57,-57,-56,-58,-71,-65,-57,-61,-71,-56,-62,-69,-200,-64,-79,-80,-69,-68,-63,-200,-90,-77,-76,-76,-74,-86,-74,-66,-77,-200,-200,-86,-86,-80,-200,-89,-68,-79,-88,-200,-200,-200,-200,-82,-83,-200,-200,-200,-85,-200,-86,-200,-200,-87,-91,-87,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526443593664,-29,-36,-43,-54,-52,-56,-59,-56,-56,-59,-77,-64,-56,-63,-73,-61,-66,-69,-67,-64,-70,-80,-68,-69,-63,-82,-90,-56,-77,-76,-80,-89,-74,-66,-79,-200,-200,-85,-84,-80,-77,-89,-68,-70,-78,-80,-90,-200,-200,-82,-83,-200,-200,-200,-82,-200,-85,-78,-79,-87,-86,-87,-200,-200,-84,-88,-78,-85,-200,-200,-200,-200,-200,-89,-82,-88,-93
1526443596680,-30,-37,-44,-53,-48,-55,-49,-56,-56,-59,-77,-59,-54,-62,-73,-57,-65,-60,-67,-70,-69,-200,-68,-69,-63,-82,-200,-77,-77,-76,-79,-89,-74,-66,-79,-200,-200,-85,-84,-81,-77,-200,-200,-68,-78,-80,-90,-200,-200,-200,-200,-200,-78,-200,-82,-200,-85,-78,-79,-200,-86,-200,-200,-200,-84,-83,-76,-85,-200,-200,-200,-200,-200,-200,-82,-88,-93
