,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8
1526442938391,-36,-47,-37,-52,-70,-55,-65,-57,-58,-59,-91,-64,-55,-73,-75,-66,-65,-70,-75,-77,-76,-72,-79,-200,-70,-80,-82,-79,-77,-50,-68,-80,-200,-76,-200,-200,-200,-200,-200,-200,-200,-59,-68,-200,-67,-76,-79,-81,-74,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442941437,-37,-44,-39,-51,-70,-58,-64,-55,-58,-57,-66,-65,-57,-75,-76,-72,-65,-70,-75,-75,-68,-72,-80,-200,-70,-80,-200,-83,-77,-53,-70,-80,-200,-76,-200,-80,-200,-87,-200,-200,-200,-60,-68,-84,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-83,-200,-200,-200,-81,-200,-85,-86,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442944484,-38,-44,-38,-53,-89,-55,-64,-48,-59,-56,-66,-61,-56,-53,-76,-72,-64,-75,-78,-75,-68,-66,-81,-200,-69,-200,-77,-85,-200,-48,-53,-200,-200,-200,-200,-81,-83,-87,-200,-85,-200,-52,-68,-84,-200,-200,-79,-200,-73,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-77,-200,-200,-200,-90,-200,-83,-200,-200,-200,-200,-200,-200,-200,-78,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526442947527,-37,-42,-36,-52,-89,-57,-76,-47,-58,-56,-67,-61,-57,-52,-76,-66,-66,-71,-79,-79,-75,-68,-81,-200,-70,-80,-77,-86,-200,-68,-67,-200,-200,-200,-200,-81,-83,-87,-200,-83,-200,-60,-68,-84,-66,-75,-79,-200,-73,-200,-200,-200,-200,-200,-77,-200,-200,-200,-81,-200,-76,-200,-86,-200,-90,-82,-83,-200,-200,-200,-79,-200,-200,-200,-80,-86,-90,-86,-90,-200,-200,-200,-200,-200,-200
1526442950584,-38,-45,-38,-50,-71,-62,-65,-53,-58,-56,-67,-61,-57,-50,-200,-71,-63,-71,-80,-77,-75,-71,-81,-200,-71,-80,-200,-86,-200,-49,-69,-80,-200,-200,-200,-200,-200,-200,-86,-83,-200,-62,-68,-200,-66,-78,-80,-200,-200,-200,-200,-200,-200,-200,-74,-200,-80,-200,-81,-200,-76,-200,-86,-200,-200,-82,-83,-200,-89,-200,-79,-200,-83,-200,-80,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200
1526442953634,-37,-47,-36,-49,-66,-66,-68,-52,-59,-54,-72,-64,-56,-78,-200,-67,-66,-71,-77,-77,-73,-71,-82,-200,-75,-85,-200,-82,-78,-54,-78,-81,-86,-77,-200,-82,-200,-200,-86,-89,-200,-62,-70,-200,-70,-78,-80,-200,-200,-200,-87,-200,-200,-200,-77,-200,-80,-200,-200,-200,-200,-200,-84,-88,-200,-200,-84,-200,-88,-200,-200,-200,-85,-200,-81,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200
1526442956696,-37,-46,-36,-49,-56,-67,-64,-53,-59,-54,-71,-68,-58,-50,-86,-70,-63,-71,-67,-200,-73,-87,-82,-200,-74,-85,-88,-85,-78,-48,-72,-81,-86,-77,-200,-82,-200,-200,-200,-89,-200,-62,-70,-200,-70,-200,-200,-200,-76,-200,-87,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-84,-88,-83,-200,-86,-200,-88,-200,-79,-200,-85,-200,-81,-86,-200,-200,-200,-84,-88,-200,-200,-200,-200
1526442959755,-37,-46,-42,-49,-76,-65,-64,-54,-59,-56,-71,-67,-57,-49,-86,-70,-63,-71,-75,-200,-74,-87,-81,-200,-73,-85,-88,-86,-78,-49,-49,-81,-86,-79,-85,-82,-200,-200,-87,-89,-200,-62,-69,-200,-70,-200,-200,-200,-84,-79,-87,-200,-200,-200,-79,-200,-200,-83,-200,-200,-82,-200,-84,-88,-83,-80,-87,-200,-88,-200,-79,-200,-85,-200,-79,-86,-200,-200,-200,-84,-88,-200,-200,-200,-200
1526442962802,-33,-42,-39,-55,-76,-57,-62,-42,-51,-58,-61,-58,-58,-66,-73,-70,-63,-74,-85,-200,-73,-67,-83,-200,-71,-200,-69,-83,-77,-52,-73,-76,-200,-79,-85,-200,-200,-200,-87,-200,-200,-65,-69,-200,-200,-200,-85,-200,-84,-79,-200,-200,-200,-200,-79,-200,-200,-83,-200,-200,-82,-200,-200,-200,-83,-80,-87,-200,-200,-200,-77,-200,-84,-200,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442965806,-38,-50,-34,-54,-62,-65,-57,-46,-55,-60,-61,-61,-63,-70,-72,-69,-67,-73,-80,-200,-73,-61,-84,-200,-72,-80,-69,-84,-77,-49,-71,-76,-85,-200,-200,-200,-200,-200,-85,-85,-200,-68,-72,-78,-75,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-77,-200,-84,-200,-79,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526442968867,-33,-51,-43,-52,-64,-56,-67,-44,-56,-74,-71,-59,-56,-70,-75,-68,-67,-71,-85,-72,-200,-61,-82,-200,-71,-80,-87,-84,-77,-47,-71,-200,-85,-200,-200,-200,-200,-85,-89,-85,-200,-66,-77,-75,-67,-77,-78,-200,-200,-200,-89,-200,-200,-200,-80,-80,-200,-91,-200,-200,-90,-200,-200,-200,-80,-200,-83,-200,-90,-200,-200,-200,-200,-89,-79,-92,-200,-200,-200,-200,-200,-87,-86,-93,-200
1526442971917,-33,-51,-35,-52,-73,-56,-66,-43,-54,-59,-73,-58,-54,-72,-75,-65,-67,-77,-80,-75,-200,-68,-84,-200,-71,-200,-87,-83,-77,-47,-52,-200,-200,-200,-200,-200,-200,-85,-89,-200,-200,-64,-73,-75,-67,-77,-75,-200,-200,-200,-89,-200,-200,-200,-80,-80,-79,-91,-87,-200,-76,-200,-200,-200,-80,-200,-82,-200,-90,-200,-79,-82,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-86,-93,-85
