,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443930174,-35,-49,-40,-56,-57,-78,-51,-49,-49,-70,-62,-53,-63,-53,-56,-55,-56,-62,-75,-76,-66,-76,-57,-79,-75,-84,-73,-200,-81,-78,-86,-79,-200,-200,-200,-77,-89,-85,-200,-200,-200,-62,-200,-68,-200,-200,-200,-200,-77,-200,-200,-77,-90,-200,-85,-200,-200,-200,-82,-74,-77,-200,-78,-200,-86,-88,-90,-93,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443933235,-37,-46,-45,-55,-56,-78,-51,-50,-50,-200,-64,-52,-62,-55,-55,-62,-62,-50,-75,-76,-67,-200,-57,-79,-77,-84,-62,-200,-81,-200,-200,-78,-71,-200,-200,-77,-200,-85,-200,-200,-200,-62,-200,-65,-200,-200,-200,-200,-77,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-78,-200,-200,-200,-90,-86,-78,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443936248,-38,-47,-53,-54,-54,-78,-52,-49,-51,-200,-58,-54,-62,-86,-55,-58,-64,-62,-75,-69,-70,-200,-55,-76,-76,-84,-74,-200,-83,-200,-200,-76,-71,-200,-200,-77,-200,-86,-200,-200,-200,-62,-200,-67,-200,-200,-200,-200,-77,-200,-86,-77,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-85,-86,-89,-200,-90,-86,-78,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443939297,-39,-45,-50,-54,-57,-78,-54,-47,-51,-70,-64,-54,-66,-59,-55,-56,-64,-62,-80,-69,-75,-70,-63,-80,-74,-200,-68,-200,-76,-200,-200,-77,-200,-200,-200,-72,-200,-86,-200,-200,-200,-200,-81,-69,-200,-200,-200,-200,-200,-90,-78,-200,-200,-200,-81,-200,-200,-200,-87,-72,-200,-200,-86,-86,-89,-200,-200,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443942359,-36,-40,-46,-53,-55,-78,-53,-47,-50,-70,-58,-54,-66,-57,-80,-60,-56,-62,-80,-200,-69,-70,-59,-81,-78,-200,-70,-200,-76,-72,-200,-77,-200,-200,-200,-72,-200,-84,-200,-89,-200,-200,-81,-73,-200,-200,-200,-200,-200,-90,-78,-79,-200,-200,-81,-76,-200,-81,-79,-79,-200,-200,-88,-200,-200,-200,-200,-86,-200,-86,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526443945432,-38,-45,-53,-54,-59,-79,-52,-47,-51,-63,-64,-55,-60,-78,-56,-59,-67,-62,-73,-200,-69,-75,-59,-73,-61,-80,-68,-200,-86,-72,-200,-75,-74,-200,-200,-72,-200,-84,-200,-89,-200,-200,-81,-73,-200,-200,-200,-200,-200,-90,-78,-79,-86,-200,-83,-76,-200,-81,-80,-88,-200,-200,-88,-200,-200,-200,-200,-86,-200,-86,-86,-88,-89,-80,-89,-200,-200,-200,-200,-200
1526443948477,-50,-41,-44,-51,-50,-77,-56,-53,-53,-69,-56,-66,-67,-58,-57,-66,-64,-62,-68,-61,-200,-75,-66,-72,-81,-80,-68,-200,-76,-77,-200,-82,-77,-200,-200,-200,-200,-82,-200,-200,-200,-62,-68,-72,-200,-200,-200,-200,-77,-200,-200,-200,-86,-200,-83,-75,-200,-200,-80,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-89,-83,-200,-200,-200,-200
1526443951526,-36,-48,-41,-54,-50,-60,-56,-52,-60,-62,-62,-66,-62,-62,-56,-60,-59,-57,-72,-76,-72,-200,-62,-72,-80,-81,-70,-200,-76,-81,-200,-78,-77,-200,-200,-200,-200,-85,-200,-200,-200,-55,-68,-71,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-75,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-83,-83,-90,-200,-200
1526443954543,-37,-43,-46,-51,-52,-76,-55,-46,-51,-62,-61,-57,-64,-63,-56,-58,-58,-61,-71,-76,-71,-200,-61,-74,-75,-81,-73,-200,-200,-75,-200,-79,-73,-87,-200,-77,-87,-84,-200,-200,-200,-65,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-84,-200,-84,-89,-89,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-90,-200,-200
1526443957597,-38,-44,-44,-53,-56,-76,-55,-48,-51,-200,-67,-58,-64,-62,-56,-58,-58,-61,-71,-200,-73,-200,-61,-66,-75,-200,-71,-200,-200,-75,-200,-78,-73,-87,-200,-71,-87,-84,-200,-200,-91,-65,-70,-70,-200,-200,-200,-88,-85,-200,-200,-79,-200,-200,-87,-72,-200,-200,-82,-200,-84,-89,-89,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-84
1526443960651,-38,-40,-49,-54,-52,-76,-54,-46,-51,-62,-67,-54,-60,-65,-53,-58,-67,-68,-70,-69,-70,-200,-61,-79,-62,-200,-70,-200,-200,-75,-200,-54,-73,-87,-200,-73,-87,-84,-200,-200,-91,-65,-70,-69,-200,-200,-200,-88,-85,-200,-200,-79,-200,-200,-79,-72,-200,-200,-82,-71,-84,-89,-89,-200,-200,-200,-83,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-83,-84
1526443963685,-40,-39,-48,-54,-56,-78,-54,-47,-52,-62,-60,-52,-62,-64,-53,-56,-72,-63,-69,-67,-70,-200,-62,-79,-76,-200,-70,-200,-200,-200,-200,-78,-75,-200,-200,-85,-200,-86,-200,-200,-200,-65,-93,-72,-200,-200,-200,-200,-200,-81,-200,-200,-92,-200,-79,-75,-200,-200,-200,-71,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
