,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro
1526443023427,-28,-32,-36,-55,-55,-49,-52,-50,-57,-58,-56,-64,-64,-75,-54,-63,-72,-54,-68,-74,-84,-59,-63,-72,-75,-76,-200,-77,-57,-200,-200,-83,-91,-77,-200,-200,-77,-200,-80,-89,-200,-200,-200,-79,-200,-200,-85,-200,-86,-89,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200,-200,-200,-88,-56,-200,-78,-81,-74,-85,-92,-92,-91,-200,-200,-200
1526443026485,-34,-30,-40,-52,-54,-53,-54,-51,-56,-58,-57,-70,-63,-71,-54,-61,-71,-49,-200,-73,-76,-79,-200,-69,-200,-71,-200,-77,-59,-71,-86,-82,-200,-76,-200,-200,-77,-200,-82,-200,-83,-78,-200,-76,-200,-200,-85,-81,-79,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526443029536,-35,-30,-39,-53,-54,-53,-58,-53,-55,-62,-56,-63,-62,-71,-54,-60,-70,-52,-75,-73,-76,-65,-61,-71,-73,-71,-71,-200,-58,-71,-86,-55,-200,-75,-200,-200,-200,-200,-82,-200,-83,-78,-200,-76,-200,-200,-70,-81,-79,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-87,-200,-200,-77,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526443032546,-36,-31,-39,-52,-54,-68,-54,-52,-55,-58,-58,-64,-62,-69,-68,-60,-71,-49,-200,-75,-71,-66,-49,-68,-84,-74,-200,-80,-60,-200,-200,-81,-88,-76,-200,-200,-89,-86,-82,-200,-91,-200,-200,-200,-91,-200,-200,-200,-81,-88,-89,-200,-200,-200,-85,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-88,-200,-200,-200,-200
1526443035594,-36,-32,-39,-53,-80,-54,-53,-52,-55,-61,-57,-62,-62,-69,-53,-60,-71,-49,-200,-70,-71,-69,-49,-68,-71,-74,-73,-80,-61,-200,-200,-81,-78,-77,-74,-200,-89,-87,-82,-200,-91,-200,-200,-200,-91,-200,-71,-200,-81,-88,-89,-200,-200,-200,-85,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-88,-200,-200,-200,-200
1526443038656,-35,-32,-53,-52,-54,-54,-68,-52,-55,-62,-57,-63,-76,-69,-55,-60,-71,-51,-200,-85,-66,-79,-75,-71,-73,-72,-67,-80,-83,-200,-92,-81,-78,-77,-74,-200,-89,-87,-81,-200,-91,-200,-200,-87,-91,-88,-71,-91,-89,-77,-89,-200,-200,-200,-85,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-77,-200,-92,-200,-200,-80,-200,-200,-200,-200
1526443041700,-37,-31,-39,-53,-80,-53,-53,-50,-55,-62,-55,-63,-62,-68,-53,-60,-72,-49,-77,-73,-66,-65,-59,-67,-72,-72,-67,-200,-62,-200,-92,-81,-78,-55,-200,-200,-200,-200,-81,-200,-200,-200,-200,-87,-200,-88,-63,-91,-89,-76,-200,-200,-200,-200,-200,-200,-200,-81,-200,-88,-200,-200,-86,-200,-200,-77,-200,-92,-200,-200,-80,-200,-200,-200,-200
1526443044706,-36,-30,-39,-52,-80,-54,-51,-53,-54,-62,-46,-62,-62,-68,-54,-60,-71,-51,-77,-73,-68,-65,-60,-68,-73,-71,-72,-200,-69,-200,-92,-82,-78,-76,-70,-200,-200,-200,-82,-200,-200,-77,-200,-87,-84,-88,-66,-91,-89,-76,-200,-200,-200,-200,-200,-85,-200,-81,-200,-88,-200,-200,-86,-200,-200,-77,-200,-92,-200,-89,-80,-200,-200,-88,-200
1526443047749,-36,-31,-39,-52,-80,-53,-49,-52,-54,-60,-46,-62,-59,-68,-54,-60,-63,-50,-200,-200,-68,-65,-60,-71,-73,-71,-72,-76,-62,-200,-200,-77,-200,-76,-76,-200,-200,-87,-77,-200,-200,-77,-200,-200,-84,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-80,-200,-200,-88,-200
1526443050785,-27,-30,-42,-55,-63,-53,-50,-51,-55,-64,-59,-63,-64,-68,-51,-55,-70,-52,-200,-76,-200,-63,-60,-71,-70,-76,-72,-76,-58,-200,-200,-84,-77,-77,-76,-200,-77,-85,-82,-200,-200,-89,-200,-200,-200,-200,-66,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-83,-200,-200
1526443053834,-26,-29,-34,-58,-58,-50,-48,-51,-55,-84,-59,-73,-66,-200,-69,-73,-80,-52,-200,-73,-77,-66,-71,-68,-81,-82,-89,-200,-62,-200,-200,-80,-77,-55,-200,-200,-89,-85,-81,-200,-88,-89,-200,-88,-200,-82,-70,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-92,-200,-79,-200,-83,-200,-89
