,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309
1526457762002,-35,-41,-60,-53,-53,-38,-67,-57,-59,-60,-69,-59,-59,-59,-79,-65,-56,-77,-76,-72,-67,-82,-83,-62,-79,-65,-67,-58,-76,-83,-70,-83,-80,-81,-84,-72,-80,-88,-80,-75,-85,-200,-77,-90,-84,-89,-89,-82,-200,-92,-87,-82,-82,-89,-79,-82,-92,-200,-94,-82,-200,-92,-89,-200,-85,-82,-89,-89,-200,-89,-200,-200,-82,-83,-200,-200,-81,-200,-85,-87,-200,-200,-83,-89,-200,-200,-200,-96,-94,-97,-94,-98,-200,-91,-94,-200,-80,-84,-86,-92,-96,-75,-94,-87,-96,-200,-200,-200,-200,-200,-200,-200
1526457765058,-33,-37,-60,-57,-53,-42,-64,-54,-62,-62,-71,-61,-61,-62,-77,-56,-56,-68,-78,-63,-61,-84,-80,-61,-79,-65,-67,-58,-76,-87,-69,-85,-80,-81,-85,-78,-84,-90,-79,-80,-85,-200,-77,-90,-88,-90,-83,-82,-200,-91,-89,-82,-82,-89,-79,-79,-200,-200,-93,-89,-200,-92,-89,-200,-90,-80,-90,-88,-200,-90,-200,-91,-82,-79,-200,-200,-200,-200,-85,-200,-200,-200,-89,-89,-200,-200,-200,-94,-94,-97,-200,-98,-200,-91,-200,-76,-83,-84,-80,-92,-200,-75,-94,-87,-96,-96,-200,-200,-200,-200,-200,-200
1526457768109,-40,-40,-62,-48,-54,-35,-66,-57,-62,-57,-64,-65,-58,-62,-76,-65,-61,-73,-67,-75,-73,-79,-80,-69,-80,-68,-66,-63,-76,-85,-69,-85,-80,-81,-85,-77,-76,-88,-79,-83,-86,-84,-75,-200,-88,-92,-83,-82,-200,-91,-85,-79,-82,-200,-79,-79,-200,-200,-93,-89,-200,-94,-89,-200,-92,-83,-93,-88,-200,-90,-200,-91,-81,-79,-200,-200,-91,-200,-85,-82,-200,-200,-89,-89,-200,-200,-200,-94,-200,-200,-200,-200,-200,-91,-200,-76,-81,-84,-80,-92,-200,-200,-200,-87,-96,-96,-200,-200,-200,-200,-200,-200
1526457771159,-34,-45,-68,-54,-51,-38,-65,-56,-66,-52,-64,-63,-59,-65,-79,-56,-64,-67,-73,-73,-66,-77,-78,-70,-80,-66,-68,-61,-75,-87,-75,-86,-200,-83,-85,-79,-86,-87,-79,-83,-86,-84,-74,-91,-84,-88,-83,-200,-200,-91,-86,-79,-80,-200,-79,-78,-200,-96,-94,-89,-200,-94,-89,-96,-91,-83,-94,-88,-90,-89,-200,-91,-81,-79,-200,-200,-91,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-76,-81,-86,-80,-95,-200,-200,-200,-200,-200,-98,-96,-98,-200,-200,-200,-200
1526457774213,-39,-43,-65,-57,-55,-45,-69,-56,-69,-57,-60,-50,-59,-71,-79,-73,-60,-67,-64,-71,-74,-77,-78,-78,-80,-65,-67,-67,-81,-85,-75,-77,-200,-81,-85,-72,-81,-93,-77,-78,-78,-88,-72,-87,-84,-89,-88,-81,-82,-93,-86,-79,-80,-200,-200,-82,-200,-96,-94,-200,-200,-94,-89,-96,-79,-83,-94,-200,-90,-89,-200,-200,-81,-200,-200,-200,-91,-200,-83,-82,-200,-200,-84,-200,-200,-200,-95,-93,-200,-200,-200,-200,-200,-86,-200,-200,-81,-86,-200,-95,-200,-200,-200,-200,-200,-98,-96,-96,-84,-200,-200,-200
1526457777264,-36,-43,-59,-56,-59,-39,-72,-59,-63,-61,-59,-54,-57,-69,-81,-64,-55,-70,-68,-73,-74,-78,-78,-72,-80,-68,-71,-63,-78,-88,-71,-77,-200,-85,-90,-72,-80,-92,-75,-79,-80,-88,-74,-88,-84,-89,-88,-84,-83,-93,-86,-200,-80,-200,-200,-85,-200,-96,-92,-200,-200,-200,-200,-96,-81,-83,-89,-88,-90,-89,-200,-83,-83,-79,-200,-200,-200,-200,-83,-200,-89,-200,-84,-200,-200,-200,-95,-91,-200,-200,-200,-200,-200,-86,-200,-200,-200,-81,-83,-95,-200,-200,-200,-200,-200,-98,-96,-96,-86,-93,-96,-200
1526457780312,-36,-43,-60,-56,-59,-39,-63,-54,-66,-61,-59,-60,-57,-62,-81,-59,-55,-69,-74,-64,-66,-78,-86,-69,-200,-65,-71,-59,-78,-87,-75,-82,-200,-81,-83,-72,-83,-91,-76,-80,-83,-88,-78,-95,-88,-89,-88,-84,-86,-89,-87,-84,-200,-200,-200,-80,-200,-200,-92,-200,-200,-200,-200,-92,-88,-83,-89,-89,-200,-89,-200,-83,-83,-79,-200,-200,-200,-96,-83,-82,-89,-89,-200,-94,-200,-200,-95,-93,-200,-200,-200,-200,-200,-86,-200,-200,-200,-81,-83,-200,-200,-82,-200,-200,-200,-200,-200,-96,-88,-97,-96,-94
1526457783361,-38,-43,-59,-59,-62,-38,-71,-58,-62,-59,-59,-56,-58,-71,-80,-68,-54,-72,-64,-71,-74,-80,-86,-71,-82,-62,-71,-59,-78,-81,-65,-80,-200,-82,-75,-200,-82,-92,-76,-83,-79,-88,-70,-95,-86,-91,-89,-85,-86,-89,-87,-86,-200,-90,-200,-80,-200,-200,-92,-200,-200,-96,-200,-92,-85,-200,-90,-89,-97,-89,-200,-89,-83,-79,-200,-200,-200,-96,-200,-71,-89,-89,-88,-94,-200,-200,-95,-93,-200,-200,-91,-200,-200,-200,-200,-77,-200,-82,-83,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-97,-96,-94
1526457786415,-32,-46,-62,-60,-61,-43,-70,-57,-63,-58,-58,-53,-58,-71,-78,-66,-62,-73,-66,-67,-74,-78,-86,-71,-82,-63,-69,-60,-79,-84,-70,-79,-200,-83,-75,-200,-81,-89,-78,-82,-82,-88,-73,-88,-89,-90,-83,-81,-84,-92,-87,-85,-78,-90,-81,-80,-93,-91,-200,-200,-94,-96,-89,-92,-89,-85,-91,-89,-94,-89,-200,-80,-81,-200,-200,-200,-79,-96,-200,-71,-89,-90,-78,-94,-200,-200,-95,-93,-200,-200,-91,-200,-200,-200,-200,-80,-83,-83,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-97,-200,-94
1526457789465,-38,-43,-61,-57,-62,-35,-71,-57,-59,-58,-58,-52,-57,-67,-78,-70,-60,-71,-66,-73,-71,-81,-86,-68,-82,-61,-70,-61,-77,-80,-75,-80,-200,-82,-86,-200,-84,-87,-77,-83,-79,-88,-73,-89,-90,-93,-83,-81,-86,-92,-200,-90,-78,-88,-82,-78,-93,-91,-200,-200,-94,-91,-87,-200,-89,-85,-90,-89,-94,-89,-200,-80,-81,-200,-200,-200,-79,-200,-89,-71,-89,-90,-88,-200,-200,-200,-95,-97,-200,-200,-88,-200,-200,-200,-200,-80,-83,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-97,-200,-200
1526457792522,-40,-45,-58,-54,-60,-40,-70,-57,-68,-60,-56,-57,-65,-76,-77,-65,-63,-71,-64,-72,-73,-76,-81,-68,-82,-68,-65,-61,-84,-83,-75,-84,-200,-80,-90,-200,-84,-92,-77,-84,-78,-87,-71,-89,-87,-88,-85,-81,-83,-94,-87,-90,-78,-87,-82,-81,-95,-91,-200,-200,-94,-91,-87,-200,-89,-85,-88,-90,-94,-88,-200,-81,-81,-200,-200,-200,-79,-200,-88,-71,-89,-90,-88,-93,-200,-200,-95,-97,-200,-200,-88,-200,-200,-200,-200,-80,-83,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-94,-200,-200
1526457795577,-39,-45,-61,-54,-48,-43,-67,-57,-66,-63,-58,-59,-61,-72,-79,-62,-64,-71,-80,-75,-65,-77,-81,-77,-82,-62,-68,-60,-84,-80,-74,-74,-200,-82,-90,-200,-84,-84,-74,-83,-87,-87,-73,-89,-84,-88,-85,-80,-82,-93,-89,-90,-78,-87,-80,-83,-95,-89,-98,-200,-200,-93,-87,-95,-83,-84,-90,-90,-200,-88,-200,-81,-85,-200,-200,-200,-78,-200,-91,-71,-200,-91,-75,-93,-200,-200,-91,-95,-200,-200,-90,-200,-200,-200,-200,-200,-200,-81,-78,-95,-200,-80,-200,-85,-200,-200,-200,-95,-200,-94,-200,-200
