,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457529824,-36,-32,-47,-49,-49,-55,-67,-54,-56,-57,-58,-65,-63,-56,-59,-64,-65,-72,-67,-76,-70,-60,-69,-68,-71,-81,-72,-72,-79,-75,-76,-76,-78,-80,-200,-82,-79,-89,-83,-89,-80,-86,-86,-81,-89,-91,-93,-88,-86,-90,-200,-95,-92,-88,-92,-200,-200,-94,-96,-77,-200,-74,-200,-70,-200,-88,-200,-200,-85,-200,-96,-96,-94,-200,-88,-84,-94,-93,-200,-200,-200,-200,-94,-85,-90,-90,-89,-200,-200,-93,-98,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526457532870,-39,-38,-46,-57,-47,-54,-67,-54,-55,-54,-59,-67,-60,-55,-64,-56,-65,-75,-73,-76,-70,-58,-74,-68,-68,-83,-72,-72,-79,-73,-82,-76,-78,-84,-200,-80,-79,-89,-87,-89,-81,-86,-86,-200,-89,-200,-91,-85,-88,-90,-200,-95,-92,-89,-92,-200,-200,-94,-200,-77,-200,-76,-200,-70,-200,-200,-200,-200,-85,-200,-200,-96,-94,-200,-88,-83,-94,-93,-200,-200,-200,-200,-94,-85,-87,-90,-200,-92,-200,-95,-98,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526457535916,-38,-31,-48,-61,-48,-53,-67,-56,-57,-50,-54,-60,-65,-53,-61,-59,-68,-69,-68,-75,-72,-61,-58,-68,-68,-82,-81,-70,-74,-75,-79,-79,-78,-81,-200,-80,-79,-89,-83,-89,-88,-86,-86,-200,-89,-90,-86,-88,-87,-88,-200,-95,-92,-89,-92,-200,-200,-94,-200,-82,-200,-76,-200,-200,-200,-79,-200,-200,-89,-200,-92,-96,-94,-200,-89,-86,-94,-91,-200,-200,-200,-200,-93,-200,-87,-90,-200,-92,-200,-92,-200,-96,-97,-200,-200,-200,-200,-200,-200,-200
1526457538967,-34,-31,-44,-54,-53,-56,-67,-57,-55,-56,-58,-61,-54,-52,-56,-63,-67,-69,-70,-74,-73,-68,-71,-73,-68,-84,-75,-75,-74,-74,-80,-76,-79,-80,-200,-81,-81,-89,-83,-87,-83,-86,-84,-82,-200,-91,-84,-90,-88,-91,-200,-200,-92,-89,-200,-200,-96,-200,-200,-77,-200,-76,-90,-72,-200,-90,-200,-84,-82,-200,-93,-200,-93,-200,-90,-85,-200,-92,-96,-200,-200,-96,-93,-200,-88,-200,-200,-92,-200,-94,-99,-96,-97,-92,-200,-200,-200,-200,-200,-200
1526457542019,-37,-32,-49,-57,-49,-58,-67,-54,-58,-57,-57,-64,-55,-53,-60,-66,-67,-73,-67,-74,-71,-61,-73,-73,-68,-84,-68,-75,-80,-75,-79,-75,-78,-85,-200,-81,-81,-90,-83,-90,-79,-86,-82,-82,-200,-89,-87,-90,-89,-91,-96,-200,-93,-89,-88,-200,-96,-200,-200,-79,-200,-77,-90,-72,-200,-90,-200,-84,-84,-93,-93,-200,-94,-200,-90,-86,-94,-92,-96,-200,-200,-96,-93,-200,-87,-200,-89,-200,-200,-94,-99,-96,-97,-92,-93,-200,-200,-200,-200,-200
1526457545071,-44,-34,-52,-57,-53,-57,-200,-58,-57,-54,-56,-58,-60,-53,-63,-61,-67,-72,-67,-74,-71,-61,-71,-73,-70,-81,-80,-74,-80,-76,-76,-76,-77,-85,-200,-83,-81,-90,-81,-90,-85,-86,-85,-82,-86,-89,-87,-90,-88,-91,-96,-200,-93,-88,-90,-200,-96,-92,-200,-75,-68,-78,-87,-72,-200,-90,-200,-84,-83,-93,-92,-200,-97,-96,-90,-84,-94,-92,-96,-200,-200,-96,-200,-200,-89,-200,-89,-200,-200,-94,-99,-96,-200,-92,-93,-200,-200,-200,-200,-200
1526457548122,-45,-32,-50,-55,-48,-56,-200,-57,-57,-58,-55,-61,-57,-53,-60,-62,-67,-68,-68,-75,-74,-58,-70,-71,-68,-79,-75,-74,-73,-76,-78,-74,-74,-85,-200,-83,-81,-90,-85,-92,-88,-86,-84,-200,-85,-87,-82,-85,-88,-90,-96,-90,-93,-90,-89,-200,-200,-92,-200,-75,-68,-78,-87,-75,-200,-200,-200,-200,-89,-93,-92,-200,-97,-96,-200,-89,-94,-90,-200,-200,-200,-200,-94,-88,-89,-200,-89,-200,-200,-91,-200,-95,-200,-200,-93,-200,-200,-200,-200,-200
1526457551175,-43,-27,-46,-56,-55,-53,-63,-57,-61,-52,-55,-66,-55,-55,-59,-61,-68,-68,-67,-76,-72,-60,-74,-71,-71,-83,-77,-70,-78,-75,-75,-74,-76,-81,-200,-83,-81,-90,-82,-88,-87,-86,-83,-82,-86,-87,-80,-86,-96,-90,-83,-93,-93,-89,-90,-200,-200,-92,-200,-84,-68,-73,-81,-75,-200,-200,-200,-200,-84,-93,-91,-200,-97,-96,-89,-83,-200,-94,-200,-200,-200,-200,-93,-88,-89,-200,-200,-200,-200,-90,-200,-95,-96,-88,-200,-94,-96,-200,-200,-200
1526457554227,-44,-32,-49,-61,-62,-52,-63,-58,-60,-59,-58,-68,-51,-53,-57,-62,-67,-72,-67,-69,-78,-62,-76,-71,-73,-81,-74,-70,-73,-75,-81,-78,-76,-85,-200,-87,-83,-85,-83,-89,-87,-90,-86,-81,-86,-87,-78,-86,-90,-92,-83,-93,-93,-89,-90,-200,-200,-200,-200,-77,-200,-73,-81,-75,-200,-85,-200,-200,-84,-93,-95,-96,-200,-200,-89,-88,-95,-94,-98,-200,-200,-93,-96,-87,-200,-200,-200,-200,-200,-94,-200,-95,-96,-89,-200,-94,-96,-87,-200,-200
1526457557287,-44,-35,-51,-58,-53,-56,-63,-62,-53,-62,-60,-68,-49,-62,-61,-59,-66,-67,-64,-71,-77,-62,-75,-71,-80,-81,-68,-70,-69,-77,-82,-78,-79,-85,-200,-87,-83,-86,-82,-88,-80,-90,-86,-81,-78,-87,-81,-86,-88,-92,-83,-93,-93,-83,-92,-200,-200,-200,-200,-78,-200,-77,-81,-75,-200,-85,-200,-200,-84,-93,-89,-96,-200,-200,-89,-88,-95,-94,-98,-200,-200,-93,-96,-83,-200,-200,-200,-200,-200,-94,-200,-97,-96,-89,-200,-94,-96,-87,-200,-200
1526457560337,-46,-34,-51,-52,-59,-60,-200,-61,-55,-59,-74,-64,-50,-56,-63,-61,-71,-68,-63,-68,-76,-59,-76,-70,-83,-78,-66,-69,-71,-78,-83,-78,-80,-85,-200,-88,-81,-82,-82,-88,-81,-90,-87,-81,-85,-87,-81,-86,-87,-92,-200,-200,-93,-83,-92,-200,-200,-200,-200,-76,-200,-82,-83,-74,-200,-85,-200,-200,-200,-200,-89,-96,-95,-200,-200,-94,-95,-200,-95,-200,-200,-93,-95,-83,-200,-90,-200,-200,-200,-94,-200,-97,-200,-89,-200,-200,-200,-89,-96,-200
1526457563390,-41,-36,-48,-56,-54,-57,-200,-64,-54,-60,-68,-65,-51,-60,-57,-60,-66,-72,-62,-69,-73,-60,-74,-70,-84,-82,-66,-69,-71,-78,-83,-76,-77,-83,-79,-88,-84,-84,-82,-88,-81,-200,-88,-200,-83,-200,-83,-88,-86,-200,-200,-200,-93,-89,-92,-200,-200,-200,-200,-78,-200,-78,-82,-74,-200,-200,-89,-82,-200,-200,-89,-200,-94,-200,-200,-94,-200,-200,-95,-200,-200,-200,-95,-84,-200,-90,-90,-200,-200,-94,-200,-95,-200,-200,-200,-200,-200,-89,-96,-75
