,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A98,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018
1526457374651,-31,-54,-41,-61,-57,-57,-70,-71,-45,-54,-70,-53,-65,-65,-61,-51,-55,-76,-66,-77,-59,-67,-68,-78,-63,-84,-74,-200,-83,-82,-83,-74,-84,-73,-90,-87,-85,-84,-84,-88,-73,-82,-91,-80,-84,-200,-83,-86,-88,-200,-89,-92,-86,-95,-200,-200,-77,-91,-97,-87,-89,-93,-95,-200,-86,-87,-200,-200,-200,-94,-91,-200,-84,-96,-97,-200,-200,-200,-200,-200,-89,-200,-90,-95,-200,-78,-200,-200,-200,-200,-200,-200,-77,-97,-88,-200,-95,-97,-95,-200,-200,-200,-200
1526457377702,-25,-51,-40,-65,-58,-48,-66,-70,-45,-55,-60,-55,-68,-64,-57,-57,-53,-73,-70,-71,-60,-73,-69,-84,-65,-83,-73,-77,-83,-82,-82,-70,-84,-73,-91,-86,-83,-81,-90,-90,-74,-86,-91,-78,-84,-94,-83,-90,-88,-200,-89,-92,-87,-200,-88,-91,-77,-91,-200,-92,-95,-86,-93,-200,-87,-87,-200,-91,-200,-94,-93,-200,-87,-96,-200,-200,-200,-200,-200,-200,-90,-200,-90,-95,-200,-78,-200,-200,-200,-200,-200,-73,-76,-93,-200,-200,-95,-97,-95,-200,-200,-200,-200
1526457380756,-33,-51,-41,-60,-61,-57,-54,-72,-47,-55,-65,-53,-69,-65,-53,-55,-54,-77,-63,-66,-63,-66,-69,-80,-65,-84,-75,-77,-83,-74,-83,-71,-81,-73,-83,-86,-83,-83,-86,-90,-78,-86,-90,-72,-84,-88,-88,-90,-92,-200,-90,-92,-85,-200,-86,-88,-77,-85,-91,-89,-95,-87,-93,-200,-89,-87,-200,-91,-200,-94,-93,-200,-87,-96,-200,-200,-200,-200,-200,-95,-90,-88,-200,-95,-200,-200,-97,-200,-200,-200,-200,-73,-76,-93,-200,-200,-95,-200,-95,-200,-200,-200,-200
1526457383803,-26,-54,-40,-63,-61,-59,-68,-80,-54,-52,-61,-52,-65,-67,-62,-47,-59,-75,-60,-72,-59,-75,-79,-83,-65,-84,-77,-80,-87,-79,-80,-71,-80,-76,-91,-86,-83,-96,-95,-95,-73,-81,-90,-72,-90,-88,-88,-88,-89,-89,-90,-91,-95,-96,-92,-88,-80,-94,-91,-92,-94,-89,-90,-200,-89,-90,-200,-91,-200,-200,-93,-200,-84,-200,-200,-200,-200,-200,-200,-95,-88,-88,-87,-200,-200,-200,-90,-200,-95,-95,-200,-73,-76,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457386864,-32,-55,-43,-59,-61,-49,-52,-66,-44,-57,-63,-61,-69,-60,-54,-52,-51,-69,-61,-71,-62,-69,-74,-81,-67,-83,-76,-80,-79,-77,-82,-73,-86,-76,-91,-86,-82,-85,-82,-91,-74,-82,-90,-79,-90,-88,-81,-90,-94,-84,-91,-91,-95,-94,-94,-88,-81,-94,-94,-92,-95,-88,-93,-200,-92,-95,-94,-200,-200,-200,-95,-200,-87,-200,-200,-200,-200,-200,-200,-95,-88,-89,-87,-96,-200,-200,-90,-200,-96,-95,-200,-200,-67,-94,-200,-200,-200,-200,-96,-97,-200,-200,-200
1526457389917,-31,-56,-40,-60,-61,-56,-53,-75,-49,-64,-67,-50,-68,-73,-51,-54,-53,-83,-58,-73,-71,-67,-85,-81,-60,-88,-79,-80,-80,-76,-83,-75,-86,-76,-88,-87,-83,-85,-82,-91,-74,-83,-94,-79,-88,-200,-81,-94,-94,-84,-91,-95,-89,-94,-94,-200,-75,-94,-94,-89,-91,-88,-94,-200,-88,-95,-94,-200,-94,-96,-95,-200,-87,-200,-200,-200,-200,-200,-200,-200,-89,-89,-93,-96,-200,-200,-90,-200,-95,-95,-200,-82,-67,-94,-85,-200,-200,-200,-96,-97,-98,-200,-200
1526457392966,-24,-61,-43,-65,-61,-50,-57,-67,-50,-54,-67,-57,-75,-66,-55,-56,-52,-74,-64,-67,-57,-73,-76,-80,-68,-84,-79,-200,-81,-73,-83,-82,-78,-76,-88,-87,-83,-82,-82,-95,-79,-83,-94,-83,-89,-87,-84,-94,-93,-84,-87,-95,-85,-94,-94,-91,-75,-200,-94,-92,-90,-90,-94,-200,-88,-95,-94,-200,-94,-96,-95,-200,-85,-97,-200,-200,-200,-200,-200,-200,-86,-91,-93,-96,-200,-200,-200,-200,-95,-94,-200,-82,-67,-91,-87,-200,-200,-200,-96,-97,-97,-200,-200
1526457396018,-27,-53,-40,-63,-60,-57,-58,-69,-51,-56,-60,-48,-68,-68,-59,-54,-54,-67,-66,-71,-52,-63,-76,-79,-68,-84,-79,-200,-85,-84,-87,-71,-78,-75,-93,-87,-86,-82,-85,-95,-73,-88,-91,-83,-89,-87,-79,-88,-90,-200,-88,-95,-89,-94,-89,-91,-74,-89,-200,-92,-90,-88,-94,-200,-85,-200,-91,-94,-94,-96,-200,-200,-90,-97,-200,-200,-200,-200,-200,-200,-86,-91,-93,-200,-200,-200,-89,-200,-95,-94,-200,-82,-75,-91,-70,-200,-200,-200,-200,-200,-97,-83,-200
1526457399063,-24,-52,-45,-65,-54,-51,-58,-73,-51,-55,-63,-47,-64,-62,-53,-54,-54,-75,-61,-66,-56,-81,-67,-86,-61,-85,-75,-200,-85,-77,-82,-74,-72,-72,-88,-87,-86,-92,-83,-89,-76,-82,-91,-83,-73,-87,-80,-82,-90,-200,-87,-200,-85,-91,-89,-91,-76,-93,-200,-95,-90,-89,-93,-200,-85,-95,-91,-94,-200,-200,-200,-200,-82,-97,-200,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-98,-200,-200,-94,-200,-200,-75,-91,-88,-200,-94,-200,-200,-200,-97,-83,-200
1526457402114,-26,-56,-41,-59,-54,-51,-56,-70,-49,-63,-62,-52,-64,-65,-51,-56,-52,-71,-62,-69,-60,-69,-81,-80,-61,-87,-77,-78,-85,-79,-80,-74,-72,-72,-91,-87,-83,-89,-83,-89,-74,-82,-91,-82,-86,-200,-87,-95,-88,-87,-89,-200,-85,-91,-83,-91,-74,-93,-92,-90,-92,-95,-92,-200,-91,-96,-89,-94,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-83,-91,-83,-200,-200,-200,-98,-200,-200,-200,-200,-200,-75,-200,-88,-200,-94,-200,-200,-200,-200,-85,-200
1526457405164,-27,-62,-43,-60,-63,-58,-59,-69,-52,-55,-65,-49,-65,-66,-58,-52,-51,-66,-59,-69,-58,-67,-73,-82,-61,-83,-75,-78,-82,-81,-85,-69,-83,-73,-89,-200,-85,-89,-89,-89,-74,-90,-93,-82,-85,-200,-83,-95,-92,-87,-88,-200,-93,-91,-83,-89,-79,-93,-92,-91,-95,-95,-91,-200,-91,-96,-89,-200,-200,-97,-96,-200,-81,-95,-200,-200,-200,-200,-200,-200,-83,-86,-83,-95,-200,-200,-98,-200,-200,-200,-200,-200,-82,-200,-84,-200,-94,-200,-200,-200,-99,-85,-200
1526457408221,-27,-55,-42,-60,-59,-52,-55,-68,-48,-58,-68,-53,-64,-67,-54,-56,-52,-68,-62,-69,-57,-66,-78,-80,-62,-88,-75,-78,-83,-75,-85,-71,-79,-73,-89,-200,-80,-88,-91,-96,-74,-90,-93,-82,-85,-200,-89,-94,-95,-87,-90,-200,-93,-200,-83,-89,-74,-93,-97,-91,-91,-95,-89,-200,-89,-96,-91,-92,-200,-97,-98,-200,-82,-95,-200,-200,-200,-200,-200,-200,-87,-90,-83,-95,-200,-78,-200,-92,-200,-95,-200,-200,-82,-200,-87,-200,-200,-200,-200,-200,-99,-85,-99
