,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452729534,-85,-74,-200,-200,-200,-78,-200,-74,-92,-79,-66,-71,-200,-200,-200,-200,-86,-200
1526452730613,-200,-90,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452731716,-87,-200,-200,-81,-94,-200,-80,-73,-91,-78,-62,-75,-200,-85,-200,-200,-88,-200
1526452732813,-200,-74,-200,-78,-200,-200,-80,-74,-92,-80,-66,-74,-200,-200,-93,-200,-200,-200
1526452733928,-76,-200,-93,-200,-200,-94,-78,-200,-200,-75,-66,-75,-92,-82,-200,-84,-90,-200
1526452735024,-200,-200,-200,-84,-200,-80,-80,-73,-200,-76,-200,-200,-200,-81,-200,-85,-86,-200
1526452736136,-200,-200,-96,-77,-200,-200,-83,-74,-200,-200,-62,-72,-91,-200,-200,-200,-200,-200
1526452737223,-200,-82,-82,-200,-200,-200,-80,-200,-200,-200,-67,-200,-90,-81,-92,-83,-200,-200
1526452738334,-80,-75,-200,-200,-200,-200,-84,-200,-92,-200,-200,-200,-92,-83,-200,-84,-200,-200
1526452739427,-75,-80,-80,-200,-200,-200,-77,-200,-200,-78,-200,-71,-200,-200,-200,-200,-200,-200
1526452740508,-76,-200,-85,-78,-200,-200,-86,-200,-89,-72,-200,-73,-88,-78,-200,-200,-200,-93
1526452741669,-77,-73,-80,-80,-200,-93,-200,-74,-200,-77,-200,-200,-200,-80,-200,-83,-200,-200
1526452741767,-200,-200,-91,-200,-200,-200,-200,-76,-200,-75,-200,-200,-200,-85,-200,-92,-200,-200
1526452742829,-76,-74,-200,-78,-200,-85,-92,-80,-200,-74,-66,-72,-200,-200,-200,-84,-89,-200
1526452743925,-82,-200,-200,-77,-200,-88,-93,-75,-90,-74,-63,-200,-200,-82,-200,-200,-200,-200
1526452745076,-200,-200,-82,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452746115,-200,-200,-200,-200,-91,-98,-200,-74,-200,-200,-62,-200,-200,-80,-200,-200,-200,-200
1526452747256,-200,-200,-81,-75,-200,-90,-86,-200,-200,-200,-63,-73,-200,-200,-91,-200,-200,-200
1526452748414,-78,-200,-200,-77,-87,-200,-87,-200,-200,-74,-200,-73,-92,-75,-90,-82,-89,-200
1526452749465,-200,-74,-200,-200,-200,-200,-83,-73,-87,-72,-74,-71,-200,-78,-200,-200,-92,-200
1526452751634,-80,-76,-80,-200,-200,-94,-200,-76,-88,-200,-63,-75,-200,-200,-94,-200,-85,-200
1526452751747,-200,-200,-200,-200,-200,-86,-200,-200,-90,-76,-200,-78,-200,-200,-200,-200,-200,-200
1526452752818,-83,-74,-87,-200,-200,-200,-83,-200,-200,-200,-66,-72,-200,-200,-200,-200,-92,-200
1526452753903,-200,-200,-80,-200,-200,-200,-78,-200,-200,-76,-63,-75,-200,-200,-93,-200,-86,-200
1526452756133,-82,-75,-200,-80,-200,-200,-200,-73,-83,-77,-200,-72,-200,-200,-200,-200,-88,-94
1526452757216,-200,-200,-79,-79,-200,-200,-82,-76,-87,-200,-63,-200,-92,-200,-200,-200,-200,-200
1526452758371,-78,-73,-88,-79,-89,-200,-200,-73,-200,-200,-200,-200,-93,-80,-200,-85,-85,-200
1526452759422,-78,-77,-78,-200,-92,-200,-200,-200,-200,-200,-63,-200,-200,-86,-200,-200,-84,-200
1526452760540,-81,-74,-92,-200,-200,-200,-85,-81,-85,-200,-61,-72,-200,-200,-200,-200,-91,-92
1526452761714,-200,-82,-200,-77,-200,-200,-78,-200,-84,-75,-200,-74,-200,-200,-200,-200,-84,-200
1526452762849,-200,-200,-200,-200,-200,-200,-87,-82,-88,-72,-61,-200,-91,-200,-200,-78,-200,-200
1526452763939,-79,-77,-79,-78,-200,-200,-200,-76,-200,-200,-63,-200,-200,-84,-200,-200,-200,-200
1526452764028,-200,-78,-82,-200,-200,-200,-86,-75,-200,-73,-200,-76,-200,-76,-200,-80,-200,-200
1526452766112,-80,-74,-83,-79,-200,-90,-88,-75,-88,-200,-200,-74,-200,-81,-200,-94,-84,-200
1526452767314,-82,-200,-78,-79,-200,-84,-200,-78,-200,-200,-63,-200,-200,-79,-200,-80,-200,-200
1526452769432,-200,-75,-93,-200,-200,-84,-200,-200,-90,-200,-72,-73,-200,-83,-200,-200,-200,-200
1526452769511,-79,-200,-92,-79,-200,-92,-200,-82,-86,-200,-200,-73,-200,-75,-200,-200,-200,-200
1526452770565,-81,-200,-79,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452771650,-200,-200,-95,-81,-200,-82,-86,-200,-84,-200,-69,-78,-200,-80,-200,-84,-88,-200
1526452771765,-200,-200,-85,-74,-200,-200,-80,-200,-200,-200,-64,-73,-200,-200,-91,-200,-88,-200
1526452772821,-80,-76,-92,-76,-200,-200,-90,-74,-200,-200,-200,-73,-200,-200,-91,-200,-89,-200
1526452775024,-79,-74,-90,-76,-200,-200,-80,-200,-200,-200,-62,-200,-200,-82,-91,-93,-87,-200
1526452776187,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-78,-200,-200,-200,-200,-83,-200,-200
1526452777227,-200,-200,-200,-200,-200,-92,-86,-200,-200,-200,-60,-200,-200,-200,-92,-200,-200,-200
1526452778316,-80,-200,-92,-200,-200,-86,-200,-200,-89,-76,-200,-75,-200,-82,-200,-200,-200,-200
1526452779426,-79,-200,-82,-75,-90,-95,-78,-75,-200,-200,-62,-200,-200,-200,-90,-200,-86,-200
1526452780510,-80,-200,-200,-200,-89,-200,-84,-80,-200,-200,-60,-200,-89,-200,-91,-200,-200,-200
1526452780617,-200,-75,-94,-81,-200,-83,-200,-200,-90,-200,-200,-73,-88,-81,-200,-200,-88,-92
1526452781706,-78,-78,-200,-76,-200,-200,-200,-75,-86,-75,-200,-73,-94,-82,-200,-93,-86,-200
1526452783804,-79,-200,-200,-200,-200,-91,-200,-200,-86,-72,-61,-71,-200,-77,-93,-200,-87,-200
