,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452427722,-200,-200,-94,-86,-200,-200,-200,-73,-200,-92,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452428845,-200,-200,-200,-200,-81,-200,-66,-70,-200,-94,-77,-82,-77,-200,-200,-86,-79,-74,-200,-200,-200,-200,-200
1526452429907,-86,-85,-200,-200,-200,-90,-200,-79,-200,-92,-74,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-82,-87
1526452431032,-200,-75,-200,-200,-84,-200,-200,-200,-200,-200,-74,-200,-200,-93,-200,-84,-80,-200,-200,-200,-200,-200,-200
1526452432133,-86,-80,-200,-200,-84,-200,-61,-200,-200,-200,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452433258,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-80,-200,-78,-92,-200,-86,-200,-200,-200,-82,-200,-200,-200
1526452434311,-200,-200,-200,-200,-82,-82,-200,-70,-90,-200,-200,-200,-200,-200,-200,-86,-78,-74,-200,-93,-200,-200,-200
1526452435399,-200,-82,-200,-83,-85,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-76,-200,-79,-200,-88,-93
1526452436524,-200,-89,-92,-200,-82,-89,-69,-82,-83,-200,-88,-200,-200,-98,-200,-86,-200,-200,-200,-83,-200,-89,-200
1526452437683,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-95,-200,-200,-200,-200,-84,-200,-78,-200,-200,-200,-92,-200
1526452438845,-92,-76,-92,-200,-82,-84,-84,-200,-200,-87,-89,-87,-83,-200,-200,-90,-200,-82,-200,-200,-200,-80,-200
1526452439971,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452441016,-79,-82,-94,-200,-76,-200,-72,-200,-200,-200,-200,-200,-76,-200,-200,-92,-200,-76,-200,-80,-200,-200,-87
1526452442120,-200,-75,-200,-200,-200,-83,-200,-71,-200,-87,-88,-200,-200,-200,-200,-200,-86,-83,-200,-200,-94,-200,-93
1526452443211,-81,-74,-200,-79,-200,-200,-200,-68,-200,-200,-93,-200,-200,-200,-200,-77,-200,-82,-88,-200,-200,-200,-86
1526452443312,-84,-74,-200,-90,-200,-200,-200,-79,-79,-200,-90,-86,-76,-200,-200,-83,-200,-76,-200,-78,-200,-200,-200
1526452445413,-200,-200,-200,-200,-79,-83,-200,-200,-200,-200,-81,-94,-78,-200,-200,-93,-84,-200,-200,-200,-200,-200,-200
1526452446519,-200,-200,-92,-88,-200,-89,-200,-77,-83,-200,-200,-86,-200,-200,-200,-82,-200,-200,-200,-80,-200,-90,-91
1526452447608,-200,-78,-93,-93,-200,-200,-67,-70,-200,-200,-85,-87,-200,-200,-200,-90,-200,-200,-200,-200,-200,-83,-200
1526452447710,-200,-75,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526452447821,-82,-80,-200,-200,-82,-93,-71,-69,-78,-200,-200,-200,-76,-200,-200,-83,-89,-200,-94,-200,-200,-200,-200
1526452448879,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452449921,-200,-200,-88,-200,-200,-200,-70,-69,-200,-200,-84,-93,-73,-200,-200,-200,-200,-86,-200,-200,-200,-200,-87
1526452451007,-81,-80,-88,-93,-200,-92,-73,-200,-79,-200,-88,-200,-76,-200,-200,-200,-200,-200,-92,-200,-200,-93,-200
1526452452107,-200,-200,-200,-200,-76,-200,-73,-70,-200,-88,-87,-200,-80,-200,-200,-94,-200,-200,-92,-200,-200,-80,-93
1526452452208,-91,-200,-85,-200,-82,-93,-74,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-85
1526452454328,-200,-200,-200,-87,-88,-200,-200,-80,-79,-200,-200,-200,-75,-200,-200,-200,-200,-200,-96,-79,-200,-200,-88
1526452455403,-91,-200,-200,-96,-76,-200,-73,-70,-84,-200,-87,-200,-200,-200,-200,-200,-200,-200,-94,-88,-200,-200,-200
1526452455521,-200,-74,-86,-78,-75,-85,-200,-68,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526452456566,-200,-200,-87,-94,-200,-200,-71,-200,-200,-200,-87,-84,-74,-200,-200,-200,-91,-77,-200,-200,-91,-200,-88
1526452457631,-83,-200,-200,-200,-76,-200,-74,-200,-84,-200,-82,-200,-76,-200,-200,-83,-200,-84,-93,-86,-93,-200,-200
1526452457737,-90,-75,-200,-200,-200,-83,-200,-200,-200,-87,-200,-200,-77,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200
1526452458809,-200,-72,-88,-200,-200,-200,-200,-200,-200,-86,-81,-85,-200,-200,-200,-82,-200,-200,-200,-86,-200,-200,-87
1526452459903,-200,-200,-90,-200,-87,-200,-200,-200,-200,-93,-89,-200,-76,-200,-200,-200,-200,-77,-200,-200,-200,-200,-87
1526452461011,-86,-74,-200,-200,-75,-84,-200,-200,-200,-200,-200,-200,-80,-200,-200,-92,-86,-82,-200,-200,-200,-200,-200
1526452462103,-81,-200,-87,-79,-82,-200,-75,-200,-78,-200,-200,-200,-75,-200,-200,-82,-200,-200,-200,-87,-92,-200,-200
1526452463263,-200,-200,-93,-200,-200,-200,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
