,0114.0012-vlucci.com A1.4.0.1,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1
1526452676830,-73,-200,-200,-200,-200,-200,-200,-71,-83,-200,-200,-200,-200,-200,-87,-92,-84,-200,-200,-200,-200
1526452677912,-200,-90,-79,-86,-200,-200,-200,-76,-200,-200,-200,-76,-85,-74,-200,-95,-200,-200,-88,-200,-200
1526452679084,-200,-87,-82,-200,-200,-200,-67,-78,-200,-200,-200,-83,-78,-83,-200,-200,-200,-200,-87,-200,-200
1526452680206,-200,-89,-81,-200,-200,-94,-65,-78,-200,-200,-200,-83,-200,-75,-83,-200,-93,-200,-200,-200,-200
1526452681254,-200,-200,-86,-200,-87,-200,-200,-80,-200,-200,-200,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526452682311,-200,-81,-90,-200,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-88,-98,-82,-200,-200,-200,-200
1526452683419,-74,-86,-200,-200,-200,-200,-63,-80,-82,-200,-200,-200,-200,-200,-88,-83,-200,-200,-200,-200,-200
1526452684516,-200,-90,-82,-200,-200,-200,-66,-200,-200,-90,-81,-200,-200,-200,-94,-85,-88,-200,-200,-200,-200
1526452685722,-75,-93,-80,-79,-83,-200,-69,-200,-80,-200,-200,-80,-77,-200,-200,-78,-85,-200,-200,-200,-200
1526452686807,-200,-80,-82,-80,-87,-200,-64,-78,-200,-200,-200,-76,-200,-74,-200,-80,-200,-200,-200,-200,-200
1526452687915,-200,-200,-200,-200,-200,-92,-64,-73,-82,-200,-200,-200,-200,-85,-200,-200,-85,-200,-200,-200,-200
1526452689035,-200,-86,-80,-93,-82,-200,-63,-200,-200,-200,-86,-200,-81,-200,-200,-200,-83,-200,-200,-200,-200
1526452690123,-200,-200,-84,-200,-200,-200,-65,-80,-200,-200,-80,-76,-90,-75,-200,-78,-92,-200,-200,-200,-200
1526452691217,-73,-76,-200,-200,-91,-200,-69,-86,-200,-200,-200,-200,-200,-72,-200,-84,-200,-200,-200,-200,-200
1526452691321,-72,-200,-200,-82,-83,-200,-67,-84,-80,-200,-85,-82,-200,-200,-92,-200,-82,-200,-200,-200,-200
1526452693416,-74,-200,-200,-200,-85,-200,-200,-79,-88,-200,-200,-81,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526452694502,-200,-200,-200,-200,-89,-200,-65,-73,-200,-200,-79,-88,-200,-73,-81,-200,-200,-200,-200,-200,-200
1526452695610,-200,-200,-200,-81,-200,-200,-68,-81,-79,-200,-84,-200,-200,-200,-90,-90,-200,-200,-200,-200,-200
1526452695709,-200,-200,-82,-200,-86,-200,-67,-77,-200,-200,-78,-82,-86,-200,-90,-84,-200,-200,-200,-200,-200
1526452697929,-200,-87,-200,-200,-85,-95,-200,-83,-200,-200,-200,-200,-81,-200,-200,-89,-200,-200,-200,-200,-200
1526452699050,-200,-92,-200,-88,-200,-200,-200,-79,-200,-91,-200,-200,-200,-72,-200,-91,-200,-200,-200,-200,-200
1526452701230,-75,-88,-200,-87,-88,-200,-64,-87,-200,-200,-200,-200,-200,-200,-200,-86,-80,-200,-200,-200,-96
1526452702350,-200,-91,-82,-200,-85,-92,-63,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452703413,-74,-79,-86,-200,-200,-200,-200,-73,-79,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526452704525,-200,-85,-79,-88,-91,-200,-200,-81,-200,-200,-84,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200
1526452705685,-200,-80,-86,-200,-79,-200,-64,-73,-78,-200,-200,-200,-81,-200,-200,-91,-200,-200,-200,-200,-200
1526452706831,-73,-87,-79,-82,-84,-200,-68,-76,-200,-200,-84,-200,-200,-200,-93,-200,-84,-200,-200,-200,-200
1526452707924,-71,-95,-200,-81,-85,-200,-68,-200,-83,-93,-200,-78,-81,-200,-88,-200,-86,-200,-200,-200,-200
1526452710103,-72,-200,-200,-200,-85,-200,-200,-83,-81,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526452710220,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-87,-86,-82,-200,-200,-85,-78,-95,-200,-200,-200
1526452711268,-200,-90,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-82,-200,-200,-200,-200,-200
