,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,whjx-gaofeng-13,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,whjx-xiaozhuyang-1,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526442740358,-47,-40,-49,-56,-73,-61,-51,-57,-67,-61,-62,-66,-63,-47,-85,-65,-71,-74,-81,-72,-86,-65,-88,-78,-71,-62,-83,-79,-79,-81,-72,-88,-84,-69,-82,-82,-96,-84,-82,-86,-90,-88,-93,-200,-83,-97,-88,-200,-86,-200,-92,-94,-88,-200,-88,-94,-90,-86,-88,-97,-200,-200,-200,-92,-200,-200,-200,-96,-200,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442743406,-40,-40,-51,-50,-63,-60,-47,-54,-57,-61,-62,-65,-62,-46,-84,-64,-73,-73,-79,-72,-87,-63,-88,-77,-72,-62,-91,-79,-78,-80,-72,-88,-83,-76,-86,-80,-96,-84,-84,-86,-92,-84,-95,-200,-86,-97,-88,-200,-84,-92,-92,-93,-88,-200,-89,-92,-91,-86,-92,-97,-200,-200,-94,-91,-200,-200,-200,-96,-200,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442746454,-49,-41,-50,-53,-61,-61,-50,-55,-61,-58,-63,-67,-66,-44,-85,-65,-75,-74,-79,-74,-83,-64,-83,-76,-68,-66,-84,-83,-78,-83,-69,-87,-83,-67,-83,-77,-89,-84,-83,-85,-90,-84,-94,-200,-85,-95,-87,-90,-84,-94,-92,-93,-88,-200,-90,-92,-91,-87,-92,-97,-200,-200,-94,-92,-200,-200,-200,-200,-200,-200,-96,-96,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200
1526442749505,-47,-42,-48,-54,-62,-61,-44,-48,-65,-62,-64,-67,-66,-42,-81,-59,-73,-74,-79,-76,-83,-63,-85,-76,-78,-64,-87,-83,-78,-83,-70,-89,-83,-73,-79,-75,-89,-89,-82,-88,-93,-84,-94,-200,-88,-92,-87,-90,-82,-92,-200,-91,-200,-200,-89,-92,-89,-90,-92,-94,-200,-200,-94,-92,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200
1526442752553,-48,-42,-54,-53,-60,-61,-43,-50,-58,-54,-58,-67,-71,-43,-83,-59,-80,-78,-81,-76,-86,-58,-85,-79,-76,-63,-87,-81,-78,-85,-72,-86,-83,-68,-82,-77,-88,-87,-83,-88,-92,-84,-94,-200,-88,-92,-87,-90,-82,-88,-95,-93,-86,-200,-89,-92,-89,-89,-89,-94,-200,-200,-94,-92,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-99,-96,-97,-200,-200,-200,-200,-200
1526442755596,-44,-43,-51,-49,-56,-59,-44,-47,-60,-63,-68,-65,-71,-46,-80,-59,-79,-81,-79,-80,-90,-59,-85,-80,-66,-66,-83,-81,-79,-81,-72,-86,-84,-68,-82,-79,-89,-90,-83,-88,-92,-85,-200,-200,-88,-92,-86,-200,-82,-88,-93,-93,-85,-200,-92,-92,-92,-90,-91,-94,-200,-200,-94,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200
1526442758639,-44,-41,-49,-54,-59,-60,-45,-53,-60,-63,-65,-61,-71,-47,-77,-60,-81,-75,-81,-77,-89,-65,-85,-74,-78,-69,-86,-81,-78,-85,-71,-89,-84,-70,-78,-82,-91,-87,-82,-200,-92,-85,-94,-200,-89,-94,-82,-200,-85,-85,-93,-93,-85,-200,-92,-91,-91,-90,-91,-200,-200,-200,-200,-93,-96,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200
1526442761688,-40,-41,-49,-51,-59,-61,-45,-51,-62,-59,-66,-61,-200,-45,-79,-60,-79,-73,-78,-77,-89,-61,-83,-80,-78,-68,-89,-200,-77,-85,-70,-90,-83,-71,-81,-75,-87,-87,-83,-88,-92,-85,-94,-200,-86,-95,-82,-200,-81,-89,-93,-94,-85,-200,-88,-91,-92,-90,-91,-200,-200,-200,-95,-93,-96,-200,-200,-97,-200,-200,-200,-97,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526442764741,-51,-41,-49,-55,-62,-64,-57,-54,-52,-66,-64,-67,-66,-45,-85,-63,-83,-74,-81,-75,-87,-65,-87,-78,-77,-63,-81,-80,-78,-82,-71,-88,-88,-66,-80,-78,-88,-87,-82,-85,-200,-200,-94,-94,-91,-94,-82,-92,-88,-91,-97,-90,-200,-200,-88,-94,-91,-200,-92,-200,-200,-200,-95,-91,-200,-200,-200,-97,-200,-200,-95,-97,-200,-200,-200,-200,-97,-200,-97,-200,-95,-200,-200,-200,-200
1526442767787,-49,-41,-50,-51,-64,-63,-54,-51,-56,-64,-68,-63,-58,-44,-87,-67,-83,-74,-80,-74,-90,-61,-87,-76,-70,-66,-81,-80,-77,-82,-73,-88,-88,-66,-78,-77,-86,-87,-83,-85,-200,-200,-94,-94,-86,-94,-87,-92,-88,-91,-97,-90,-89,-200,-88,-90,-90,-89,-92,-200,-200,-200,-97,-94,-200,-200,-200,-97,-200,-200,-92,-200,-200,-200,-200,-200,-97,-200,-97,-200,-97,-91,-200,-200,-200
1526442770837,-49,-41,-50,-55,-59,-64,-51,-51,-55,-64,-63,-63,-63,-45,-83,-66,-82,-74,-79,-71,-89,-64,-87,-76,-71,-64,-81,-80,-79,-81,-73,-88,-82,-67,-80,-77,-85,-87,-82,-85,-200,-200,-94,-94,-84,-94,-90,-92,-86,-91,-97,-92,-89,-200,-91,-92,-92,-88,-92,-200,-97,-200,-96,-92,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-97,-98,-97,-91,-94,-97,-97
1526442773888,-48,-42,-51,-50,-61,-63,-53,-51,-59,-64,-62,-64,-59,-42,-82,-63,-78,-72,-78,-74,-88,-63,-85,-76,-78,-66,-81,-200,-77,-81,-73,-87,-80,-66,-79,-73,-87,-88,-84,-200,-92,-86,-94,-200,-88,-94,-87,-91,-86,-91,-94,-92,-89,-200,-89,-92,-91,-88,-92,-200,-95,-200,-96,-92,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-96,-200,-200,-98,-97,-91,-94,-97,-97
