,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,,,,D-Link_DIR-823Pro,ez-lzh-liubin-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398
1526443043299,-20,-36,-58,-51,-55,-52,-53,-54,-55,-67,-76,-87,-69,-200,-67,-74,-81,-75,-78,-71,-79,-87,-73,-78,-67,-200,-86,-81,-77,-86,-82,-84,-92,-86,-79,-93,-82,-91,-81,-89,-90,-200,-90,-78,-89,-200,-91,-93,-95,-78,-88,-200,-94,-200,-96,-91,-200,-91,-200,-97,-96,-78,-90,-94,-200,-200,-95,-96,-200,-94,-200,-200,-89,-200,-91,-95,-97,-95,-96,-93,-95,-95,-97,-200,-200,-200,-200,-200
1526443046345,-21,-31,-61,-46,-64,-52,-52,-56,-59,-75,-73,-87,-70,-82,-66,-74,-77,-68,-78,-71,-80,-88,-75,-78,-66,-200,-93,-79,-79,-79,-82,-87,-92,-85,-78,-91,-81,-91,-80,-91,-90,-92,-94,-79,-89,-200,-200,-200,-200,-81,-87,-200,-94,-200,-96,-92,-200,-91,-97,-97,-200,-74,-90,-92,-200,-200,-95,-200,-200,-92,-200,-200,-89,-200,-200,-94,-97,-200,-200,-93,-94,-95,-97,-200,-200,-200,-200,-200
1526443049390,-21,-37,-57,-47,-42,-51,-51,-55,-58,-70,-69,-87,-71,-82,-77,-76,-77,-78,-78,-73,-80,-88,-74,-77,-67,-91,-90,-80,-79,-85,-82,-89,-92,-85,-79,-87,-81,-91,-79,-91,-200,-92,-91,-78,-200,-200,-200,-200,-200,-81,-92,-200,-94,-200,-200,-93,-200,-91,-97,-97,-200,-76,-90,-92,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-94,-97,-200,-200,-200,-93,-95,-97,-75,-200,-200,-200,-200
1526443052435,-21,-37,-66,-47,-61,-52,-50,-57,-61,-72,-69,-87,-71,-82,-64,-69,-73,-75,-89,-72,-81,-88,-74,-74,-66,-91,-90,-82,-75,-81,-200,-89,-96,-86,-82,-87,-81,-90,-80,-92,-89,-92,-91,-78,-200,-200,-94,-92,-200,-78,-87,-200,-96,-200,-95,-93,-200,-95,-97,-200,-200,-76,-90,-91,-200,-92,-200,-200,-200,-89,-92,-200,-91,-200,-200,-90,-200,-200,-200,-200,-93,-200,-200,-75,-96,-200,-200,-200
1526443055482,-23,-35,-57,-50,-55,-55,-55,-57,-57,-68,-78,-200,-75,-86,-62,-73,-86,-75,-76,-71,-89,-88,-75,-79,-67,-91,-87,-78,-75,-77,-85,-89,-96,-88,-86,-83,-88,-90,-83,-84,-86,-200,-91,-77,-93,-200,-94,-92,-200,-78,-87,-200,-94,-200,-95,-93,-200,-95,-200,-200,-200,-82,-200,-91,-200,-92,-200,-97,-200,-89,-92,-200,-91,-200,-200,-90,-200,-200,-200,-200,-93,-200,-200,-75,-95,-97,-200,-200
1526443058533,-23,-36,-63,-48,-62,-60,-49,-57,-62,-70,-75,-85,-75,-86,-63,-70,-72,-81,-88,-73,-89,-88,-76,-73,-69,-200,-87,-83,-76,-83,-85,-85,-96,-87,-86,-85,-83,-90,-80,-90,-86,-93,-95,-77,-93,-200,-92,-92,-200,-79,-88,-200,-97,-200,-95,-93,-200,-95,-200,-97,-200,-76,-200,-91,-98,-92,-95,-97,-200,-91,-96,-96,-92,-99,-200,-90,-200,-200,-200,-200,-93,-200,-200,-200,-95,-97,-88,-200
1526443061579,-22,-37,-64,-50,-59,-58,-49,-55,-58,-74,-76,-85,-72,-86,-63,-70,-73,-74,-87,-72,-81,-200,-76,-73,-66,-200,-89,-83,-76,-78,-83,-85,-95,-87,-84,-83,-84,-89,-79,-90,-86,-93,-92,-77,-93,-200,-92,-200,-95,-77,-88,-200,-97,-200,-200,-93,-200,-200,-200,-97,-96,-81,-88,-93,-98,-200,-94,-97,-200,-91,-96,-96,-92,-99,-200,-200,-200,-200,-200,-200,-93,-96,-200,-200,-95,-97,-88,-200
1526443064624,-20,-37,-42,-48,-60,-57,-56,-56,-61,-69,-75,-85,-69,-81,-62,-72,-76,-66,-87,-70,-83,-87,-75,-73,-69,-200,-89,-81,-75,-81,-83,-82,-95,-87,-79,-81,-81,-89,-80,-90,-85,-94,-91,-77,-200,-200,-89,-91,-95,-79,-88,-200,-97,-200,-200,-93,-200,-200,-200,-97,-96,-73,-88,-90,-98,-92,-94,-200,-200,-91,-96,-96,-92,-99,-200,-200,-200,-200,-200,-200,-93,-96,-200,-200,-200,-200,-88,-200
1526443067672,-21,-37,-31,-40,-59,-54,-53,-58,-60,-69,-75,-200,-69,-81,-62,-74,-80,-76,-79,-68,-82,-84,-76,-72,-68,-200,-88,-80,-75,-78,-83,-83,-95,-93,-79,-87,-80,-90,-82,-90,-85,-90,-86,-77,-200,-200,-89,-91,-95,-80,-87,-200,-200,-200,-200,-94,-200,-200,-200,-200,-96,-73,-88,-90,-200,-92,-94,-97,-200,-91,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-94,-96,-200,-200,-200,-200,-200,-200
1526443070717,-22,-35,-56,-49,-59,-55,-53,-53,-65,-74,-75,-200,-73,-81,-63,-75,-72,-74,-83,-67,-80,-87,-73,-76,-68,-200,-87,-82,-80,-82,-82,-88,-200,-84,-79,-85,-86,-90,-85,-90,-85,-95,-93,-78,-200,-200,-89,-92,-200,-79,-89,-200,-200,-200,-200,-93,-200,-93,-200,-200,-200,-82,-89,-93,-200,-92,-200,-97,-200,-93,-200,-89,-94,-200,-95,-200,-200,-200,-200,-93,-94,-200,-200,-200,-95,-200,-200,-200
1526443073763,-20,-37,-60,-49,-57,-50,-50,-54,-62,-72,-72,-200,-73,-84,-66,-77,-81,-76,-88,-70,-78,-87,-76,-78,-69,-200,-86,-80,-77,-78,-82,-84,-200,-87,-77,-88,-83,-90,-82,-83,-85,-92,-93,-78,-96,-200,-89,-92,-200,-79,-88,-200,-200,-200,-95,-93,-200,-93,-98,-95,-200,-72,-89,-93,-200,-200,-200,-97,-200,-93,-200,-89,-91,-200,-95,-200,-200,-200,-200,-93,-94,-200,-200,-96,-95,-200,-200,-200
1526443076814,-21,-36,-54,-46,-60,-50,-53,-53,-64,-72,-74,-76,-73,-84,-61,-78,-73,-74,-88,-71,-79,-88,-74,-79,-67,-200,-89,-80,-76,-79,-79,-89,-96,-87,-85,-83,-82,-90,-81,-94,-88,-92,-93,-78,-96,-200,-89,-92,-200,-78,-87,-200,-200,-200,-94,-91,-200,-93,-98,-95,-200,-83,-89,-95,-200,-200,-93,-200,-200,-93,-200,-200,-91,-200,-95,-200,-94,-200,-200,-93,-200,-200,-200,-96,-95,-200,-200,-90
