,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,ez-hr-honglianhu-1,hsdy-jinmen-7,WHU-2018,DLINK_D02A18,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526443341434,-55,-71,-51,-45,-52,-50,-49,-59,-43,-72,-62,-59,-73,-58,-63,-67,-74,-80,-59,-83,-80,-81,-70,-82,-78,-86,-80,-78,-86,-85,-77,-74,-83,-88,-79,-84,-87,-95,-83,-83,-93,-200,-92,-91,-94,-94,-92,-90,-83,-200,-200,-200,-97,-200,-97,-92,-94,-200,-200,-99,-89,-92,-200,-97,-200,-200,-200,-94,-95,-91,-200,-200,-200,-93,-97,-200,-94,-200,-97,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443344478,-51,-73,-47,-45,-54,-49,-44,-60,-47,-74,-64,-56,-76,-54,-64,-73,-77,-78,-60,-83,-85,-80,-73,-79,-78,-87,-77,-78,-82,-85,-78,-73,-82,-88,-80,-83,-87,-93,-76,-83,-93,-200,-95,-84,-92,-95,-92,-88,-86,-200,-200,-200,-93,-97,-97,-92,-95,-200,-200,-200,-200,-95,-200,-97,-200,-200,-200,-94,-95,-91,-200,-200,-200,-91,-200,-200,-94,-200,-97,-200,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526443347522,-59,-73,-47,-46,-56,-49,-48,-57,-48,-74,-63,-56,-75,-57,-64,-69,-74,-77,-55,-79,-89,-80,-74,-80,-80,-87,-77,-78,-82,-86,-76,-75,-84,-88,-76,-85,-87,-93,-83,-84,-93,-200,-95,-86,-85,-95,-92,-90,-86,-200,-200,-200,-93,-97,-97,-92,-93,-95,-200,-200,-200,-95,-200,-97,-200,-200,-200,-200,-95,-200,-200,-200,-200,-91,-200,-200,-200,-200,-97,-200,-200,-95,-96,-95,-100,-200,-200,-200,-200,-200,-200
1526443350571,-44,-64,-48,-45,-55,-47,-48,-56,-49,-83,-65,-56,-80,-57,-60,-75,-67,-79,-60,-82,-81,-86,-71,-87,-80,-83,-72,-78,-82,-85,-75,-74,-83,-87,-75,-84,-83,-93,-84,-86,-93,-200,-91,-93,-85,-95,-200,-88,-73,-200,-200,-200,-94,-97,-97,-200,-94,-95,-96,-200,-200,-95,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-97,-200,-200,-95,-96,-95,-100,-90,-200,-200,-200,-200,-200
1526443353643,-46,-68,-49,-47,-48,-50,-47,-56,-46,-74,-62,-56,-74,-56,-63,-69,-67,-77,-62,-82,-81,-79,-72,-86,-77,-81,-76,-76,-81,-83,-78,-77,-85,-90,-79,-81,-88,-94,-80,-86,-93,-200,-91,-88,-86,-200,-200,-90,-82,-200,-200,-200,-94,-200,-97,-96,-94,-95,-96,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-97,-200,-200,-200,-200,-95,-100,-90,-86,-200,-200,-200,-200
1526443356689,-51,-66,-50,-50,-56,-49,-47,-62,-45,-74,-63,-58,-75,-58,-64,-71,-75,-76,-61,-78,-86,-82,-73,-77,-81,-80,-75,-78,-81,-82,-73,-74,-84,-90,-74,-82,-88,-91,-82,-86,-91,-200,-91,-92,-92,-200,-200,-91,-78,-200,-200,-200,-93,-200,-200,-96,-94,-95,-96,-200,-200,-92,-96,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-86,-200,-200,-200,-200
1526443359726,-44,-61,-50,-50,-56,-48,-47,-67,-42,-71,-62,-60,-72,-55,-63,-72,-66,-73,-60,-76,-82,-80,-72,-77,-79,-80,-74,-78,-78,-83,-77,-73,-85,-84,-76,-83,-88,-93,-85,-200,-87,-200,-95,-89,-92,-200,-96,-89,-89,-200,-200,-200,-96,-96,-200,-96,-200,-95,-200,-200,-89,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-95,-97,-200,-200
1526443362769,-48,-61,-50,-51,-55,-49,-47,-63,-44,-73,-62,-60,-72,-54,-64,-69,-75,-75,-60,-68,-84,-82,-73,-85,-82,-80,-74,-78,-78,-82,-76,-74,-86,-90,-76,-83,-82,-91,-84,-85,-87,-200,-95,-90,-92,-200,-94,-89,-89,-200,-200,-200,-96,-96,-200,-200,-200,-200,-200,-96,-89,-92,-94,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-97,-200,-200
1526443365807,-49,-60,-49,-49,-53,-49,-46,-56,-44,-79,-64,-59,-78,-53,-64,-66,-74,-77,-58,-78,-91,-81,-71,-85,-80,-81,-74,-80,-79,-82,-77,-73,-86,-89,-79,-85,-84,-91,-84,-84,-91,-96,-95,-93,-83,-200,-94,-89,-87,-97,-200,-200,-96,-96,-200,-200,-200,-94,-200,-98,-89,-90,-94,-200,-96,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-95,-97,-200,-200
1526443368845,-44,-69,-48,-54,-56,-48,-48,-63,-44,-77,-64,-59,-76,-53,-64,-67,-66,-73,-59,-77,-84,-84,-69,-74,-74,-88,-76,-77,-80,-85,-77,-73,-87,-88,-77,-80,-83,-91,-82,-84,-91,-96,-94,-83,-94,-200,-95,-88,-87,-97,-200,-200,-93,-200,-200,-200,-200,-93,-200,-98,-200,-94,-200,-200,-97,-200,-200,-93,-200,-92,-200,-200,-200,-200,-97,-200,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200,-95,-200,-200,-200
1526443371894,-39,-68,-57,-47,-60,-54,-46,-62,-47,-79,-67,-69,-77,-58,-62,-71,-67,-73,-62,-84,-79,-83,-70,-76,-78,-88,-74,-76,-80,-85,-77,-73,-86,-89,-76,-78,-90,-200,-82,-84,-84,-96,-94,-85,-94,-200,-95,-86,-87,-97,-200,-200,-93,-200,-200,-200,-200,-94,-200,-95,-200,-94,-200,-96,-97,-95,-200,-93,-200,-92,-200,-200,-200,-200,-97,-200,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-95,-200
1526443374936,-41,-65,-52,-45,-65,-49,-47,-59,-46,-77,-68,-66,-78,-57,-63,-65,-67,-72,-62,-82,-76,-82,-71,-79,-77,-87,-71,-77,-84,-91,-86,-77,-82,-86,-74,-80,-85,-89,-82,-89,-84,-200,-94,-85,-94,-200,-95,-90,-77,-200,-200,-200,-93,-200,-96,-200,-200,-94,-200,-96,-200,-94,-200,-96,-97,-95,-200,-93,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-96,-200,-200,-200,-200,-96,-200,-200,-86,-200,-200,-95,-97
