,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526447533692,-42,-24,-54,-55,-57,-59,-71,-68,-61,-71,-62,-62,-68,-64,-69,-66,-73,-200,-66,-200,-75,-90,-200,-80,-79,-76,-200,-200,-70,-200,-200,-200,-87,-200,-200,-200,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-69,-200,-80,-200,-200,-200,-90,-200,-74,-87,-200,-73,-79,-85,-86,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447534225,-42,-24,-54,-55,-57,-59,-71,-68,-61,-71,-62,-62,-68,-64,-69,-66,-73,-200,-66,-200,-75,-90,-200,-80,-79,-76,-200,-200,-70,-200,-200,-200,-87,-200,-200,-200,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-69,-200,-80,-200,-200,-200,-90,-200,-74,-87,-200,-73,-79,-85,-86,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447536735,-39,-28,-64,-49,-59,-59,-71,-200,-62,-200,-62,-63,-68,-70,-67,-67,-73,-200,-74,-67,-75,-200,-200,-80,-200,-76,-200,-200,-69,-200,-80,-200,-200,-81,-200,-200,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-73,-74,-87,-200,-73,-79,-86,-86,-88,-90,-91,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447537255,-39,-28,-64,-49,-59,-59,-71,-200,-62,-200,-62,-63,-68,-70,-67,-67,-73,-200,-74,-67,-75,-200,-200,-80,-200,-76,-200,-200,-69,-200,-80,-200,-200,-81,-200,-200,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-73,-74,-87,-200,-73,-79,-86,-86,-88,-90,-91,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447539796,-42,-29,-64,-54,-59,-62,-70,-200,-63,-70,-62,-63,-71,-68,-69,-66,-74,-200,-67,-67,-78,-89,-200,-80,-79,-200,-200,-68,-69,-200,-80,-200,-200,-81,-89,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-69,-82,-90,-89,-200,-200,-74,-200,-89,-200,-73,-200,-86,-200,-200,-200,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447540291,-42,-29,-64,-54,-59,-62,-70,-200,-63,-70,-62,-63,-71,-68,-69,-66,-74,-200,-67,-67,-78,-89,-200,-80,-79,-200,-200,-68,-69,-200,-80,-200,-200,-81,-89,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-69,-82,-90,-89,-200,-200,-74,-200,-89,-200,-73,-200,-86,-200,-200,-200,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447542802,-42,-24,-53,-49,-57,-62,-71,-67,-61,-65,-63,-64,-69,-73,-68,-66,-77,-200,-70,-67,-75,-89,-82,-80,-79,-78,-200,-77,-69,-200,-84,-200,-87,-200,-89,-200,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-68,-65,-76,-90,-89,-200,-200,-73,-74,-89,-200,-73,-200,-200,-200,-200,-200,-200,-200,-91,-74,-79,-89,-200,-200,-200,-200,-200,-200
1526447543326,-42,-24,-53,-49,-57,-62,-71,-67,-61,-65,-63,-64,-69,-73,-68,-66,-77,-200,-70,-67,-75,-89,-82,-80,-79,-78,-200,-77,-69,-200,-84,-200,-87,-200,-89,-200,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-68,-65,-76,-90,-89,-200,-200,-73,-74,-89,-200,-73,-200,-200,-200,-200,-200,-200,-200,-91,-74,-79,-89,-200,-200,-200,-200,-200,-200
1526447545832,-42,-24,-53,-50,-52,-64,-71,-68,-60,-65,-63,-63,-70,-76,-67,-67,-75,-200,-71,-200,-75,-90,-82,-81,-200,-76,-200,-77,-72,-68,-79,-73,-87,-80,-200,-200,-200,-72,-200,-200,-81,-200,-200,-200,-200,-200,-67,-65,-76,-200,-200,-200,-200,-73,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-79,-89,-91,-200,-200,-200,-200,-200
1526447546364,-42,-24,-53,-50,-52,-64,-71,-68,-60,-65,-63,-63,-70,-76,-67,-67,-75,-200,-71,-200,-75,-90,-82,-81,-200,-76,-200,-77,-72,-68,-79,-73,-87,-80,-200,-200,-200,-72,-200,-200,-81,-200,-200,-200,-200,-200,-67,-65,-76,-200,-200,-200,-200,-73,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-79,-89,-91,-200,-200,-200,-200,-200
1526447548871,-42,-24,-54,-49,-59,-60,-72,-68,-62,-200,-62,-63,-70,-69,-80,-66,-75,-200,-71,-200,-78,-89,-200,-80,-200,-76,-200,-200,-70,-68,-78,-69,-200,-80,-87,-200,-200,-72,-200,-200,-81,-200,-200,-200,-200,-200,-68,-69,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200
1526447549396,-42,-24,-54,-49,-59,-60,-72,-68,-62,-200,-62,-63,-70,-69,-80,-66,-75,-200,-71,-200,-78,-89,-200,-80,-200,-76,-200,-200,-70,-68,-78,-69,-200,-80,-87,-200,-200,-72,-200,-200,-81,-200,-200,-200,-200,-200,-68,-69,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200
1526447551892,-41,-24,-62,-48,-59,-65,-71,-67,-60,-68,-63,-63,-69,-67,-68,-67,-77,-76,-74,-200,-78,-89,-77,-80,-200,-200,-200,-67,-67,-200,-78,-69,-200,-200,-87,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-68,-69,-79,-90,-200,-200,-200,-74,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526447552429,-41,-24,-62,-48,-59,-65,-71,-67,-60,-68,-63,-63,-69,-67,-68,-67,-77,-76,-74,-200,-78,-89,-77,-80,-200,-200,-200,-67,-67,-200,-78,-69,-200,-200,-87,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-68,-69,-79,-90,-200,-200,-200,-74,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526447554896,-41,-25,-54,-68,-59,-59,-71,-68,-59,-68,-63,-64,-70,-70,-68,-67,-76,-76,-74,-65,-200,-200,-78,-80,-79,-77,-200,-69,-70,-66,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-83,-70,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447555461,-41,-25,-54,-68,-59,-59,-71,-68,-59,-68,-63,-64,-70,-70,-68,-67,-76,-76,-74,-65,-200,-200,-78,-80,-79,-77,-200,-69,-70,-66,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-83,-70,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447557947,-43,-25,-54,-50,-52,-64,-71,-66,-62,-70,-63,-64,-69,-69,-70,-67,-74,-76,-83,-63,-73,-200,-78,-79,-79,-85,-200,-69,-70,-66,-200,-73,-200,-200,-200,-200,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-200,-69,-79,-200,-200,-76,-200,-74,-75,-200,-200,-200,-200,-84,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526447558490,-43,-25,-54,-50,-52,-64,-71,-66,-62,-70,-63,-64,-69,-69,-70,-67,-74,-76,-83,-63,-73,-200,-78,-79,-79,-85,-200,-69,-70,-66,-200,-73,-200,-200,-200,-200,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-200,-69,-79,-200,-200,-76,-200,-74,-75,-200,-200,-200,-200,-84,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526447560996,-42,-28,-55,-56,-58,-59,-71,-69,-62,-69,-62,-63,-67,-71,-66,-67,-75,-200,-68,-67,-73,-88,-200,-81,-79,-77,-200,-73,-69,-64,-200,-74,-85,-74,-87,-82,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-70,-69,-200,-200,-200,-76,-200,-74,-75,-200,-88,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-88,-200,-200,-200
1526447561524,-42,-28,-55,-56,-58,-59,-71,-69,-62,-69,-62,-63,-67,-71,-66,-67,-75,-200,-68,-67,-73,-88,-200,-81,-79,-77,-200,-73,-69,-64,-200,-74,-85,-74,-87,-82,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-70,-69,-200,-200,-200,-76,-200,-74,-75,-200,-88,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-88,-200,-200,-200
1526447564063,-56,-25,-68,-49,-58,-77,-71,-69,-62,-82,-63,-76,-71,-67,-73,-66,-75,-78,-68,-68,-73,-88,-89,-80,-79,-77,-200,-63,-67,-65,-200,-72,-84,-84,-87,-82,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-69,-69,-81,-200,-200,-76,-200,-71,-74,-200,-88,-73,-85,-200,-85,-200,-200,-200,-200,-200,-200,-90,-87,-200,-200,-88,-200,-200,-200
1526447564578,-56,-25,-68,-49,-58,-77,-71,-69,-62,-82,-63,-76,-71,-67,-73,-66,-75,-78,-68,-68,-73,-88,-89,-80,-79,-77,-200,-63,-67,-65,-200,-72,-84,-84,-87,-82,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-69,-69,-81,-200,-200,-76,-200,-71,-74,-200,-88,-73,-85,-200,-85,-200,-200,-200,-200,-200,-200,-90,-87,-200,-200,-88,-200,-200,-200
1526447567095,-42,-24,-53,-55,-59,-58,-71,-200,-61,-82,-62,-64,-69,-70,-70,-65,-200,-78,-64,-68,-77,-200,-89,-79,-80,-78,-200,-68,-78,-66,-200,-72,-85,-73,-200,-200,-200,-85,-200,-200,-76,-200,-200,-200,-200,-200,-75,-200,-74,-200,-200,-200,-200,-73,-74,-200,-200,-73,-85,-200,-200,-86,-200,-200,-200,-200,-200,-90,-87,-200,-87,-200,-90,-200,-200
1526447567606,-42,-24,-53,-55,-59,-58,-71,-200,-61,-82,-62,-64,-69,-70,-70,-65,-200,-78,-64,-68,-77,-200,-89,-79,-80,-78,-200,-68,-78,-66,-200,-72,-85,-73,-200,-200,-200,-85,-200,-200,-76,-200,-200,-200,-200,-200,-75,-200,-74,-200,-200,-200,-200,-73,-74,-200,-200,-73,-85,-200,-200,-86,-200,-200,-200,-200,-200,-90,-87,-200,-87,-200,-90,-200,-200
1526447570164,-42,-24,-55,-49,-51,-65,-70,-200,-61,-69,-63,-60,-69,-74,-70,-67,-200,-76,-59,-68,-75,-200,-89,-80,-80,-78,-200,-76,-69,-66,-78,-72,-85,-73,-88,-200,-200,-85,-200,-200,-75,-200,-84,-200,-200,-200,-67,-76,-78,-200,-200,-76,-200,-73,-74,-200,-200,-73,-85,-200,-200,-86,-200,-200,-200,-200,-200,-90,-87,-200,-87,-200,-90,-88,-200
1526447570648,-42,-24,-55,-49,-51,-65,-70,-200,-61,-69,-63,-60,-69,-74,-70,-67,-200,-76,-59,-68,-75,-200,-89,-80,-80,-78,-200,-76,-69,-66,-78,-72,-85,-73,-88,-200,-200,-85,-200,-200,-75,-200,-84,-200,-200,-200,-67,-76,-78,-200,-200,-76,-200,-73,-74,-200,-200,-73,-85,-200,-200,-86,-200,-200,-200,-200,-200,-90,-87,-200,-87,-200,-90,-88,-200
1526447573225,-42,-28,-55,-50,-58,-65,-63,-66,-61,-69,-63,-60,-69,-71,-71,-67,-200,-76,-59,-67,-75,-200,-82,-80,-80,-78,-200,-73,-70,-68,-80,-73,-87,-73,-88,-200,-200,-73,-200,-200,-75,-200,-84,-200,-200,-200,-67,-68,-76,-90,-200,-76,-200,-73,-75,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-90,-88,-86
1526447573690,-42,-28,-55,-50,-58,-65,-63,-66,-61,-69,-63,-60,-69,-71,-71,-67,-200,-76,-59,-67,-75,-200,-82,-80,-80,-78,-200,-73,-70,-68,-80,-73,-87,-73,-88,-200,-200,-73,-200,-200,-75,-200,-84,-200,-200,-200,-67,-68,-76,-90,-200,-76,-200,-73,-75,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-90,-88,-86
1526447576262,-41,-24,-55,-49,-58,-66,-70,-66,-61,-200,-63,-200,-70,-72,-67,-66,-75,-76,-200,-67,-76,-89,-83,-80,-79,-200,-200,-75,-71,-68,-80,-73,-82,-200,-200,-200,-200,-73,-200,-200,-75,-200,-200,-200,-200,-200,-77,-68,-74,-90,-200,-76,-200,-200,-76,-200,-200,-73,-200,-200,-200,-87,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-86
1526447576696,-41,-24,-55,-49,-58,-66,-70,-66,-61,-200,-63,-200,-70,-72,-67,-66,-75,-76,-200,-67,-76,-89,-83,-80,-79,-200,-200,-75,-71,-68,-80,-73,-82,-200,-200,-200,-200,-73,-200,-200,-75,-200,-200,-200,-200,-200,-77,-68,-74,-90,-200,-76,-200,-200,-76,-200,-200,-73,-200,-200,-200,-87,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-86
1526447579308,-42,-24,-54,-50,-63,-60,-71,-68,-62,-67,-63,-57,-70,-71,-71,-70,-86,-78,-70,-67,-74,-89,-83,-82,-80,-78,-200,-75,-72,-65,-79,-73,-88,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-69,-71,-200,-90,-200,-90,-86,-75,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-92,-200,-200,-200,-200
1526447579736,-42,-24,-54,-50,-63,-60,-71,-68,-62,-67,-63,-57,-70,-71,-71,-70,-86,-78,-70,-67,-74,-89,-83,-82,-80,-78,-200,-75,-72,-65,-79,-73,-88,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-69,-71,-200,-90,-200,-90,-86,-75,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-92,-200,-200,-200,-200
1526447582346,-43,-24,-54,-49,-57,-65,-71,-68,-60,-70,-63,-61,-69,-71,-70,-68,-73,-78,-74,-68,-75,-200,-81,-81,-80,-78,-200,-76,-71,-66,-79,-71,-88,-92,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-75,-68,-72,-200,-91,-200,-90,-86,-75,-200,-200,-74,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526447582745,-43,-24,-54,-49,-57,-65,-71,-68,-60,-70,-63,-61,-69,-71,-70,-68,-73,-78,-74,-68,-75,-200,-81,-81,-80,-78,-200,-76,-71,-66,-79,-71,-88,-92,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-75,-68,-72,-200,-91,-200,-90,-86,-75,-200,-200,-74,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
