,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,whu2011309,D-Link_DIR-823Pro
1526454168512,-33,-35,-42,-33,-42,-32,-50,-36,-48,-40,-49,-50,-47,-38,-41,-61,-55,-53,-58,-53,-55,-59,-55,-55,-200,-53,-52,-63,-65,-200,-200,-62,-66,-63,-62,-73,-69,-70,-67,-69,-70,-67,-75,-200,-86,-79,-88,-90,-200,-43,-60,-90,-65,-66,-65,-89,-200,-200,-200,-200,-200,-200,-200
1526454171544,-33,-35,-42,-33,-42,-32,-50,-36,-48,-40,-49,-50,-47,-38,-41,-61,-55,-53,-58,-53,-55,-59,-55,-55,-200,-53,-52,-63,-65,-200,-200,-62,-66,-63,-62,-73,-69,-70,-67,-69,-70,-67,-75,-200,-86,-79,-88,-90,-200,-43,-60,-90,-65,-66,-65,-89,-200,-200,-200,-200,-200,-200,-200
1526454174563,-39,-37,-38,-34,-42,-34,-50,-36,-48,-41,-49,-46,-47,-38,-39,-56,-55,-53,-58,-53,-55,-63,-55,-55,-200,-52,-52,-63,-65,-200,-200,-62,-71,-63,-59,-72,-69,-74,-69,-69,-66,-67,-77,-200,-90,-84,-91,-90,-200,-43,-200,-88,-65,-66,-65,-89,-200,-200,-200,-200,-200,-200,-200
1526454177590,-39,-37,-38,-34,-42,-34,-50,-36,-48,-41,-49,-46,-47,-38,-39,-56,-55,-53,-58,-53,-55,-63,-55,-55,-200,-52,-52,-63,-65,-200,-200,-62,-71,-63,-59,-72,-69,-74,-69,-69,-66,-67,-77,-200,-90,-84,-91,-90,-200,-43,-200,-88,-65,-66,-65,-89,-200,-200,-200,-200,-200,-200,-200
1526454180615,-33,-35,-37,-35,-42,-34,-50,-38,-48,-40,-50,-48,-50,-38,-38,-60,-59,-200,-55,-56,-53,-58,-55,-54,-200,-53,-59,-63,-65,-200,-200,-62,-71,-68,-59,-74,-76,-68,-70,-68,-68,-67,-78,-200,-90,-81,-89,-87,-200,-43,-200,-89,-65,-200,-65,-89,-60,-69,-86,-200,-200,-200,-200
1526454183641,-33,-35,-37,-35,-42,-34,-50,-38,-48,-40,-50,-48,-50,-38,-38,-60,-59,-200,-55,-56,-53,-58,-55,-54,-200,-53,-59,-63,-65,-200,-200,-62,-71,-68,-59,-74,-76,-68,-70,-68,-68,-67,-78,-200,-90,-81,-89,-87,-200,-43,-200,-89,-65,-200,-65,-89,-60,-69,-86,-200,-200,-200,-200
1526454186673,-36,-36,-36,-35,-42,-34,-51,-39,-46,-43,-54,-47,-50,-55,-38,-60,-58,-200,-55,-56,-53,-58,-55,-54,-200,-57,-55,-63,-65,-200,-200,-62,-68,-68,-59,-73,-73,-69,-69,-68,-71,-200,-80,-200,-90,-77,-85,-88,-200,-43,-200,-89,-65,-74,-65,-89,-60,-69,-86,-60,-77,-79,-200
1526454189693,-36,-36,-36,-35,-42,-34,-51,-39,-46,-43,-54,-47,-50,-55,-38,-60,-58,-200,-55,-56,-53,-58,-55,-54,-200,-57,-55,-63,-65,-200,-200,-62,-68,-68,-59,-73,-73,-69,-69,-68,-71,-200,-80,-200,-90,-77,-85,-88,-200,-43,-200,-89,-65,-74,-65,-89,-60,-69,-86,-60,-77,-79,-200
1526454192720,-36,-45,-36,-35,-38,-32,-51,-39,-49,-39,-50,-45,-46,-55,-38,-60,-52,-63,-52,-54,-53,-60,-55,-54,-56,-59,-55,-63,-65,-200,-200,-62,-66,-60,-59,-73,-71,-69,-66,-67,-67,-70,-78,-200,-90,-81,-83,-87,-92,-43,-200,-89,-64,-66,-65,-89,-60,-69,-86,-60,-77,-76,-200
1526454195743,-36,-45,-36,-35,-38,-32,-51,-39,-49,-39,-50,-45,-46,-55,-38,-60,-52,-63,-52,-54,-53,-60,-55,-54,-56,-59,-55,-63,-65,-200,-200,-62,-66,-60,-59,-73,-71,-69,-66,-67,-67,-70,-78,-200,-90,-81,-83,-87,-92,-43,-200,-89,-64,-66,-65,-89,-60,-69,-86,-60,-77,-76,-200
1526454198768,-36,-34,-36,-36,-42,-32,-51,-39,-50,-39,-48,-45,-47,-48,-41,-60,-52,-63,-52,-56,-54,-60,-200,-57,-56,-55,-60,-67,-71,-200,-200,-64,-63,-60,-63,-74,-72,-70,-66,-66,-66,-70,-75,-200,-90,-77,-82,-85,-92,-43,-200,-89,-64,-66,-65,-200,-60,-69,-86,-60,-77,-77,-59
1526454201795,-36,-34,-36,-36,-42,-32,-51,-39,-50,-39,-48,-45,-47,-48,-41,-60,-52,-63,-52,-56,-54,-60,-200,-57,-56,-55,-60,-67,-71,-200,-200,-64,-63,-60,-63,-74,-72,-70,-66,-66,-66,-70,-75,-200,-90,-77,-82,-85,-92,-43,-200,-89,-64,-66,-65,-200,-60,-69,-86,-60,-77,-77,-59
