,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526454021720,-39,-33,-48,-37,-40,-36,-46,-42,-52,-42,-58,-54,-54,-49,-57,-41,-57,-60,-62,-62,-61,-63,-64,-61,-200,-55,-59,-70,-64,-61,-59,-200,-59,-66,-70,-86,-71,-74,-70,-75,-88,-74,-200,-90,-90,-85,-80,-89,-200,-50,-65,-59,-65,-90,-66,-78,-66,-200,-200,-200,-200,-200,-200,-200
1526454024752,-39,-34,-48,-37,-40,-36,-46,-42,-52,-42,-58,-54,-54,-49,-57,-41,-57,-60,-62,-62,-61,-63,-64,-61,-200,-55,-59,-70,-64,-61,-59,-200,-59,-66,-70,-86,-71,-74,-70,-75,-88,-74,-200,-90,-90,-85,-80,-89,-200,-50,-65,-59,-65,-90,-66,-78,-66,-200,-200,-200,-200,-200,-200,-200
1526454027787,-40,-27,-45,-38,-37,-40,-44,-41,-48,-42,-55,-52,-57,-44,-59,-41,-57,-60,-62,-62,-61,-63,-64,-61,-200,-55,-64,-70,-64,-64,-200,-200,-59,-74,-70,-86,-69,-74,-74,-69,-88,-75,-200,-200,-200,-83,-82,-89,-200,-50,-68,-62,-65,-90,-57,-78,-66,-65,-90,-200,-200,-200,-200,-200
1526454030813,-40,-28,-45,-38,-37,-40,-44,-41,-48,-42,-55,-52,-57,-44,-59,-41,-57,-60,-62,-62,-61,-63,-64,-61,-200,-55,-64,-70,-64,-64,-200,-200,-59,-74,-70,-86,-69,-74,-74,-69,-88,-75,-200,-200,-200,-83,-82,-89,-200,-50,-68,-62,-65,-90,-57,-78,-66,-65,-90,-200,-200,-200,-200,-200
1526454033839,-36,-24,-45,-39,-37,-47,-41,-45,-47,-42,-55,-52,-55,-49,-59,-41,-57,-65,-62,-61,-61,-66,-65,-61,-200,-57,-64,-70,-64,-64,-200,-200,-63,-72,-70,-83,-72,-76,-70,-70,-88,-74,-200,-87,-86,-83,-82,-200,-200,-50,-68,-62,-65,-90,-53,-78,-70,-68,-90,-200,-200,-200,-200,-200
1526454036870,-36,-25,-45,-39,-37,-47,-41,-45,-47,-42,-55,-52,-55,-49,-59,-41,-57,-65,-62,-61,-61,-66,-65,-61,-200,-57,-64,-70,-64,-64,-200,-200,-63,-72,-70,-83,-72,-76,-70,-70,-88,-74,-200,-87,-86,-83,-82,-200,-200,-50,-68,-62,-65,-90,-53,-78,-70,-68,-90,-200,-200,-200,-200,-200
1526454039903,-36,-26,-45,-39,-37,-44,-41,-44,-51,-46,-55,-52,-54,-52,-59,-41,-57,-60,-59,-61,-61,-66,-65,-61,-200,-57,-64,-70,-64,-57,-200,-200,-63,-71,-70,-85,-69,-76,-71,-70,-88,-72,-200,-87,-86,-83,-82,-200,-200,-50,-68,-58,-65,-90,-57,-200,-70,-68,-90,-63,-68,-89,-200,-200
1526454042935,-36,-26,-45,-39,-37,-44,-41,-44,-51,-46,-55,-52,-54,-52,-59,-41,-57,-60,-59,-61,-61,-66,-65,-61,-200,-57,-64,-70,-64,-57,-200,-200,-63,-71,-70,-85,-69,-76,-71,-70,-88,-72,-200,-87,-86,-83,-82,-200,-200,-50,-68,-58,-65,-90,-57,-200,-70,-68,-90,-63,-68,-89,-200,-200
1526454045957,-36,-29,-49,-39,-37,-39,-41,-44,-50,-46,-55,-53,-54,-52,-55,-41,-200,-60,-59,-61,-61,-63,-65,-61,-200,-61,-64,-70,-59,-59,-200,-200,-63,-75,-70,-86,-69,-78,-75,-70,-88,-72,-200,-87,-84,-83,-82,-200,-200,-50,-68,-58,-65,-90,-57,-200,-70,-68,-90,-63,-68,-89,-76,-89
1526454048982,-36,-25,-49,-39,-37,-39,-41,-44,-50,-46,-55,-53,-54,-52,-55,-41,-200,-60,-59,-61,-61,-63,-65,-61,-200,-61,-64,-70,-59,-59,-200,-200,-63,-75,-70,-86,-69,-78,-75,-70,-88,-72,-200,-87,-84,-83,-82,-200,-200,-50,-68,-58,-65,-90,-57,-200,-70,-68,-90,-63,-68,-89,-76,-89
1526454052013,-34,-32,-45,-38,-37,-43,-45,-44,-52,-41,-51,-53,-60,-46,-55,-41,-200,-61,-60,-61,-200,-63,-62,-200,-200,-61,-59,-200,-59,-61,-67,-200,-62,-71,-200,-83,-70,-82,-78,-72,-87,-76,-200,-87,-83,-83,-79,-90,-200,-200,-68,-60,-61,-90,-57,-200,-70,-68,-90,-63,-68,-89,-76,-89
1526454055037,-34,-34,-45,-38,-37,-43,-45,-44,-52,-41,-51,-53,-60,-46,-55,-41,-200,-61,-60,-61,-200,-63,-62,-200,-200,-61,-59,-200,-59,-61,-67,-200,-62,-71,-200,-83,-70,-82,-78,-72,-87,-76,-200,-87,-83,-83,-79,-90,-200,-200,-68,-60,-61,-90,-57,-200,-70,-68,-90,-63,-68,-89,-76,-89
