,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454094516,-31,-36,-42,-52,-40,-44,-44,-38,-49,-56,-35,-42,-56,-53,-59,-43,-200,-200,-56,-51,-60,-58,-46,-60,-200,-200,-200,-67,-68,-53,-58,-58,-200,-73,-200,-66,-73,-68,-75,-200,-79,-71,-73,-87,-85,-85,-91,-89,-80,-90,-200,-56,-68,-88,-88,-54,-66,-49,-74,-60,-200,-200,-200
1526454097540,-31,-36,-42,-52,-40,-44,-44,-38,-49,-56,-35,-42,-56,-53,-59,-43,-200,-200,-56,-51,-60,-58,-46,-60,-200,-200,-200,-67,-68,-53,-58,-58,-200,-73,-200,-66,-73,-68,-75,-200,-79,-71,-73,-87,-85,-85,-91,-89,-80,-90,-200,-56,-68,-88,-88,-54,-66,-49,-74,-60,-200,-200,-200
1526454100552,-31,-40,-39,-43,-41,-47,-47,-50,-49,-56,-34,-43,-56,-200,-59,-44,-200,-59,-58,-47,-56,-200,-56,-60,-200,-200,-200,-67,-68,-54,-58,-57,-63,-79,-200,-70,-200,-72,-75,-200,-79,-71,-77,-87,-81,-85,-200,-87,-86,-90,-200,-55,-68,-200,-89,-56,-66,-49,-74,-60,-71,-200,-200
1526454103575,-29,-40,-39,-43,-41,-47,-47,-50,-49,-56,-34,-43,-56,-200,-59,-44,-200,-59,-58,-47,-56,-200,-56,-60,-200,-200,-200,-67,-68,-54,-58,-57,-63,-79,-200,-70,-200,-72,-75,-200,-79,-71,-77,-87,-81,-85,-200,-87,-86,-90,-200,-55,-68,-200,-89,-56,-66,-49,-74,-60,-71,-200,-200
1526454106601,-35,-40,-39,-43,-41,-47,-43,-38,-49,-56,-36,-43,-56,-57,-59,-48,-200,-57,-54,-50,-59,-68,-52,-62,-200,-200,-200,-67,-68,-58,-58,-57,-63,-76,-200,-66,-200,-72,-74,-200,-80,-75,-75,-87,-80,-85,-200,-87,-82,-92,-200,-55,-68,-200,-85,-55,-66,-49,-74,-56,-71,-200,-200
1526454109629,-31,-40,-39,-43,-41,-47,-43,-38,-49,-56,-36,-43,-56,-57,-59,-48,-200,-57,-54,-50,-59,-68,-52,-62,-200,-200,-200,-67,-68,-58,-58,-57,-63,-76,-200,-66,-200,-72,-74,-200,-80,-75,-75,-87,-80,-85,-200,-87,-82,-92,-200,-55,-68,-200,-85,-55,-66,-49,-74,-56,-71,-200,-200
1526454112654,-30,-40,-39,-43,-43,-47,-44,-34,-49,-58,-36,-43,-57,-49,-65,-47,-200,-57,-54,-47,-59,-63,-56,-66,-61,-63,-200,-61,-68,-58,-55,-57,-63,-74,-200,-66,-65,-72,-78,-200,-80,-75,-72,-87,-80,-85,-200,-89,-84,-92,-200,-55,-200,-200,-88,-55,-200,-51,-74,-56,-71,-61,-78
1526454115664,-31,-40,-39,-43,-43,-47,-44,-34,-49,-58,-36,-43,-57,-49,-65,-47,-200,-57,-54,-47,-59,-63,-56,-66,-61,-63,-200,-61,-68,-58,-55,-57,-63,-74,-200,-66,-65,-72,-78,-200,-80,-75,-72,-87,-80,-85,-200,-89,-84,-92,-200,-55,-200,-200,-88,-55,-200,-51,-74,-56,-71,-61,-78
1526454118697,-30,-39,-40,-43,-41,-47,-40,-36,-49,-57,-37,-43,-57,-49,-65,-47,-200,-57,-54,-50,-58,-63,-54,-65,-61,-63,-200,-61,-68,-52,-55,-57,-63,-72,-200,-66,-65,-70,-81,-200,-81,-79,-72,-200,-80,-85,-200,-88,-88,-90,-200,-55,-200,-200,-91,-55,-200,-51,-200,-56,-71,-61,-78
1526454121715,-29,-39,-40,-43,-41,-47,-40,-36,-49,-57,-37,-43,-57,-49,-65,-47,-200,-57,-54,-50,-58,-63,-54,-65,-61,-63,-200,-61,-68,-52,-55,-57,-63,-72,-200,-66,-65,-70,-81,-200,-81,-79,-72,-200,-80,-85,-200,-88,-88,-90,-200,-55,-200,-200,-91,-55,-200,-51,-200,-56,-71,-61,-78
1526454124741,-34,-36,-37,-43,-41,-45,-40,-36,-200,-57,-37,-47,-57,-49,-61,-47,-200,-57,-54,-50,-58,-63,-54,-59,-61,-63,-62,-61,-200,-52,-55,-57,-63,-70,-200,-66,-65,-77,-74,-200,-79,-75,-70,-200,-82,-200,-200,-88,-86,-90,-91,-55,-200,-200,-90,-59,-200,-51,-200,-56,-71,-61,-78
1526454127770,-23,-36,-37,-43,-41,-45,-40,-36,-200,-57,-37,-47,-57,-49,-61,-47,-200,-57,-54,-50,-58,-63,-54,-59,-61,-63,-62,-61,-200,-52,-55,-57,-63,-70,-200,-66,-65,-77,-74,-200,-79,-75,-70,-200,-82,-200,-200,-88,-86,-90,-91,-55,-200,-200,-90,-59,-200,-51,-200,-56,-71,-61,-78
