,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447485213,-31,-42,-18,-45,-42,-48,-46,-48,-43,-53,-46,-49,-52,-48,-45,-59,-58,-51,-51,-55,-55,-57,-55,-59,-60,-58,-63,-65,-63,-70,-59,-65,-75,-70,-68,-68,-70,-76,-200,-200,-74,-74,-84,-85,-74,-76,-72,-76,-77,-73,-82,-81,-71,-76,-79,-200,-80,-81,-200,-83,-80,-75,-77,-200,-88,-200,-88,-200,-200,-86,-90,-91,-200,-92,-200,-89,-200,-200,-200,-90,-78,-91,-74,-200,-68,-84,-200,-90,-76,-88,-90,-89,-91,-92,-93,-200,-200,-200,-200,-200
1526447488258,-31,-37,-43,-42,-48,-48,-48,-46,-47,-50,-50,-48,-49,-48,-49,-52,-56,-51,-57,-63,-52,-54,-56,-56,-59,-60,-64,-65,-61,-64,-61,-65,-78,-65,-69,-72,-69,-76,-200,-79,-74,-78,-84,-81,-79,-77,-76,-76,-77,-71,-82,-79,-71,-80,-78,-200,-82,-84,-200,-80,-84,-77,-78,-200,-88,-84,-88,-200,-90,-86,-89,-89,-200,-90,-200,-89,-200,-200,-200,-91,-78,-88,-74,-200,-68,-85,-200,-90,-76,-88,-90,-89,-91,-92,-93,-86,-200,-200,-200,-200
1526447491303,-15,-38,-37,-39,-49,-49,-50,-59,-47,-48,-53,-49,-51,-68,-49,-69,-56,-52,-54,-55,-63,-63,-92,-58,-63,-59,-60,-56,-64,-64,-69,-69,-73,-69,-71,-70,-69,-76,-200,-80,-75,-69,-83,-85,-77,-87,-75,-72,-76,-72,-82,-82,-78,-80,-78,-200,-85,-84,-200,-80,-80,-77,-84,-200,-88,-85,-90,-88,-90,-200,-84,-86,-200,-90,-200,-89,-200,-200,-200,-91,-78,-89,-74,-200,-68,-85,-200,-92,-76,-200,-90,-89,-91,-92,-93,-86,-88,-200,-200,-200
1526447494350,-29,-40,-43,-43,-47,-45,-49,-53,-42,-50,-50,-50,-49,-68,-63,-69,-53,-50,-55,-57,-56,-55,-56,-62,-58,-60,-60,-65,-61,-62,-61,-69,-78,-73,-78,-69,-69,-75,-200,-80,-77,-76,-86,-88,-76,-87,-77,-76,-76,-72,-82,-81,-85,-80,-78,-81,-85,-83,-200,-80,-81,-81,-84,-200,-82,-84,-90,-88,-90,-200,-84,-88,-200,-90,-200,-89,-200,-200,-200,-91,-200,-90,-200,-200,-68,-85,-200,-92,-76,-200,-90,-89,-91,-93,-93,-86,-88,-90,-200,-200
1526447497379,-15,-40,-40,-43,-48,-44,-49,-52,-42,-49,-50,-51,-53,-56,-63,-62,-54,-50,-53,-57,-56,-62,-57,-63,-62,-63,-60,-67,-62,-59,-61,-70,-71,-71,-73,-70,-69,-73,-200,-75,-76,-74,-86,-84,-78,-80,-77,-72,-76,-78,-200,-78,-85,-78,-78,-81,-85,-83,-200,-80,-81,-81,-84,-200,-82,-85,-90,-88,-90,-200,-84,-90,-200,-90,-200,-200,-200,-91,-200,-91,-200,-89,-200,-200,-200,-85,-200,-89,-75,-200,-90,-200,-200,-93,-200,-86,-88,-90,-90,-200
1526447500394,-21,-40,-38,-42,-54,-49,-48,-55,-47,-51,-50,-48,-51,-62,-59,-63,-56,-51,-65,-57,-60,-59,-59,-58,-64,-62,-54,-67,-61,-40,-62,-69,-70,-68,-72,-71,-69,-73,-200,-75,-76,-75,-86,-87,-77,-76,-75,-79,-75,-70,-78,-82,-88,-78,-82,-81,-82,-83,-83,-200,-80,-80,-84,-200,-82,-82,-91,-200,-93,-200,-200,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-88,-200,-200,-69,-200,-200,-89,-76,-88,-200,-200,-200,-91,-91,-200,-88,-90,-90,-200
1526447503427,-29,-39,-40,-43,-50,-50,-48,-52,-45,-50,-43,-46,-51,-62,-59,-52,-56,-52,-54,-56,-58,-53,-55,-59,-62,-59,-60,-67,-59,-60,-62,-64,-76,-70,-73,-69,-69,-73,-200,-75,-76,-74,-86,-85,-77,-75,-76,-79,-77,-70,-78,-80,-78,-86,-82,-200,-82,-82,-83,-80,-80,-82,-83,-82,-200,-82,-91,-200,-85,-200,-85,-89,-83,-200,-200,-200,-88,-91,-200,-200,-200,-89,-200,-200,-69,-200,-200,-89,-76,-82,-200,-200,-200,-91,-91,-200,-88,-200,-90,-200
1526447506467,-29,-43,-40,-40,-53,-49,-48,-52,-46,-49,-50,-47,-47,-62,-59,-52,-55,-50,-53,-57,-58,-54,-56,-58,-62,-58,-61,-62,-61,-58,-62,-68,-76,-71,-73,-70,-70,-71,-200,-73,-76,-75,-84,-86,-77,-82,-76,-79,-69,-72,-78,-80,-76,-86,-82,-200,-80,-83,-83,-80,-81,-82,-83,-82,-200,-82,-83,-200,-85,-200,-85,-87,-83,-200,-200,-200,-88,-200,-200,-91,-200,-87,-200,-200,-69,-90,-200,-200,-76,-82,-91,-200,-200,-91,-88,-200,-200,-90,-200,-200
1526447509515,-30,-43,-41,-41,-51,-48,-46,-52,-48,-49,-45,-48,-52,-55,-56,-65,-55,-50,-53,-56,-58,-55,-56,-62,-62,-61,-54,-64,-62,-56,-61,-69,-71,-72,-72,-71,-69,-71,-75,-73,-76,-73,-87,-84,-74,-76,-76,-79,-75,-72,-78,-80,-76,-79,-82,-200,-81,-83,-200,-80,-81,-82,-84,-82,-200,-85,-85,-88,-85,-200,-84,-86,-83,-90,-200,-200,-88,-90,-200,-91,-84,-89,-200,-200,-68,-90,-200,-89,-76,-82,-89,-91,-88,-91,-88,-200,-200,-90,-200,-200
1526447512556,-30,-39,-40,-43,-48,-47,-50,-52,-45,-49,-49,-48,-50,-59,-49,-53,-55,-50,-66,-56,-52,-60,-53,-62,-59,-59,-60,-64,-60,-57,-61,-65,-72,-69,-77,-68,-70,-71,-75,-73,-76,-74,-81,-83,-77,-76,-76,-200,-77,-72,-200,-81,-76,-79,-78,-200,-79,-83,-200,-80,-80,-74,-84,-82,-200,-83,-85,-88,-85,-200,-83,-89,-83,-90,-200,-200,-88,-90,-200,-91,-84,-89,-82,-200,-68,-90,-200,-89,-73,-82,-91,-87,-88,-200,-88,-200,-200,-90,-200,-200
1526447515598,-28,-38,-43,-52,-58,-57,-49,-59,-45,-49,-49,-54,-56,-59,-49,-52,-55,-50,-55,-57,-62,-64,-53,-66,-59,-60,-59,-63,-61,-60,-69,-68,-71,-72,-77,-68,-70,-71,-75,-79,-76,-75,-69,-87,-78,-76,-76,-200,-77,-72,-200,-81,-79,-85,-79,-80,-80,-90,-82,-80,-80,-81,-87,-200,-200,-82,-92,-88,-83,-200,-83,-89,-200,-92,-200,-200,-89,-90,-200,-91,-84,-89,-82,-200,-68,-92,-200,-89,-75,-200,-89,-87,-88,-200,-88,-200,-200,-86,-200,-80
1526447518644,-28,-39,-40,-43,-53,-51,-49,-53,-45,-49,-44,-47,-48,-58,-54,-52,-56,-50,-54,-56,-62,-56,-55,-57,-59,-59,-61,-63,-62,-62,-62,-70,-72,-68,-72,-68,-72,-71,-75,-79,-76,-75,-79,-87,-78,-73,-76,-200,-76,-72,-200,-81,-79,-85,-79,-74,-80,-90,-82,-80,-80,-81,-82,-200,-79,-83,-92,-88,-83,-200,-83,-87,-200,-92,-200,-200,-89,-90,-200,-90,-84,-89,-82,-200,-68,-87,-200,-89,-75,-89,-89,-87,-88,-200,-200,-200,-200,-86,-200,-79
