,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447559345,-31,-33,-49,-43,-40,-47,-40,-59,-45,-50,-57,-52,-46,-43,-49,-57,-59,-54,-73,-60,-62,-61,-55,-78,-200,-65,-58,-59,-68,-55,-84,-70,-79,-63,-73,-81,-72,-82,-83,-69,-88,-75,-200,-88,-73,-80,-86,-83,-200,-81,-73,-83,-92,-70,-200,-77,-90,-87,-74,-76,-200,-79,-87,-200,-81,-79,-87,-81,-77,-82,-91,-200,-88,-90,-80,-200,-92,-200,-200,-88,-76,-200,-87,-200,-200,-89,-90,-84,-81,-79,-83,-88,-200,-92,-83,-92,-200,-200,-84,-92,-80,-84,-200,-200,-200,-200,-200
1526447562398,-30,-32,-53,-44,-39,-57,-40,-60,-39,-46,-49,-50,-47,-44,-49,-58,-69,-55,-70,-73,-60,-55,-51,-76,-200,-65,-56,-61,-64,-55,-74,-70,-77,-64,-74,-81,-72,-81,-83,-69,-88,-75,-200,-88,-77,-82,-86,-83,-200,-81,-72,-80,-81,-70,-200,-77,-94,-87,-74,-74,-200,-82,-86,-200,-81,-79,-87,-80,-78,-82,-88,-200,-88,-90,-79,-200,-92,-200,-200,-88,-75,-200,-200,-200,-200,-89,-90,-86,-81,-79,-83,-88,-200,-91,-83,-92,-200,-90,-83,-200,-80,-84,-88,-200,-200,-200,-200
1526447565435,-34,-32,-56,-42,-41,-57,-40,-62,-47,-48,-53,-56,-47,-45,-49,-58,-66,-53,-74,-68,-61,-55,-64,-74,-200,-65,-65,-64,-75,-53,-74,-69,-76,-63,-73,-200,-76,-82,-83,-69,-88,-75,-200,-200,-76,-82,-200,-83,-200,-81,-72,-84,-83,-68,-200,-77,-94,-87,-74,-74,-200,-82,-87,-200,-81,-79,-86,-81,-74,-200,-89,-200,-88,-90,-79,-90,-200,-200,-200,-88,-75,-200,-200,-200,-200,-90,-87,-84,-82,-79,-200,-88,-92,-91,-83,-92,-200,-90,-83,-200,-200,-84,-92,-200,-200,-200,-200
1526447568473,-33,-35,-48,-44,-38,-57,-40,-59,-44,-46,-51,-56,-55,-40,-48,-58,-57,-57,-74,-61,-60,-55,-53,-78,-200,-65,-58,-59,-68,-58,-73,-68,-75,-62,-75,-200,-76,-80,-200,-70,-200,-76,-200,-200,-84,-76,-200,-83,-200,-81,-73,-80,-83,-68,-200,-78,-94,-200,-89,-74,-78,-82,-90,-200,-80,-79,-86,-81,-74,-200,-89,-200,-92,-90,-78,-89,-200,-200,-200,-85,-76,-200,-200,-200,-200,-90,-87,-84,-80,-79,-84,-88,-92,-91,-83,-200,-200,-90,-83,-200,-200,-200,-92,-200,-200,-200,-200
1526447571517,-30,-38,-51,-44,-38,-54,-41,-58,-38,-47,-55,-52,-55,-46,-49,-62,-62,-56,-77,-68,-63,-55,-54,-72,-200,-63,-56,-65,-60,-55,-73,-63,-76,-64,-74,-77,-75,-87,-200,-69,-90,-74,-200,-200,-79,-82,-200,-83,-200,-81,-70,-88,-85,-73,-200,-81,-94,-200,-89,-75,-78,-82,-84,-200,-80,-78,-89,-81,-78,-200,-89,-200,-92,-200,-79,-89,-200,-200,-200,-88,-79,-200,-91,-200,-200,-90,-87,-84,-81,-200,-84,-200,-92,-91,-75,-200,-200,-87,-83,-91,-200,-200,-92,-88,-200,-200,-200
1526447574562,-30,-31,-48,-42,-38,-54,-40,-58,-41,-47,-52,-53,-50,-39,-50,-56,-67,-54,-73,-62,-54,-200,-59,-73,-200,-62,-55,-63,-62,-58,-70,-70,-76,-62,-74,-77,-70,-83,-200,-67,-90,-74,-200,-200,-70,-81,-200,-83,-200,-81,-74,-80,-85,-67,-200,-79,-200,-200,-89,-73,-78,-200,-87,-200,-80,-79,-84,-78,-78,-84,-86,-200,-92,-200,-79,-89,-200,-200,-200,-88,-72,-200,-91,-200,-200,-91,-87,-84,-81,-200,-85,-200,-92,-91,-80,-200,-200,-87,-83,-91,-200,-200,-92,-88,-200,-200,-200
1526447577597,-33,-32,-47,-43,-43,-56,-40,-56,-43,-44,-52,-52,-46,-39,-50,-59,-68,-55,-74,-73,-62,-60,-51,-78,-200,-65,-57,-58,-68,-56,-74,-70,-79,-64,-73,-83,-74,-82,-200,-70,-90,-74,-200,-200,-70,-81,-200,-83,-200,-82,-76,-81,-83,-70,-200,-79,-200,-200,-89,-75,-86,-80,-87,-200,-81,-79,-84,-80,-79,-84,-86,-200,-90,-200,-78,-87,-200,-200,-200,-88,-74,-200,-91,-200,-200,-91,-88,-84,-79,-86,-85,-200,-200,-91,-80,-200,-200,-89,-83,-91,-200,-200,-200,-88,-200,-200,-200
1526447580642,-40,-32,-52,-43,-46,-56,-40,-56,-49,-56,-60,-60,-46,-45,-49,-68,-69,-55,-72,-76,-70,-60,-64,-75,-200,-66,-57,-60,-74,-53,-77,-69,-77,-74,-74,-82,-74,-81,-200,-70,-90,-74,-200,-200,-70,-81,-200,-200,-200,-83,-71,-82,-89,-70,-200,-79,-200,-200,-200,-75,-86,-80,-87,-200,-82,-79,-83,-80,-78,-84,-86,-200,-90,-200,-79,-87,-200,-200,-200,-88,-74,-200,-90,-200,-200,-91,-88,-200,-79,-86,-87,-200,-200,-91,-80,-200,-200,-89,-83,-91,-200,-200,-200,-88,-89,-200,-200
1526447583687,-32,-22,-53,-45,-40,-56,-40,-61,-39,-49,-60,-49,-46,-45,-49,-58,-63,-55,-76,-68,-60,-60,-54,-74,-200,-65,-57,-59,-66,-55,-74,-71,-77,-63,-74,-82,-73,-81,-200,-70,-200,-200,-200,-200,-70,-79,-200,-200,-80,-81,-74,-83,-89,-70,-91,-80,-200,-200,-200,-75,-86,-80,-87,-200,-82,-78,-83,-79,-78,-84,-86,-200,-90,-85,-80,-89,-200,-200,-200,-88,-75,-200,-90,-200,-200,-90,-88,-88,-79,-86,-87,-200,-200,-89,-80,-200,-200,-89,-83,-200,-200,-200,-200,-200,-89,-87,-200
1526447586724,-31,-31,-47,-44,-36,-56,-40,-62,-42,-48,-52,-51,-56,-43,-49,-58,-61,-56,-76,-69,-60,-63,-54,-74,-200,-65,-57,-60,-69,-52,-73,-71,-77,-63,-73,-80,-73,-81,-200,-71,-200,-200,-87,-200,-200,-84,-200,-83,-75,-81,-76,-83,-85,-70,-91,-79,-200,-200,-200,-76,-82,-79,-87,-200,-82,-79,-83,-79,-78,-85,-90,-200,-90,-85,-82,-89,-200,-200,-200,-88,-76,-200,-90,-200,-200,-87,-87,-86,-79,-86,-87,-200,-200,-89,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-89,-87,-200
1526447589759,-34,-14,-50,-44,-39,-55,-40,-60,-39,-45,-49,-53,-45,-45,-49,-59,-61,-54,-74,-66,-59,-63,-51,-74,-200,-65,-57,-60,-68,-85,-73,-73,-78,-62,-74,-81,-75,-82,-200,-72,-91,-200,-87,-200,-200,-84,-85,-83,-75,-82,-76,-83,-84,-70,-90,-79,-200,-200,-200,-73,-82,-79,-88,-200,-82,-79,-83,-79,-86,-85,-90,-200,-200,-91,-78,-91,-200,-200,-200,-88,-74,-200,-90,-200,-200,-87,-87,-86,-80,-200,-83,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-89,-87,-90
1526447592792,-34,-32,-51,-43,-40,-55,-40,-60,-41,-48,-52,-51,-46,-42,-49,-58,-61,-55,-73,-68,-59,-54,-51,-75,-200,-64,-56,-60,-63,-53,-75,-70,-78,-65,-73,-80,-72,-81,-200,-70,-91,-200,-87,-200,-74,-78,-85,-83,-78,-82,-73,-83,-82,-70,-90,-79,-90,-86,-200,-77,-82,-79,-88,-200,-81,-79,-87,-81,-86,-85,-90,-200,-200,-91,-78,-89,-200,-200,-200,-88,-76,-200,-200,-200,-200,-87,-87,-85,-77,-200,-83,-200,-200,-91,-200,-200,-200,-89,-82,-200,-200,-200,-89,-200,-200,-86,-90
