,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449867096,-48,-41,-44,-55,-48,-60,-49,-54,-65,-64,-58,-79,-64,-64,-65,-67,-62,-69,-200,-72,-69,-75,-200,-72,-79,-64,-77,-69,-82,-79,-200,-200,-83,-85,-200,-81,-79,-81,-88,-83,-200,-200,-80,-84,-200,-79,-88,-200,-200,-200,-87,-83,-88,-89,-88,-84,-80,-91,-91,-200,-200,-200
1526449870154,-44,-41,-45,-58,-47,-59,-53,-56,-65,-64,-59,-79,-65,-64,-65,-71,-58,-69,-200,-70,-69,-75,-200,-73,-78,-64,-77,-69,-200,-79,-200,-200,-83,-86,-200,-82,-79,-81,-88,-82,-200,-200,-80,-84,-200,-79,-88,-200,-200,-200,-87,-83,-88,-89,-88,-84,-80,-91,-91,-200,-200,-200
1526449873212,-44,-40,-43,-66,-46,-56,-46,-50,-64,-64,-59,-79,-61,-200,-62,-67,-60,-69,-200,-73,-200,-81,-79,-73,-78,-65,-77,-69,-200,-79,-200,-200,-83,-87,-200,-82,-79,-81,-90,-82,-76,-200,-80,-88,-200,-79,-88,-200,-200,-200,-89,-82,-89,-89,-88,-84,-80,-91,-91,-200,-200,-200
1526449876264,-47,-41,-42,-56,-44,-58,-48,-49,-62,-64,-58,-79,-63,-200,-73,-67,-62,-70,-200,-73,-80,-74,-79,-79,-78,-67,-77,-69,-76,-75,-200,-200,-83,-87,-200,-80,-79,-81,-86,-82,-76,-200,-81,-88,-200,-82,-200,-200,-200,-200,-86,-83,-89,-89,-77,-200,-80,-91,-91,-82,-200,-200
1526449879320,-47,-41,-42,-60,-45,-59,-45,-54,-62,-64,-57,-79,-66,-65,-76,-70,-63,-70,-200,-72,-80,-70,-81,-77,-77,-67,-77,-71,-76,-75,-200,-200,-83,-87,-200,-80,-200,-79,-86,-85,-76,-200,-81,-90,-200,-81,-200,-200,-90,-200,-84,-83,-89,-200,-77,-200,-79,-91,-91,-82,-84,-200
1526449882365,-38,-38,-42,-56,-49,-57,-54,-49,-64,-62,-61,-62,-71,-64,-76,-70,-63,-72,-200,-69,-80,-66,-77,-77,-75,-75,-74,-72,-76,-75,-200,-200,-200,-86,-200,-80,-200,-81,-86,-85,-76,-200,-81,-88,-84,-81,-200,-200,-90,-200,-80,-79,-89,-200,-78,-200,-79,-200,-200,-82,-84,-200
1526449885421,-40,-37,-45,-62,-49,-50,-56,-46,-72,-62,-61,-66,-63,-63,-74,-69,-73,-69,-200,-68,-68,-66,-77,-72,-72,-74,-74,-72,-84,-77,-200,-200,-79,-86,-200,-76,-200,-81,-88,-85,-76,-200,-74,-82,-84,-82,-200,-200,-86,-200,-76,-79,-88,-85,-78,-200,-79,-200,-200,-82,-84,-200
1526449888486,-40,-41,-43,-62,-46,-54,-55,-49,-68,-66,-74,-66,-64,-66,-74,-68,-73,-74,-200,-69,-68,-66,-77,-76,-74,-70,-77,-72,-84,-77,-200,-200,-83,-84,-200,-77,-200,-78,-84,-82,-200,-200,-74,-82,-84,-81,-200,-200,-86,-200,-83,-79,-87,-85,-78,-200,-79,-200,-200,-84,-84,-200
1526449891531,-38,-40,-43,-61,-42,-54,-51,-52,-68,-64,-74,-66,-64,-63,-63,-68,-66,-71,-200,-71,-68,-66,-78,-80,-78,-72,-77,-72,-84,-77,-200,-200,-83,-86,-200,-75,-200,-78,-84,-81,-76,-200,-80,-86,-84,-80,-200,-200,-87,-200,-83,-80,-87,-85,-78,-200,-79,-200,-200,-84,-84,-200
1526449894589,-41,-39,-43,-65,-47,-54,-53,-48,-66,-65,-62,-65,-64,-65,-69,-69,-66,-72,-200,-70,-68,-64,-77,-80,-78,-72,-76,-72,-84,-77,-200,-200,-83,-86,-200,-75,-200,-78,-84,-81,-76,-200,-80,-86,-84,-80,-200,-200,-87,-200,-83,-80,-87,-85,-78,-200,-200,-200,-200,-84,-84,-93
1526449897647,-41,-39,-43,-61,-51,-56,-57,-50,-68,-65,-60,-69,-76,-63,-69,-66,-66,-73,-200,-68,-69,-66,-77,-73,-80,-75,-75,-200,-84,-77,-200,-200,-83,-86,-200,-77,-200,-81,-84,-81,-76,-200,-87,-86,-83,-81,-88,-200,-87,-200,-80,-80,-87,-84,-78,-200,-72,-200,-200,-84,-200,-93
1526449900688,-41,-39,-45,-57,-46,-56,-53,-50,-68,-65,-60,-65,-66,-63,-70,-68,-63,-72,-200,-64,-68,-64,-76,-78,-80,-75,-75,-200,-200,-77,-200,-200,-83,-90,-200,-77,-200,-79,-84,-81,-76,-200,-81,-87,-83,-80,-88,-200,-85,-200,-80,-80,-88,-84,-200,-200,-72,-200,-86,-84,-200,-93
