,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449695741,-41,-32,-37,-44,-49,-51,-52,-60,-54,-62,-70,-58,-51,-63,-66,-66,-74,-65,-89,-76,-71,-78,-73,-69,-78,-72,-75,-79,-72,-80,-79,-81,-79,-200,-85,-200,-85,-200,-200,-76,-80,-88,-79,-83,-89,-81,-200,-87,-200,-200,-200,-200,-90,-81,-200,-86,-65,-87,-57,-73,-82,-92,-91,-200,-200,-200,-200
1526449698793,-43,-31,-37,-45,-48,-50,-51,-58,-55,-59,-78,-57,-48,-71,-69,-66,-65,-61,-89,-76,-73,-78,-73,-70,-77,-70,-75,-79,-72,-80,-79,-200,-75,-200,-85,-200,-85,-200,-200,-76,-80,-88,-200,-88,-75,-81,-200,-75,-200,-200,-200,-200,-90,-81,-200,-86,-65,-87,-61,-73,-82,-92,-91,-200,-200,-200,-200
1526449701878,-40,-28,-37,-42,-46,-50,-49,-57,-55,-59,-72,-57,-51,-67,-85,-66,-64,-65,-89,-74,-73,-71,-74,-71,-77,-70,-81,-78,-72,-80,-82,-80,-75,-200,-76,-87,-85,-200,-200,-75,-82,-88,-200,-88,-75,-81,-200,-75,-88,-200,-200,-200,-90,-81,-200,-86,-65,-87,-61,-73,-200,-200,-91,-200,-200,-200,-200
1526449704949,-38,-33,-37,-45,-47,-50,-49,-59,-55,-59,-69,-57,-49,-64,-85,-66,-68,-65,-66,-71,-71,-71,-76,-71,-77,-73,-76,-78,-79,-200,-79,-80,-75,-200,-76,-87,-200,-200,-200,-77,-79,-200,-200,-88,-74,-81,-200,-75,-88,-200,-200,-84,-200,-81,-200,-86,-65,-87,-59,-85,-200,-94,-91,-91,-200,-200,-200
1526449708011,-42,-29,-41,-44,-48,-50,-49,-59,-57,-59,-65,-57,-48,-64,-66,-66,-62,-63,-66,-72,-78,-71,-75,-74,-79,-78,-74,-77,-75,-200,-79,-78,-78,-200,-76,-87,-200,-200,-200,-77,-78,-200,-200,-88,-82,-81,-200,-75,-88,-200,-200,-85,-200,-81,-200,-86,-65,-87,-59,-85,-200,-94,-200,-91,-80,-200,-200
1526449711077,-38,-32,-37,-44,-44,-55,-56,-57,-57,-59,-65,-58,-48,-64,-66,-200,-65,-63,-64,-70,-71,-71,-80,-74,-76,-75,-81,-77,-75,-71,-82,-77,-76,-200,-74,-83,-200,-200,-200,-77,-78,-200,-200,-88,-82,-80,-200,-75,-88,-200,-200,-85,-200,-200,-200,-82,-200,-200,-59,-74,-200,-94,-200,-91,-80,-75,-200
1526449714140,-37,-29,-37,-41,-45,-52,-56,-51,-55,-57,-67,-58,-50,-63,-63,-67,-69,-63,-63,-73,-71,-71,-73,-73,-73,-73,-77,-77,-75,-71,-79,-77,-77,-200,-74,-84,-200,-200,-200,-80,-79,-83,-200,-82,-87,-80,-200,-200,-88,-200,-200,-85,-200,-85,-200,-83,-200,-200,-59,-78,-86,-94,-200,-91,-80,-75,-200
1526449717205,-33,-28,-38,-42,-47,-52,-54,-51,-56,-57,-65,-58,-48,-63,-65,-67,-65,-63,-63,-69,-75,-71,-75,-73,-77,-74,-76,-77,-75,-71,-79,-76,-77,-200,-75,-82,-200,-200,-200,-80,-79,-83,-200,-82,-76,-80,-200,-200,-200,-200,-200,-84,-200,-85,-200,-83,-200,-200,-59,-78,-86,-94,-200,-91,-80,-75,-91
1526449720285,-35,-33,-38,-42,-45,-52,-50,-55,-57,-57,-67,-59,-51,-67,-63,-67,-66,-63,-63,-71,-74,-65,-75,-73,-80,-74,-76,-77,-74,-71,-80,-79,-79,-200,-75,-82,-200,-200,-200,-83,-81,-85,-200,-81,-77,-81,-200,-200,-200,-200,-200,-80,-200,-85,-200,-83,-200,-200,-200,-79,-87,-200,-200,-200,-80,-75,-91
1526449723339,-38,-34,-37,-43,-44,-56,-50,-57,-57,-57,-70,-59,-49,-67,-67,-65,-66,-65,-57,-71,-74,-64,-75,-72,-77,-74,-76,-78,-74,-71,-80,-79,-71,-200,-75,-82,-200,-200,-200,-79,-80,-85,-200,-81,-77,-81,-200,-200,-200,-200,-200,-80,-200,-85,-200,-83,-200,-200,-200,-79,-87,-200,-200,-200,-200,-75,-91
1526449726386,-37,-32,-37,-44,-44,-49,-51,-56,-56,-56,-66,-58,-52,-67,-64,-65,-62,-65,-57,-69,-73,-72,-74,-74,-77,-73,-81,-78,-76,-200,-80,-79,-75,-200,-75,-85,-200,-81,-200,-77,-80,-85,-200,-81,-82,-81,-200,-200,-200,-200,-200,-84,-200,-85,-200,-85,-200,-200,-200,-79,-87,-200,-200,-200,-200,-75,-91
1526449729443,-37,-34,-37,-47,-44,-54,-50,-61,-56,-56,-68,-58,-50,-61,-64,-65,-62,-64,-59,-80,-74,-72,-73,-73,-78,-73,-82,-78,-74,-200,-80,-75,-75,-200,-75,-85,-200,-81,-200,-78,-80,-84,-200,-84,-79,-83,-200,-200,-200,-200,-200,-86,-200,-200,-200,-85,-70,-200,-200,-79,-87,-200,-200,-200,-200,-75,-91
