,vlucci.com AC-V1.4.0.0,abeacon_92C8,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,abeacon_9221,vlucci.com AC-V1.4.0.0,abeacon_9286,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9219,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_922D,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9237,abeacon_91AC,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_915A,abeacon_91BC,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1540968908954,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-86,-77,-200,-200,-67,-200,-200,-81,-200,-200,-200,-80,-200,-200,-200,-200,-200,-65,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968910053,-87,-200,-76,-200,-68,-200,-200,-200,-79,-78,-200,-200,-200,-200,-200,-200,-78,-200,-200,-82,-200,-86,-200,-200,-74,-200,-200,-65,-200,-200,-87,-200,-200,-200,-200,-92,-75,-92,-200,-82,-68,-200,-92,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968912255,-75,-200,-200,-91,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-88,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-69,-200,-81,-200,-86,-200,-200,-200,-200,-200,-200,-77,-200,-200,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968913307,-200,-200,-200,-200,-67,-200,-81,-84,-82,-200,-200,-200,-200,-200,-79,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-87,-200,-78,-200,-74,-93,-200,-200,-200,-200,-200,-200,-200,-94,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200
1540968914442,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1540968915484,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-93,-200,-66,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968916572,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-62,-200,-200,-79,-200,-200,-200,-200,-82,-77,-200,-200,-200,-72,-200,-200,-71,-72,-200,-89,-95,-200,-79,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200
1540968917778,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-85,-200,-200,-200,-66,-86,-200,-200,-79,-86,-200,-200,-70,-200,-200,-63,-200,-82,-82,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1540968918881,-200,-200,-200,-200,-66,-200,-76,-200,-81,-200,-200,-63,-200,-200,-80,-200,-200,-200,-200,-200,-200,-92,-200,-200,-77,-200,-200,-73,-200,-200,-200,-90,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-93,-87,-200,-200,-200,-200,-200
1540968920045,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968921102,-200,-200,-200,-200,-63,-200,-200,-200,-200,-79,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968922188,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-85,-200,-84,-88,-200,-200,-78,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968923284,-200,-200,-73,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-91,-76,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968924380,-74,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-82,-200,-200,-85,-200,-200,-200,-200,-200,-200,-79,-200,-76,-67,-200,-200,-200,-200,-200,-82,-77,-200,-77,-95,-200,-75,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1540968926605,-75,-88,-200,-84,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-78,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968926728,-77,-200,-200,-200,-200,-200,-76,-81,-93,-79,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-81,-94,-200,-80,-71,-200,-80,-72,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200
1540968931063,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-71,-200,-200,-200,-200,-70,-200,-95,-200,-81,-200,-200,-200,-200,-200,-200,-71,-200,-200,-87,-92,-200,-80,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-92,-200,-200
1540968932244,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1540968933282,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-93,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-77,-200,-79,-86,-90,-72,-200,-200,-200,-200,-200,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968934387,-200,-200,-74,-200,-78,-200,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-71,-84,-200,-200,-200,-200,-200,-200,-70,-200,-88,-78,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968936608,-200,-200,-200,-200,-74,-200,-81,-89,-84,-81,-200,-200,-200,-200,-78,-200,-200,-83,-200,-86,-200,-200,-200,-200,-72,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-89,-200,-78,-200,-200,-200
1540968936714,-200,-84,-200,-200,-74,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1540968937874,-80,-93,-200,-200,-73,-200,-200,-86,-81,-84,-200,-72,-82,-85,-200,-200,-68,-83,-200,-81,-85,-200,-200,-200,-71,-82,-200,-66,-200,-200,-200,-200,-200,-78,-83,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-88,-200,-92,-200,-200,-200,-200,-77,-200,-92,-200
1540968941099,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-86,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
1540968942187,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-70,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968943268,-76,-200,-200,-200,-78,-84,-200,-200,-78,-200,-200,-200,-83,-200,-200,-200,-74,-200,-200,-85,-78,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1540968944410,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968945488,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968945600,-80,-200,-200,-200,-200,-200,-83,-200,-87,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-90,-200,-200,-78,-82,-200,-200,-70,-66,-88,-200,-90,-96,-200,-200,-200,-200,-200,-200,-73,-74,-200,-200,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968947783,-200,-85,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-89,-79,-73,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-74,-85,-88,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1540968949956,-200,-200,-200,-87,-71,-81,-200,-87,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-83,-72,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968952180,-200,-200,-73,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-97,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968953310,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-85,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1540968954370,-200,-200,-76,-200,-76,-90,-200,-87,-200,-200,-200,-200,-92,-200,-200,-200,-81,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-76,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
1540968955483,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-93,-84,-77,-200,-200,-200,-200,-76,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1540968956735,-80,-200,-200,-200,-200,-89,-200,-200,-200,-76,-200,-67,-200,-200,-200,-200,-72,-200,-200,-92,-200,-90,-200,-200,-81,-200,-200,-66,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968958884,-200,-200,-200,-200,-70,-200,-200,-200,-79,-88,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-79,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
